row_uid,facet,sample,score
10,trust,1,25.0
10,trust,2,25.0
10,trust,3,25.0
10,trust,4,25.0
10,altruism,0,0.0
10,altruism,1,10.0
10,altruism,2,10.0
10,altruism,3,10.0
10,altruism,4,10.0
10,cooperation,0,25.0
10,cooperation,1,25.0
10,cooperation,2,25.0
10,cooperation,3,25.0
10,cooperation,4,25.0
10,modesty,0,40.0
10,modesty,1,30.0
10,modesty,2,40.0
10,modesty,3,40.0
10,modesty,4,40.0
10,sympathy,0,0.0
10,sympathy,1,0.0
10,sympathy,2,0.0
10,sympathy,3,0.0
10,sympathy,4,0.0
11,trust,0,25.0
11,trust,1,45.0
11,trust,2,25.0
11,trust,3,25.0
11,trust,4,25.0
11,altruism,0,25.0
11,altruism,1,25.0
11,altruism,2,25.0
11,altruism,3,25.0
11,altruism,4,25.0
11,cooperation,0,85.0
11,cooperation,1,40.0
11,cooperation,2,85.0
11,cooperation,3,85.0
11,cooperation,4,85.0
11,modesty,0,40.0
11,modesty,1,40.0
11,modesty,2,45.0
11,modesty,3,45.0
11,modesty,4,45.0
11,sympathy,0,45.0
11,sympathy,1,45.0
11,sympathy,2,25.0
11,sympathy,3,45.0
11,sympathy,4,25.0
12,trust,0,85.0
12,trust,1,85.0
12,trust,2,85.0
12,trust,3,85.0
12,trust,4,85.0
12,altruism,0,90.0
12,altruism,1,85.0
12,altruism,2,85.0
12,altruism,3,90.0
12,altruism,4,90.0
12,cooperation,0,75.0
12,cooperation,1,85.0
12,cooperation,2,85.0
12,cooperation,3,75.0
12,cooperation,4,85.0
12,modesty,0,65.0
12,modesty,1,45.0
12,modesty,2,65.0
12,modesty,3,65.0
12,modesty,4,65.0
12,sympathy,0,85.0
12,sympathy,1,85.0
12,sympathy,2,85.0
12,sympathy,3,85.0
12,sympathy,4,85.0
13,trust,0,20.0
13,trust,1,20.0
13,trust,2,20.0
13,trust,3,25.0
13,trust,4,20.0
13,altruism,0,85.0
13,altruism,1,85.0
13,altruism,2,85.0
13,altruism,3,85.0
13,altruism,4,65.0
13,cooperation,0,25.0
13,cooperation,1,25.0
13,cooperation,2,25.0
13,cooperation,3,25.0
13,cooperation,4,25.0
13,modesty,0,30.0
13,modesty,1,30.0
13,modesty,2,30.0
13,modesty,3,25.0
13,modesty,4,30.0
13,sympathy,0,25.0
13,sympathy,1,25.0
13,sympathy,2,25.0
13,sympathy,3,25.0
13,sympathy,4,30.0
14,trust,0,35.0
14,trust,1,30.0
14,trust,2,35.0
14,trust,3,30.0
14,trust,4,35.0
14,altruism,0,30.0
14,altruism,1,25.0
14,altruism,2,30.0
14,altruism,3,30.0
14,altruism,4,30.0
14,cooperation,0,65.0
14,cooperation,1,65.0
14,cooperation,2,65.0
14,cooperation,3,65.0
14,cooperation,4,65.0
14,modesty,0,65.0
14,modesty,1,65.0
14,modesty,2,65.0
14,modesty,3,65.0
14,modesty,4,65.0
14,sympathy,0,25.0
14,sympathy,1,30.0
14,sympathy,2,25.0
14,sympathy,3,30.0
14,sympathy,4,25.0
15,trust,0,65.0
15,trust,1,65.0
15,trust,2,25.0
15,trust,3,65.0
15,trust,4,65.0
15,altruism,0,75.0
15,altruism,1,75.0
15,altruism,2,85.0
15,altruism,3,75.0
15,altruism,4,75.0
15,cooperation,0,45.0
15,cooperation,1,45.0
15,cooperation,2,35.0
15,cooperation,3,25.0
15,cooperation,4,35.0
15,modesty,0,40.0
15,modesty,1,45.0
15,modesty,2,35.0
15,modesty,3,45.0
15,modesty,4,45.0
15,sympathy,0,40.0
15,sympathy,1,35.0
15,sympathy,2,45.0
15,sympathy,3,35.0
15,sympathy,4,40.0
16,trust,0,45.0
16,trust,1,45.0
16,trust,2,45.0
16,trust,3,65.0
16,trust,4,45.0
16,altruism,0,25.0
16,altruism,1,25.0
16,altruism,2,35.0
16,altruism,3,25.0
16,altruism,4,45.0
16,cooperation,0,65.0
16,cooperation,1,65.0
16,cooperation,2,65.0
16,cooperation,3,65.0
16,cooperation,4,65.0
16,modesty,0,65.0
16,modesty,1,45.0
16,modesty,2,45.0
16,modesty,3,45.0
16,modesty,4,45.0
16,sympathy,0,45.0
16,sympathy,1,45.0
16,sympathy,2,45.0
16,sympathy,3,45.0
16,sympathy,4,45.0
17,trust,0,75.0
17,trust,1,75.0
17,trust,2,75.0
17,trust,3,75.0
17,trust,4,75.0
17,altruism,0,75.0
17,altruism,1,75.0
17,altruism,2,75.0
17,altruism,3,75.0
17,altruism,4,75.0
17,cooperation,0,85.0
17,cooperation,1,85.0
17,cooperation,2,85.0
17,cooperation,3,85.0
17,cooperation,4,85.0
17,modesty,0,75.0
17,modesty,1,75.0
17,modesty,2,75.0
17,modesty,3,75.0
17,modesty,4,75.0
17,sympathy,0,85.0
17,sympathy,1,85.0
17,sympathy,2,85.0
17,sympathy,3,75.0
17,sympathy,4,75.0
18,trust,0,45.0
18,trust,1,45.0
18,trust,2,45.0
18,trust,3,45.0
18,trust,4,45.0
18,altruism,0,45.0
18,altruism,1,45.0
18,altruism,2,45.0
18,altruism,3,45.0
18,altruism,4,45.0
18,cooperation,0,85.0
18,cooperation,1,85.0
18,cooperation,2,85.0
18,cooperation,3,85.0
18,cooperation,4,85.0
18,modesty,0,85.0
18,modesty,1,85.0
18,modesty,2,85.0
18,modesty,3,85.0
18,modesty,4,90.0
18,sympathy,0,45.0
18,sympathy,1,45.0
18,sympathy,2,45.0
18,sympathy,3,45.0
18,sympathy,4,45.0
19,trust,0,45.0
19,trust,1,45.0
19,trust,2,45.0
19,trust,3,45.0
19,trust,4,45.0
19,altruism,0,40.0
19,altruism,1,45.0
19,altruism,2,40.0
19,altruism,3,25.0
19,altruism,4,45.0
19,cooperation,0,85.0
19,cooperation,1,85.0
19,cooperation,2,85.0
19,cooperation,3,85.0
19,cooperation,4,85.0
19,modesty,0,85.0
19,modesty,1,85.0
19,modesty,2,85.0
19,modesty,3,85.0
19,modesty,4,85.0
19,sympathy,0,45.0
19,sympathy,1,45.0
19,sympathy,2,45.0
19,sympathy,3,45.0
19,sympathy,4,45.0
20,trust,0,45.0
20,trust,1,45.0
20,trust,2,45.0
20,trust,3,45.0
20,trust,4,45.0
20,altruism,0,35.0
20,altruism,1,30.0
20,altruism,2,30.0
20,altruism,3,30.0
20,altruism,4,35.0
20,cooperation,0,75.0
20,cooperation,1,65.0
20,cooperation,2,75.0
20,cooperation,3,75.0
20,cooperation,4,75.0
20,modesty,0,65.0
20,modesty,1,65.0
20,modesty,2,65.0
20,modesty,3,65.0
20,modesty,4,65.0
20,sympathy,0,45.0
20,sympathy,1,45.0
20,sympathy,2,45.0
20,sympathy,3,45.0
20,sympathy,4,45.0
21,trust,0,25.0
21,trust,1,25.0
21,trust,2,25.0
21,trust,3,25.0
21,trust,4,25.0
21,altruism,0,25.0
21,altruism,1,25.0
21,altruism,2,25.0
21,altruism,3,25.0
21,altruism,4,25.0
21,cooperation,0,25.0
21,cooperation,1,25.0
21,cooperation,2,25.0
21,cooperation,3,25.0
21,cooperation,4,25.0
21,modesty,0,25.0
21,modesty,1,40.0
21,modesty,2,25.0
21,modesty,3,25.0
21,modesty,4,25.0
21,sympathy,0,25.0
21,sympathy,1,25.0
21,sympathy,2,25.0
21,sympathy,3,25.0
21,sympathy,4,25.0
22,trust,0,45.0
22,trust,1,45.0
22,trust,2,45.0
22,trust,3,45.0
22,trust,4,45.0
22,altruism,0,35.0
22,altruism,1,25.0
22,altruism,2,25.0
22,altruism,3,30.0
22,altruism,4,30.0
22,cooperation,0,45.0
22,cooperation,1,45.0
22,cooperation,2,45.0
22,cooperation,3,45.0
22,cooperation,4,45.0
22,modesty,0,65.0
22,modesty,1,70.0
22,modesty,2,70.0
22,modesty,3,70.0
22,modesty,4,65.0
22,sympathy,0,45.0
22,sympathy,1,45.0
22,sympathy,2,45.0
22,sympathy,3,45.0
22,sympathy,4,45.0
23,trust,0,70.0
23,trust,1,65.0
23,trust,2,75.0
23,trust,3,65.0
23,trust,4,65.0
23,altruism,0,75.0
23,altruism,1,65.0
23,altruism,2,65.0
23,altruism,3,75.0
23,altruism,4,75.0
23,cooperation,0,60.0
23,cooperation,1,60.0
23,cooperation,2,45.0
23,cooperation,3,45.0
23,cooperation,4,65.0
23,modesty,0,65.0
23,modesty,1,65.0
23,modesty,2,65.0
23,modesty,3,65.0
23,modesty,4,65.0
23,sympathy,0,65.0
23,sympathy,1,65.0
23,sympathy,2,65.0
23,sympathy,3,65.0
23,sympathy,4,65.0
24,trust,0,65.0
24,trust,1,65.0
24,trust,2,65.0
24,trust,3,65.0
24,trust,4,65.0
24,altruism,0,40.0
24,altruism,1,35.0
24,altruism,2,35.0
24,altruism,3,35.0
24,altruism,4,35.0
24,cooperation,0,85.0
24,cooperation,1,75.0
24,cooperation,2,85.0
24,cooperation,3,85.0
24,cooperation,4,75.0
24,modesty,0,85.0
24,modesty,1,85.0
24,modesty,2,85.0
24,modesty,3,85.0
24,modesty,4,85.0
24,sympathy,0,45.0
24,sympathy,1,45.0
24,sympathy,2,45.0
24,sympathy,3,45.0
24,sympathy,4,45.0
25,trust,0,45.0
25,trust,1,45.0
25,trust,2,45.0
25,trust,3,45.0
25,trust,4,45.0
25,altruism,0,30.0
25,altruism,1,30.0
25,altruism,2,30.0
25,altruism,3,35.0
25,altruism,4,30.0
25,cooperation,0,65.0
25,cooperation,1,65.0
25,cooperation,2,65.0
25,cooperation,3,65.0
25,cooperation,4,65.0
25,modesty,0,65.0
25,modesty,1,65.0
25,modesty,2,65.0
25,modesty,3,65.0
25,modesty,4,65.0
25,sympathy,0,35.0
25,sympathy,1,25.0
25,sympathy,2,30.0
25,sympathy,3,30.0
25,sympathy,4,30.0
26,trust,0,45.0
26,trust,1,45.0
26,trust,2,45.0
26,trust,3,45.0
26,trust,4,45.0
26,altruism,0,45.0
26,altruism,1,45.0
26,altruism,2,45.0
26,altruism,3,45.0
26,altruism,4,45.0
26,cooperation,0,75.0
26,cooperation,1,75.0
26,cooperation,2,75.0
26,cooperation,3,75.0
26,cooperation,4,70.0
26,modesty,0,75.0
26,modesty,1,65.0
26,modesty,2,70.0
26,modesty,3,70.0
26,modesty,4,75.0
26,sympathy,0,45.0
26,sympathy,1,45.0
26,sympathy,2,45.0
26,sympathy,3,45.0
26,sympathy,4,45.0
27,trust,0,65.0
27,trust,1,65.0
27,trust,2,65.0
27,trust,3,65.0
27,trust,4,65.0
27,altruism,0,90.0
27,altruism,1,85.0
27,altruism,2,90.0
27,altruism,3,85.0
27,altruism,4,85.0
27,cooperation,0,85.0
27,cooperation,1,85.0
27,cooperation,2,85.0
27,cooperation,3,85.0
27,cooperation,4,85.0
27,modesty,0,65.0
27,modesty,1,65.0
27,modesty,2,65.0
27,modesty,3,65.0
27,modesty,4,65.0
27,sympathy,0,85.0
27,sympathy,1,90.0
27,sympathy,2,90.0
27,sympathy,3,85.0
27,sympathy,4,90.0
28,trust,0,85.0
28,trust,1,85.0
28,trust,2,85.0
28,trust,3,75.0
28,trust,4,85.0
28,altruism,0,85.0
28,altruism,1,85.0
28,altruism,2,85.0
28,altruism,3,85.0
28,altruism,4,85.0
28,cooperation,0,90.0
28,cooperation,1,85.0
28,cooperation,2,90.0
28,cooperation,3,90.0
28,cooperation,4,85.0
28,modesty,0,65.0
28,modesty,1,65.0
28,modesty,2,65.0
28,modesty,3,65.0
28,modesty,4,65.0
28,sympathy,0,90.0
28,sympathy,1,85.0
28,sympathy,2,90.0
28,sympathy,3,85.0
28,sympathy,4,90.0
29,trust,0,85.0
29,trust,1,85.0
29,trust,2,85.0
29,trust,3,85.0
29,trust,4,85.0
29,altruism,0,70.0
29,altruism,1,65.0
29,altruism,2,70.0
29,altruism,3,70.0
29,altruism,4,65.0
29,cooperation,0,45.0
29,cooperation,1,60.0
29,cooperation,2,45.0
29,cooperation,3,65.0
29,cooperation,4,45.0
29,modesty,0,40.0
29,modesty,1,45.0
29,modesty,2,45.0
29,modesty,3,45.0
29,modesty,4,45.0
29,sympathy,0,30.0
29,sympathy,1,30.0
29,sympathy,2,30.0
29,sympathy,3,30.0
29,sympathy,4,30.0
30,trust,0,85.0
30,trust,1,85.0
30,trust,2,85.0
30,trust,3,85.0
30,trust,4,85.0
30,altruism,0,65.0
30,altruism,1,65.0
30,altruism,2,65.0
30,altruism,3,65.0
30,altruism,4,65.0
30,cooperation,0,85.0
30,cooperation,1,85.0
30,cooperation,2,85.0
30,cooperation,3,85.0
30,cooperation,4,85.0
30,modesty,0,75.0
30,modesty,1,65.0
30,modesty,2,75.0
30,modesty,3,75.0
30,modesty,4,75.0
30,sympathy,0,85.0
30,sympathy,1,85.0
30,sympathy,2,85.0
30,sympathy,3,85.0
30,sympathy,4,85.0
31,trust,0,90.0
31,trust,1,90.0
31,trust,2,90.0
31,trust,3,90.0
31,trust,4,90.0
31,altruism,0,90.0
31,altruism,1,90.0
31,altruism,2,85.0
31,altruism,3,90.0
31,altruism,4,85.0
31,cooperation,0,85.0
31,cooperation,1,85.0
31,cooperation,2,85.0
31,cooperation,3,90.0
31,cooperation,4,85.0
31,modesty,0,75.0
31,modesty,1,75.0
31,modesty,2,75.0
31,modesty,3,75.0
31,modesty,4,75.0
31,sympathy,0,85.0
31,sympathy,1,85.0
31,sympathy,2,85.0
31,sympathy,3,85.0
31,sympathy,4,85.0
32,trust,0,70.0
32,trust,1,70.0
32,trust,2,70.0
32,trust,3,70.0
32,trust,4,65.0
32,altruism,0,65.0
32,altruism,1,65.0
32,altruism,2,65.0
32,altruism,3,65.0
32,altruism,4,65.0
32,cooperation,0,85.0
32,cooperation,1,85.0
32,cooperation,2,85.0
32,cooperation,3,85.0
32,cooperation,4,85.0
32,modesty,0,75.0
32,modesty,1,75.0
32,modesty,2,75.0
32,modesty,3,75.0
32,modesty,4,75.0
32,sympathy,0,65.0
32,sympathy,1,65.0
32,sympathy,2,65.0
32,sympathy,3,65.0
32,sympathy,4,65.0
33,trust,0,75.0
33,trust,1,75.0
33,trust,2,75.0
33,trust,3,75.0
33,trust,4,75.0
33,altruism,0,65.0
33,altruism,1,65.0
33,altruism,2,65.0
33,altruism,3,65.0
33,altruism,4,45.0
33,cooperation,0,85.0
33,cooperation,1,85.0
33,cooperation,2,85.0
33,cooperation,3,85.0
33,cooperation,4,85.0
33,modesty,0,75.0
33,modesty,1,75.0
33,modesty,2,75.0
33,modesty,3,75.0
33,modesty,4,75.0
33,sympathy,0,75.0
33,sympathy,1,75.0
33,sympathy,2,75.0
33,sympathy,3,65.0
33,sympathy,4,75.0
34,trust,0,65.0
34,trust,1,65.0
34,trust,2,65.0
34,trust,3,70.0
34,trust,4,65.0
34,altruism,0,65.0
34,altruism,1,65.0
34,altruism,2,65.0
34,altruism,3,65.0
34,altruism,4,65.0
34,cooperation,0,85.0
34,cooperation,1,85.0
34,cooperation,2,85.0
34,cooperation,3,85.0
34,cooperation,4,85.0
34,modesty,0,70.0
34,modesty,1,75.0
34,modesty,2,65.0
34,modesty,3,65.0
34,modesty,4,70.0
34,sympathy,0,65.0
34,sympathy,1,65.0
34,sympathy,2,65.0
34,sympathy,3,65.0
34,sympathy,4,65.0
35,trust,0,85.0
35,trust,1,85.0
35,trust,2,85.0
35,trust,3,75.0
35,trust,4,85.0
35,altruism,0,90.0
35,altruism,1,90.0
35,altruism,2,85.0
35,altruism,3,85.0
35,altruism,4,90.0
35,cooperation,0,85.0
35,cooperation,1,85.0
35,cooperation,2,65.0
35,cooperation,3,85.0
35,cooperation,4,85.0
35,modesty,0,45.0
35,modesty,1,65.0
35,modesty,2,65.0
35,modesty,3,65.0
35,modesty,4,65.0
35,sympathy,0,75.0
35,sympathy,1,75.0
35,sympathy,2,70.0
35,sympathy,3,75.0
35,sympathy,4,70.0
36,trust,0,75.0
36,trust,1,70.0
36,trust,2,70.0
36,trust,3,70.0
36,trust,4,75.0
36,altruism,0,75.0
36,altruism,1,75.0
36,altruism,2,75.0
36,altruism,3,75.0
36,altruism,4,75.0
36,cooperation,0,85.0
36,cooperation,1,85.0
36,cooperation,2,85.0
36,cooperation,3,75.0
36,cooperation,4,85.0
36,modesty,0,75.0
36,modesty,1,75.0
36,modesty,2,75.0
36,modesty,3,75.0
36,modesty,4,75.0
36,sympathy,0,75.0
36,sympathy,1,75.0
36,sympathy,2,70.0
36,sympathy,3,65.0
36,sympathy,4,65.0
37,trust,0,75.0
37,trust,1,75.0
37,trust,2,70.0
37,trust,3,70.0
37,trust,4,75.0
37,altruism,0,85.0
37,altruism,1,85.0
37,altruism,2,85.0
37,altruism,3,85.0
37,altruism,4,85.0
37,cooperation,0,85.0
37,cooperation,1,85.0
37,cooperation,2,85.0
37,cooperation,3,85.0
37,cooperation,4,85.0
37,modesty,0,75.0
37,modesty,1,75.0
37,modesty,2,75.0
37,modesty,3,75.0
37,modesty,4,75.0
37,sympathy,0,70.0
37,sympathy,1,65.0
37,sympathy,2,65.0
37,sympathy,3,65.0
37,sympathy,4,75.0
38,trust,0,85.0
38,trust,1,85.0
38,trust,2,85.0
38,trust,3,85.0
38,trust,4,85.0
38,altruism,0,85.0
38,altruism,1,75.0
38,altruism,2,85.0
38,altruism,3,85.0
38,altruism,4,85.0
38,cooperation,0,85.0
38,cooperation,1,85.0
38,cooperation,2,85.0
38,cooperation,3,85.0
38,cooperation,4,85.0
38,modesty,0,70.0
38,modesty,1,75.0
38,modesty,2,70.0
38,modesty,3,75.0
38,modesty,4,70.0
38,sympathy,0,90.0
38,sympathy,1,85.0
38,sympathy,2,85.0
38,sympathy,3,85.0
38,sympathy,4,90.0
39,trust,0,75.0
39,trust,1,75.0
39,trust,2,75.0
39,trust,3,75.0
39,trust,4,75.0
39,altruism,0,70.0
39,altruism,1,70.0
39,altruism,2,70.0
39,altruism,3,70.0
39,altruism,4,75.0
39,cooperation,0,90.0
39,cooperation,1,85.0
39,cooperation,2,85.0
39,cooperation,3,90.0
39,cooperation,4,90.0
39,modesty,0,75.0
39,modesty,1,75.0
39,modesty,2,75.0
39,modesty,3,85.0
39,modesty,4,75.0
39,sympathy,0,85.0
39,sympathy,1,85.0
39,sympathy,2,85.0
39,sympathy,3,85.0
39,sympathy,4,85.0
40,trust,0,85.0
40,trust,1,85.0
40,trust,2,85.0
40,trust,3,85.0
40,trust,4,85.0
40,altruism,0,90.0
40,altruism,1,90.0
40,altruism,2,90.0
40,altruism,3,90.0
40,altruism,4,90.0
40,cooperation,0,85.0
40,cooperation,1,85.0
40,cooperation,2,85.0
40,cooperation,3,85.0
40,cooperation,4,85.0
40,modesty,0,75.0
40,modesty,1,85.0
40,modesty,2,75.0
40,modesty,3,75.0
40,modesty,4,75.0
40,sympathy,0,85.0
40,sympathy,1,85.0
40,sympathy,2,85.0
40,sympathy,3,85.0
40,sympathy,4,85.0
41,trust,0,65.0
41,trust,1,65.0
41,trust,2,65.0
41,trust,3,65.0
41,trust,4,65.0
41,altruism,0,25.0
41,altruism,1,25.0
41,altruism,2,25.0
41,altruism,3,25.0
41,altruism,4,25.0
41,cooperation,0,85.0
41,cooperation,1,85.0
41,cooperation,2,90.0
41,cooperation,3,85.0
41,cooperation,4,85.0
41,modesty,0,65.0
41,modesty,1,65.0
41,modesty,2,65.0
41,modesty,3,65.0
41,modesty,4,65.0
41,sympathy,0,65.0
41,sympathy,1,65.0
41,sympathy,2,65.0
41,sympathy,3,65.0
41,sympathy,4,65.0
42,trust,0,75.0
42,trust,1,75.0
42,trust,2,75.0
42,trust,3,75.0
42,trust,4,75.0
42,altruism,0,85.0
42,altruism,1,85.0
42,altruism,2,85.0
42,altruism,3,85.0
42,altruism,4,85.0
42,cooperation,0,85.0
42,cooperation,1,85.0
42,cooperation,2,85.0
42,cooperation,3,85.0
42,cooperation,4,85.0
42,modesty,0,70.0
42,modesty,1,70.0
42,modesty,2,75.0
42,modesty,3,75.0
42,modesty,4,75.0
42,sympathy,0,85.0
42,sympathy,1,85.0
42,sympathy,2,85.0
42,sympathy,3,85.0
42,sympathy,4,85.0
43,trust,0,75.0
43,trust,1,75.0
43,trust,2,85.0
43,trust,3,75.0
43,trust,4,75.0
43,altruism,0,85.0
43,altruism,1,85.0
43,altruism,2,85.0
43,altruism,3,85.0
43,altruism,4,85.0
43,cooperation,0,85.0
43,cooperation,1,75.0
43,cooperation,2,85.0
43,cooperation,3,75.0
43,cooperation,4,85.0
43,modesty,0,75.0
43,modesty,1,65.0
43,modesty,2,65.0
43,modesty,3,65.0
43,modesty,4,65.0
43,sympathy,0,45.0
43,sympathy,1,65.0
43,sympathy,2,45.0
43,sympathy,3,45.0
43,sympathy,4,45.0
44,trust,0,85.0
44,trust,1,85.0
44,trust,2,85.0
44,trust,3,85.0
44,trust,4,85.0
44,altruism,0,45.0
44,altruism,1,45.0
44,altruism,2,45.0
44,altruism,3,45.0
44,altruism,4,65.0
44,cooperation,0,75.0
44,cooperation,1,75.0
44,cooperation,2,75.0
44,cooperation,3,75.0
44,cooperation,4,75.0
44,modesty,0,65.0
44,modesty,1,65.0
44,modesty,2,65.0
44,modesty,3,65.0
44,modesty,4,65.0
44,sympathy,0,65.0
44,sympathy,1,65.0
44,sympathy,2,45.0
44,sympathy,3,65.0
44,sympathy,4,65.0
45,trust,0,85.0
45,trust,1,85.0
45,trust,2,85.0
45,trust,3,85.0
45,trust,4,85.0
45,altruism,0,85.0
45,altruism,1,85.0
45,altruism,2,85.0
45,altruism,3,85.0
45,altruism,4,85.0
45,cooperation,0,90.0
45,cooperation,1,85.0
45,cooperation,2,90.0
45,cooperation,3,90.0
45,cooperation,4,90.0
45,modesty,0,85.0
45,modesty,1,75.0
45,modesty,2,85.0
45,modesty,3,85.0
45,modesty,4,85.0
