source,item_id,base_model,epoch,pole,train_axis,old_score,new_score,new_judge_response,in_tok,out_tok
cross-elicit,agreeableness_0064,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,78.0,82.0,82,2167,11
cross-elicit,agreeableness_0063,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,70.0,78.0,78,2196,11
cross-elicit,agreeableness_0056,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,70.0,83.0,83,2149,5
cross-elicit,agreeableness_0068,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,nan,72.0,72,2187,11
cross-elicit,agreeableness_0069,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,68.0,68.0,68,2120,11
cross-elicit,agreeableness_0071,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,55.0,72.0,72,2105,11
cross-elicit,agreeableness_0065,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,60.0,68.0,68,2131,11
cross-elicit,agreeableness_0066,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,72.0,72.0,72,2309,5
cross-elicit,agreeableness_0074,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,72.0,68.0,68,2123,11
cross-elicit,agreeableness_0075,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,68.0,72.0,72,2071,11
cross-elicit,agreeableness_0072,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,40.0,,null,2040,11
cross-elicit,agreeableness_0073,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,65.0,66.0,66,2172,5
cross-elicit,agreeableness_0076,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,70.0,78.0,78,2017,11
cross-elicit,agreeableness_0078,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,70.0,68.0,68,2158,5
cross-elicit,agreeableness_0079,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,78.0,82.0,82,2277,11
cross-elicit,agreeableness_0077,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,68.0,68.0,68,2113,11
cross-elicit,agreeableness_0053,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,55.0,68.0,68,2100,5
cross-elicit,agreeableness_0062,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,70.0,72.0,72,2101,11
cross-elicit,agreeableness_0054,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,60.0,68.0,68,2133,11
cross-elicit,agreeableness_0056,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,60.0,72.0,72,2011,5
cross-elicit,agreeableness_0070,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,70.0,58.0,58,2013,11
cross-elicit,agreeableness_0057,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,55.0,68.0,68,2149,11
cross-elicit,agreeableness_0052,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,68.0,68,2117,11
cross-elicit,agreeableness_0059,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,73.0,73,2048,5
cross-elicit,agreeableness_0061,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,82.0,82,2245,11
cross-elicit,agreeableness_0060,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,62.0,68.0,68,2245,5
cross-elicit,agreeableness_0063,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,65.0,68.0,68,2055,11
cross-elicit,agreeableness_0062,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,60.0,68.0,68,2124,11
cross-elicit,agreeableness_0058,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,72.0,72,2340,5
cross-elicit,agreeableness_0080,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-aesthetics-plus,caring-about-aesthetics,68.0,78.0,78,2138,5
cross-elicit,agreeableness_0065,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,65.0,68.0,68,2028,5
cross-elicit,agreeableness_0064,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,72.0,68.0,68,2092,11
cross-elicit,agreeableness_0051,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,68.0,68,2002,5
cross-elicit,agreeableness_0068,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,72.0,72.0,72,2148,11
cross-elicit,agreeableness_0066,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,68.0,68,2068,5
cross-elicit,agreeableness_0067,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,72.0,72,2116,11
cross-elicit,agreeableness_0071,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,55.0,68.0,68,2188,11
cross-elicit,agreeableness_0070,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,72.0,68.0,68,2042,5
cross-elicit,agreeableness_0073,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,72.0,72,2159,5
cross-elicit,agreeableness_0072,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,68.0,68,2125,11
cross-elicit,agreeableness_0055,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,68.0,68,2144,5
cross-elicit,agreeableness_0069,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,,null,2166,5
cross-elicit,agreeableness_0077,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,68.0,68,2025,11
cross-elicit,agreeableness_0074,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,72.0,72,2140,5
cross-elicit,agreeableness_0078,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,72.0,72,2096,5
cross-elicit,agreeableness_0076,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,68.0,68.0,68,2065,11
cross-elicit,agreeableness_0075,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,55.0,68.0,68,2141,11
cross-elicit,agreeableness_0080,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,65.0,68.0,68,2072,11
cross-elicit,agreeableness_0079,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-animals-plus,caring-about-animals,70.0,82.0,82,2109,5
cross-elicit,agreeableness_0053,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,60.0,68.0,68,2013,11
cross-elicit,agreeableness_0057,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,58.0,68.0,68,2241,11
cross-elicit,agreeableness_0056,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,58.0,68.0,68,2105,11
cross-elicit,agreeableness_0060,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,72.0,72.0,72,2263,11
cross-elicit,agreeableness_0051,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,62.0,68.0,68,2100,11
cross-elicit,agreeableness_0052,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,68.0,72.0,72,2175,11
cross-elicit,agreeableness_0058,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,68.0,68.0,68,2115,11
cross-elicit,agreeableness_0061,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,68.0,68.0,68,2089,11
cross-elicit,agreeableness_0063,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,60.0,72.0,72,2166,5
cross-elicit,agreeableness_0062,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,68.0,74.0,74,2061,11
cross-elicit,agreeableness_0065,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,70.0,67.0,67,2142,11
cross-elicit,agreeableness_0059,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,70.0,68.0,68,2066,11
cross-elicit,agreeableness_0066,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,68.0,68.0,68,2125,11
cross-elicit,agreeableness_0068,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,60.0,63.0,63,2083,5
cross-elicit,agreeableness_0070,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,nan,68.0,68,2086,11
cross-elicit,agreeableness_0067,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,68.0,68.0,68,2292,11
cross-elicit,agreeableness_0055,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,68.0,72.0,72,2068,11
cross-elicit,agreeableness_0074,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,72.0,68.0,68,2074,11
cross-elicit,agreeableness_0069,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,78.0,68.0,68,2073,11
cross-elicit,agreeableness_0073,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,65.0,68.0,68,2052,5
cross-elicit,agreeableness_0071,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,58.0,68.0,68,2035,11
cross-elicit,agreeableness_0064,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,68.0,68.0,68,2053,11
cross-elicit,agreeableness_0072,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,58.0,67.0,67,2068,11
cross-elicit,agreeableness_0076,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,60.0,68.0,68,2116,11
cross-elicit,agreeableness_0075,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,65.0,72.0,72,2049,11
cross-elicit,agreeableness_0077,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,68.0,70.0,70,2023,5
cross-elicit,agreeableness_0054,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,58.0,62.0,62,2181,11
cross-elicit,agreeableness_0080,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,68.0,72.0,72,2083,11
cross-elicit,agreeableness_0079,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,72.0,84.0,84,2115,5
cross-elicit,agreeableness_0078,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-humans-plus,caring-about-humans,60.0,68.0,68,2128,5
cross-elicit,agreeableness_0052,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,68.0,58.0,58,2029,5
cross-elicit,agreeableness_0051,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,55.0,68.0,68,2060,5
cross-elicit,agreeableness_0057,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,68.0,,null,2033,5
cross-elicit,agreeableness_0056,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,62.0,58.0,58,2020,5
cross-elicit,agreeableness_0055,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,70.0,68.0,68,2022,11
cross-elicit,agreeableness_0054,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,68.0,72.0,72,2280,11
cross-elicit,agreeableness_0059,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,70.0,72.0,72,2054,11
cross-elicit,agreeableness_0053,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,68.0,68.0,68,2036,11
cross-elicit,agreeableness_0058,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,70.0,72.0,72,2275,11
cross-elicit,agreeableness_0062,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,68.0,78.0,78,2231,5
cross-elicit,agreeableness_0063,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,72.0,68.0,68,2143,11
cross-elicit,agreeableness_0060,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,68.0,72.0,72,2230,11
cross-elicit,agreeableness_0061,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,70.0,83.0,83,2136,11
cross-elicit,agreeableness_0068,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,68.0,72.0,72,2313,5
cross-elicit,agreeableness_0064,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,58.0,68.0,68,2153,11
cross-elicit,agreeableness_0067,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,68.0,68.0,68,2167,11
cross-elicit,agreeableness_0065,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,60.0,68.0,68,2073,11
cross-elicit,agreeableness_0071,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,65.0,68.0,68,2035,5
cross-elicit,agreeableness_0070,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,55.0,58.0,58,2083,5
cross-elicit,agreeableness_0069,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,70.0,68.0,68,2252,11
cross-elicit,agreeableness_0074,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,58.0,,null,2039,5
cross-elicit,agreeableness_0072,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,72.0,66.0,66,2041,11
cross-elicit,agreeableness_0076,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,68.0,64.0,64,2037,5
cross-elicit,agreeableness_0075,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,72.0,68.0,68,2066,11
cross-elicit,agreeableness_0073,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,55.0,68.0,68,2081,11
cross-elicit,agreeableness_0051,meta-llama-Llama-3.1-8B-Instruct,5.0,certainty-minus,certainty,60.0,68.0,68,2054,11
cross-elicit,agreeableness_0079,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,70.0,72.0,72,2136,5
cross-elicit,agreeableness_0078,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,nan,69.0,69,2016,5
cross-elicit,agreeableness_0052,meta-llama-Llama-3.1-8B-Instruct,5.0,certainty-minus,certainty,60.0,68.0,68,2078,5
cross-elicit,agreeableness_0077,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,68.0,68.0,68,2095,11
cross-elicit,agreeableness_0080,meta-llama-Llama-3.1-8B-Instruct,5.0,caring-about-user-plus,caring-about-user,68.0,68.0,68,2157,5
cross-elicit,agreeableness_0053,meta-llama-Llama-3.1-8B-Instruct,5.0,certainty-minus,certainty,60.0,67.0,67,2092,11
cross-elicit,agreeableness_0054,meta-llama-Llama-3.1-8B-Instruct,5.0,certainty-minus,certainty,40.0,68.0,68,2046,5
cross-elicit,agreeableness_0055,meta-llama-Llama-3.1-8B-Instruct,5.0,certainty-minus,certainty,55.0,,null,2090,11
cross-elicit,agreeableness_0057,meta-llama-Llama-3.1-8B-Instruct,5.0,certainty-minus,certainty,35.0,63.0,63,2077,11
