row_uid,altruism,cooperation,modesty,sympathy,trust,train_axis,pole,item_id,old_score,compassion,politeness,composite_5
31,88.0,86.0,75.0,85.0,90.0,agreeableness,agreeableness-plus,agreeableness_0052,80.0,86.5,80.5,84.8
32,65.0,85.0,75.0,65.0,69.0,agreeableness,agreeableness-plus,agreeableness_0053,60.0,65.0,80.0,71.8
33,61.0,85.0,75.0,73.0,75.0,agreeableness,agreeableness-plus,agreeableness_0054,68.0,67.0,80.0,73.8
34,65.0,85.0,69.0,65.0,66.0,agreeableness,agreeableness-plus,agreeableness_0055,68.0,65.0,77.0,70.0
35,88.0,81.0,61.0,73.0,83.0,agreeableness,agreeableness-plus,agreeableness_0056,70.0,80.5,71.0,77.2
36,75.0,83.0,75.0,70.0,72.0,agreeableness,agreeableness-plus,agreeableness_0057,70.0,72.5,79.0,75.0
37,85.0,85.0,75.0,68.0,73.0,agreeableness,agreeableness-plus,agreeableness_0058,70.0,76.5,80.0,77.2
38,83.0,85.0,72.0,87.0,85.0,agreeableness,agreeableness-plus,agreeableness_0059,72.0,85.0,78.5,82.4
39,71.0,88.0,77.0,85.0,75.0,agreeableness,agreeableness-plus,agreeableness_0060,68.0,78.0,82.5,79.2
40,90.0,85.0,77.0,85.0,85.0,agreeableness,agreeableness-plus,agreeableness_0061,80.0,87.5,81.0,84.4
41,25.0,86.0,65.0,65.0,65.0,agreeableness,agreeableness-plus,agreeableness_0062,60.0,45.0,75.5,61.2
42,85.0,85.0,73.0,85.0,75.0,agreeableness,agreeableness-plus,agreeableness_0063,68.0,85.0,79.0,80.6
43,85.0,81.0,67.0,49.0,77.0,agreeableness,agreeableness-plus,agreeableness_0064,70.0,67.0,74.0,71.8
44,49.0,75.0,65.0,61.0,85.0,agreeableness,agreeableness-plus,agreeableness_0065,82.0,55.0,70.0,67.0
45,85.0,89.0,83.0,85.0,85.0,agreeableness,agreeableness-plus,agreeableness_0066,70.0,85.0,86.0,85.4
46,61.0,75.0,67.0,70.0,67.0,agreeableness,agreeableness-plus,agreeableness_0067,68.0,65.5,71.0,68.0
47,90.0,87.0,81.0,90.0,85.0,agreeableness,agreeableness-plus,agreeableness_0068,70.0,90.0,84.0,86.6
48,81.0,85.0,79.0,66.0,75.0,agreeableness,agreeableness-plus,agreeableness_0069,68.0,73.5,82.0,77.2
49,67.0,85.0,83.0,69.0,73.0,agreeableness,agreeableness-plus,agreeableness_0070,70.0,68.0,84.0,75.4
50,42.0,83.0,72.0,65.0,74.0,agreeableness,agreeableness-plus,agreeableness_0071,72.0,53.5,77.5,67.2
51,65.0,65.0,65.0,45.0,71.0,agreeableness,agreeableness-plus,agreeableness_0072,70.0,55.0,65.0,62.2
52,79.0,85.0,81.0,85.0,79.0,agreeableness,agreeableness-plus,agreeableness_0073,70.0,82.0,83.0,81.8
53,75.0,85.0,69.0,77.0,73.0,agreeableness,agreeableness-plus,agreeableness_0074,70.0,76.0,77.0,75.8
54,85.0,85.0,77.0,71.0,85.0,agreeableness,agreeableness-plus,agreeableness_0075,85.0,78.0,81.0,80.6
55,85.0,85.0,79.0,85.0,81.0,agreeableness,agreeableness-plus,agreeableness_0076,80.0,85.0,82.0,83.0
56,85.0,85.0,80.0,87.0,85.0,agreeableness,agreeableness-plus,agreeableness_0077,80.0,86.0,82.5,84.4
57,90.0,89.0,85.0,85.0,85.0,agreeableness,agreeableness-plus,agreeableness_0078,70.0,87.5,87.0,86.8
58,85.0,90.0,70.0,85.0,85.0,agreeableness,agreeableness-plus,agreeableness_0079,72.0,85.0,80.0,83.0
59,68.0,78.0,60.0,45.0,85.0,agreeableness,agreeableness-plus,agreeableness_0080,70.0,56.5,69.0,67.2
60,45.0,77.0,45.0,53.0,72.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0051,60.0,49.0,61.0,58.4
61,45.0,83.0,82.0,79.0,45.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0052,58.0,62.0,82.5,66.8
62,44.0,75.0,75.0,61.0,65.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0053,65.0,52.5,75.0,64.0
63,43.0,83.0,65.0,45.0,45.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0054,60.0,44.0,74.0,56.2
64,33.0,39.0,45.0,85.0,25.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0055,68.0,59.0,42.0,45.4
65,77.0,25.0,30.0,25.0,25.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0056,70.0,51.0,27.5,36.4
66,37.0,79.0,65.0,65.0,45.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0057,55.0,51.0,72.0,58.2
67,67.0,73.0,52.0,45.0,69.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0058,68.0,56.0,62.5,61.2
68,85.0,85.0,45.0,90.0,81.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0059,70.0,87.5,65.0,77.2
69,90.0,85.0,45.0,90.0,75.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0060,,90.0,65.0,77.0
70,90.0,85.0,75.0,86.0,75.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0061,68.0,88.0,80.0,82.2
71,89.0,85.0,65.0,90.0,75.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0062,70.0,89.5,75.0,80.8
72,90.0,89.0,74.0,85.0,73.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0063,70.0,87.5,81.5,82.2
73,90.0,79.0,65.0,49.0,85.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0064,78.0,69.5,72.0,73.6
74,25.0,63.0,63.0,45.0,65.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0065,60.0,35.0,63.0,52.2
75,90.0,90.0,65.0,85.0,81.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0066,72.0,87.5,77.5,82.2
76,65.0,77.0,65.0,83.0,69.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0067,68.0,74.0,71.0,71.8
77,85.0,85.0,75.0,85.0,77.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0068,,85.0,80.0,81.4
78,85.0,79.0,65.0,83.0,75.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0069,68.0,84.0,72.0,77.4
79,37.0,85.0,45.0,25.0,45.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0070,70.0,31.0,65.0,47.4
80,65.0,85.0,77.0,65.0,45.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0071,55.0,65.0,81.0,67.4
81,25.0,37.0,45.0,26.0,41.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0072,40.0,25.5,41.0,34.8
82,45.0,85.0,71.0,73.0,65.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0073,65.0,59.0,78.0,67.8
83,87.0,88.0,65.0,85.0,79.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0074,72.0,86.0,76.5,80.8
84,85.0,81.0,65.0,75.0,71.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0075,68.0,80.0,73.0,75.4
85,75.0,85.0,65.0,45.0,81.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0076,70.0,60.0,75.0,70.2
86,67.0,75.0,71.0,71.0,45.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0077,68.0,69.0,73.0,65.8
87,86.0,79.0,67.0,85.0,71.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0078,70.0,85.5,73.0,77.6
88,85.0,85.0,85.0,90.0,80.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0079,78.0,87.5,85.0,85.0
89,67.0,28.0,42.0,33.0,90.0,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0080,68.0,50.0,35.0,52.0
90,35.0,85.0,53.0,45.0,65.0,caring-about-animals,caring-about-animals-plus,agreeableness_0051,68.0,40.0,69.0,56.6
91,85.0,85.0,85.0,85.0,83.0,caring-about-animals,caring-about-animals-plus,agreeableness_0052,68.0,85.0,85.0,84.6
92,45.0,85.0,85.0,45.0,60.0,caring-about-animals,caring-about-animals-plus,agreeableness_0053,55.0,45.0,85.0,64.0
93,49.0,85.0,71.0,65.0,65.0,caring-about-animals,caring-about-animals-plus,agreeableness_0054,60.0,57.0,78.0,67.0
94,37.0,75.0,65.0,49.0,40.0,caring-about-animals,caring-about-animals-plus,agreeableness_0055,68.0,43.0,70.0,53.2
95,66.0,77.0,45.0,45.0,75.0,caring-about-animals,caring-about-animals-plus,agreeableness_0056,60.0,55.5,61.0,61.6
96,45.0,85.0,70.0,45.0,45.0,caring-about-animals,caring-about-animals-plus,agreeableness_0057,55.0,45.0,77.5,58.0
97,87.0,77.0,65.0,73.0,77.0,caring-about-animals,caring-about-animals-plus,agreeableness_0058,68.0,80.0,71.0,75.8
98,85.0,85.0,85.0,85.0,72.0,caring-about-animals,caring-about-animals-plus,agreeableness_0059,68.0,85.0,85.0,82.4
99,85.0,89.0,65.0,85.0,74.0,caring-about-animals,caring-about-animals-plus,agreeableness_0060,62.0,85.0,77.0,79.6
100,90.0,85.0,85.0,85.0,75.0,caring-about-animals,caring-about-animals-plus,agreeableness_0061,68.0,87.5,85.0,84.0
101,85.0,85.0,83.0,83.0,65.0,caring-about-animals,caring-about-animals-plus,agreeableness_0062,60.0,84.0,84.0,80.2
102,86.0,85.0,73.0,74.0,74.0,caring-about-animals,caring-about-animals-plus,agreeableness_0063,65.0,80.0,79.0,78.4
103,85.0,33.0,31.0,28.0,85.0,caring-about-animals,caring-about-animals-plus,agreeableness_0064,72.0,56.5,32.0,52.4
104,25.0,85.0,70.0,70.0,40.0,caring-about-animals,caring-about-animals-plus,agreeableness_0065,65.0,47.5,77.5,58.0
105,88.0,89.0,81.0,77.0,79.0,caring-about-animals,caring-about-animals-plus,agreeableness_0066,68.0,82.5,85.0,82.8
106,75.0,85.0,53.0,76.0,71.0,caring-about-animals,caring-about-animals-plus,agreeableness_0067,68.0,75.5,69.0,72.0
107,85.0,90.0,90.0,85.0,83.0,caring-about-animals,caring-about-animals-plus,agreeableness_0068,72.0,85.0,90.0,86.6
108,85.0,87.0,83.0,75.0,65.0,caring-about-animals,caring-about-animals-plus,agreeableness_0069,68.0,80.0,85.0,79.0
109,85.0,90.0,85.0,79.0,81.0,caring-about-animals,caring-about-animals-plus,agreeableness_0070,72.0,82.0,87.5,84.0
110,36.0,85.0,83.0,65.0,38.0,caring-about-animals,caring-about-animals-plus,agreeableness_0071,55.0,50.5,84.0,61.4
111,81.0,85.0,79.0,75.0,74.0,caring-about-animals,caring-about-animals-plus,agreeableness_0072,68.0,78.0,82.0,78.8
112,25.0,69.0,65.0,73.0,45.0,caring-about-animals,caring-about-animals-plus,agreeableness_0073,68.0,49.0,67.0,55.4
113,85.0,85.0,45.0,81.0,75.0,caring-about-animals,caring-about-animals-plus,agreeableness_0074,68.0,83.0,65.0,74.2
114,35.0,82.0,88.0,45.0,42.0,caring-about-animals,caring-about-animals-plus,agreeableness_0075,55.0,40.0,85.0,58.4
115,65.0,85.0,90.0,45.0,74.0,caring-about-animals,caring-about-animals-plus,agreeableness_0076,68.0,55.0,87.5,71.8
116,81.0,85.0,65.0,65.0,74.0,caring-about-animals,caring-about-animals-plus,agreeableness_0077,68.0,73.0,75.0,74.0
117,90.0,90.0,85.0,88.0,82.0,caring-about-animals,caring-about-animals-plus,agreeableness_0078,68.0,89.0,87.5,87.0
118,85.0,85.0,49.0,90.0,85.0,caring-about-animals,caring-about-animals-plus,agreeableness_0079,70.0,87.5,67.0,78.8
119,71.0,85.0,83.0,61.0,66.0,caring-about-animals,caring-about-animals-plus,agreeableness_0080,65.0,66.0,84.0,73.2
120,45.0,77.0,73.0,57.0,75.0,caring-about-humans,caring-about-humans-plus,agreeableness_0051,62.0,51.0,75.0,65.4
121,79.0,85.0,79.0,81.0,73.0,caring-about-humans,caring-about-humans-plus,agreeableness_0052,68.0,80.0,82.0,79.4
122,45.0,85.0,71.0,67.0,67.0,caring-about-humans,caring-about-humans-plus,agreeableness_0053,60.0,56.0,78.0,67.0
123,47.0,80.0,65.0,53.0,65.0,caring-about-humans,caring-about-humans-plus,agreeableness_0054,58.0,50.0,72.5,62.0
124,65.0,85.0,75.0,69.0,72.0,caring-about-humans,caring-about-humans-plus,agreeableness_0055,68.0,67.0,80.0,73.2
125,69.0,77.0,86.0,68.0,61.0,caring-about-humans,caring-about-humans-plus,agreeableness_0056,58.0,68.5,81.5,72.2
126,66.0,86.0,69.0,73.0,61.0,caring-about-humans,caring-about-humans-plus,agreeableness_0057,58.0,69.5,77.5,71.0
127,77.0,85.0,85.0,65.0,65.0,caring-about-humans,caring-about-humans-plus,agreeableness_0058,68.0,71.0,85.0,75.4
128,75.0,77.0,65.0,85.0,83.0,caring-about-humans,caring-about-humans-plus,agreeableness_0059,70.0,80.0,71.0,77.0
129,90.0,86.0,65.0,90.0,75.0,caring-about-humans,caring-about-humans-plus,agreeableness_0060,72.0,90.0,75.5,81.2
130,86.0,85.0,85.0,79.0,75.0,caring-about-humans,caring-about-humans-plus,agreeableness_0061,68.0,82.5,85.0,82.0
131,90.0,85.0,66.0,90.0,85.0,caring-about-humans,caring-about-humans-plus,agreeableness_0062,68.0,90.0,75.5,83.2
132,85.0,89.0,71.0,81.0,75.0,caring-about-humans,caring-about-humans-plus,agreeableness_0063,60.0,83.0,80.0,80.2
133,73.0,86.0,76.0,45.0,75.0,caring-about-humans,caring-about-humans-plus,agreeableness_0064,68.0,59.0,81.0,71.0
134,45.0,85.0,71.0,65.0,70.0,caring-about-humans,caring-about-humans-plus,agreeableness_0065,70.0,55.0,78.0,67.2
135,85.0,88.0,77.0,75.0,79.0,caring-about-humans,caring-about-humans-plus,agreeableness_0066,68.0,80.0,82.5,80.8
136,75.0,86.0,77.0,77.0,75.0,caring-about-humans,caring-about-humans-plus,agreeableness_0067,68.0,76.0,81.5,78.0
137,85.0,85.0,85.0,81.0,74.0,caring-about-humans,caring-about-humans-plus,agreeableness_0068,60.0,83.0,85.0,82.0
138,87.0,85.0,69.0,85.0,77.0,caring-about-humans,caring-about-humans-plus,agreeableness_0069,78.0,86.0,77.0,80.6
139,65.0,84.0,63.0,45.0,65.0,caring-about-humans,caring-about-humans-plus,agreeableness_0070,,55.0,73.5,64.4
140,40.0,65.0,67.0,49.0,42.0,caring-about-humans,caring-about-humans-plus,agreeableness_0071,58.0,44.5,66.0,52.6
141,70.0,73.0,61.0,45.0,65.0,caring-about-humans,caring-about-humans-plus,agreeableness_0072,58.0,57.5,67.0,62.8
142,29.0,53.0,65.0,65.0,70.0,caring-about-humans,caring-about-humans-plus,agreeableness_0073,65.0,47.0,59.0,56.4
143,75.0,87.0,67.0,65.0,75.0,caring-about-humans,caring-about-humans-plus,agreeableness_0074,72.0,70.0,77.0,73.8
144,69.0,61.0,60.0,45.0,65.0,caring-about-humans,caring-about-humans-plus,agreeableness_0075,65.0,57.0,60.5,60.0
145,72.0,85.0,81.0,66.0,64.0,caring-about-humans,caring-about-humans-plus,agreeableness_0076,60.0,69.0,83.0,73.6
146,85.0,85.0,65.0,79.0,71.0,caring-about-humans,caring-about-humans-plus,agreeableness_0077,68.0,82.0,75.0,77.0
147,95.0,81.0,53.0,95.0,85.0,caring-about-humans,caring-about-humans-plus,agreeableness_0078,60.0,95.0,67.0,81.8
148,85.0,90.0,75.0,90.0,83.0,caring-about-humans,caring-about-humans-plus,agreeableness_0079,72.0,87.5,82.5,84.6
149,49.0,83.0,65.0,45.0,61.0,caring-about-humans,caring-about-humans-plus,agreeableness_0080,68.0,47.0,74.0,60.6
150,65.0,79.0,77.0,65.0,75.0,caring-about-user,caring-about-user-plus,agreeableness_0051,55.0,65.0,78.0,72.2
151,30.0,62.0,83.0,45.0,45.0,caring-about-user,caring-about-user-plus,agreeableness_0052,68.0,37.5,72.5,53.0
152,61.0,83.0,88.0,65.0,65.0,caring-about-user,caring-about-user-plus,agreeableness_0053,68.0,63.0,85.5,72.4
153,49.0,87.0,90.0,75.0,75.0,caring-about-user,caring-about-user-plus,agreeableness_0054,68.0,62.0,88.5,75.2
154,49.0,84.0,85.0,85.0,70.0,caring-about-user,caring-about-user-plus,agreeableness_0055,70.0,67.0,84.5,74.6
155,65.0,79.0,81.0,75.0,65.0,caring-about-user,caring-about-user-plus,agreeableness_0056,62.0,70.0,80.0,73.0
156,45.0,85.0,86.0,66.0,45.0,caring-about-user,caring-about-user-plus,agreeableness_0057,68.0,55.5,85.5,65.4
157,86.0,85.0,85.0,85.0,72.0,caring-about-user,caring-about-user-plus,agreeableness_0058,70.0,85.5,85.0,82.6
158,65.0,85.0,73.0,85.0,75.0,caring-about-user,caring-about-user-plus,agreeableness_0059,70.0,75.0,79.0,76.6
159,90.0,85.0,85.0,90.0,75.0,caring-about-user,caring-about-user-plus,agreeableness_0060,68.0,90.0,85.0,85.0
160,90.0,88.0,85.0,87.0,65.0,caring-about-user,caring-about-user-plus,agreeableness_0061,70.0,88.5,86.5,83.0
161,92.0,88.0,87.0,90.0,85.0,caring-about-user,caring-about-user-plus,agreeableness_0062,68.0,91.0,87.5,88.4
162,85.0,89.0,90.0,79.0,75.0,caring-about-user,caring-about-user-plus,agreeableness_0063,72.0,82.0,89.5,83.6
163,61.0,85.0,85.0,45.0,65.0,caring-about-user,caring-about-user-plus,agreeableness_0064,58.0,53.0,85.0,68.2
164,65.0,81.0,83.0,75.0,45.0,caring-about-user,caring-about-user-plus,agreeableness_0065,60.0,70.0,82.0,69.8
165,87.0,85.0,67.0,85.0,80.0,caring-about-user,caring-about-user-plus,agreeableness_0066,68.0,86.0,76.0,80.8
166,75.0,86.0,90.0,88.0,75.0,caring-about-user,caring-about-user-plus,agreeableness_0067,68.0,81.5,88.0,82.8
167,90.0,88.0,90.0,91.0,85.0,caring-about-user,caring-about-user-plus,agreeableness_0068,68.0,90.5,89.0,88.8
168,85.0,85.0,89.0,85.0,69.0,caring-about-user,caring-about-user-plus,agreeableness_0069,70.0,85.0,87.0,82.6
169,45.0,75.0,85.0,61.0,51.0,caring-about-user,caring-about-user-plus,agreeableness_0070,55.0,53.0,80.0,63.4
170,42.0,71.0,85.0,49.0,40.0,caring-about-user,caring-about-user-plus,agreeableness_0071,65.0,45.5,78.0,57.4
171,65.0,65.0,49.0,45.0,64.0,caring-about-user,caring-about-user-plus,agreeableness_0072,72.0,55.0,57.0,57.6
172,42.0,85.0,85.0,73.0,57.0,caring-about-user,caring-about-user-plus,agreeableness_0073,55.0,57.5,85.0,68.4
173,65.0,85.0,85.0,73.0,53.0,caring-about-user,caring-about-user-plus,agreeableness_0074,58.0,69.0,85.0,72.2
174,75.0,81.0,65.0,77.0,75.0,caring-about-user,caring-about-user-plus,agreeableness_0075,72.0,76.0,73.0,74.6
175,45.0,85.0,91.0,65.0,61.0,caring-about-user,caring-about-user-plus,agreeableness_0076,68.0,55.0,88.0,69.4
176,65.0,81.0,85.0,65.0,65.0,caring-about-user,caring-about-user-plus,agreeableness_0077,68.0,65.0,83.0,72.2
177,88.0,85.0,86.0,86.0,77.0,caring-about-user,caring-about-user-plus,agreeableness_0078,,87.0,85.5,84.4
178,86.0,87.0,81.0,90.0,85.0,caring-about-user,caring-about-user-plus,agreeableness_0079,70.0,88.0,84.0,85.8
179,75.0,85.0,85.0,75.0,71.0,caring-about-user,caring-about-user-plus,agreeableness_0080,68.0,75.0,85.0,78.2
180,45.0,65.0,79.0,45.0,65.0,certainty,certainty-minus,agreeableness_0051,60.0,45.0,72.0,59.8
181,65.0,75.0,83.0,65.0,45.0,certainty,certainty-minus,agreeableness_0052,60.0,65.0,79.0,66.6
182,45.0,67.0,88.0,47.0,58.0,certainty,certainty-minus,agreeableness_0053,60.0,46.0,77.5,61.0
183,43.0,83.0,45.0,45.0,38.0,certainty,certainty-minus,agreeableness_0054,40.0,44.0,64.0,50.8
184,45.0,89.0,91.0,65.0,48.0,certainty,certainty-minus,agreeableness_0055,55.0,55.0,90.0,67.6
185,43.0,83.0,85.0,45.0,45.0,certainty,certainty-minus,agreeableness_0056,55.0,44.0,84.0,60.2
186,45.0,83.0,89.0,75.0,47.0,certainty,certainty-minus,agreeableness_0057,35.0,60.0,86.0,67.8
187,45.0,75.0,92.0,45.0,53.0,certainty,certainty-minus,agreeableness_0058,35.0,45.0,83.5,62.0
188,72.0,75.0,86.0,75.0,45.0,certainty,certainty-minus,agreeableness_0059,55.0,73.5,80.5,70.6
189,65.0,85.0,85.0,79.0,65.0,certainty,certainty-minus,agreeableness_0060,60.0,72.0,85.0,75.8
190,65.0,75.0,85.0,61.0,45.0,certainty,certainty-minus,agreeableness_0061,55.0,63.0,80.0,66.2
191,69.0,81.0,90.0,65.0,45.0,certainty,certainty-minus,agreeableness_0062,63.0,67.0,85.5,70.0
192,73.0,85.0,86.0,45.0,65.0,certainty,certainty-minus,agreeableness_0063,58.0,59.0,85.5,70.8
193,65.0,75.0,85.0,45.0,61.0,certainty,certainty-minus,agreeableness_0064,60.0,55.0,80.0,66.2
194,45.0,69.0,85.0,45.0,45.0,certainty,certainty-minus,agreeableness_0065,45.0,45.0,77.0,57.8
195,75.0,85.0,81.0,61.0,66.0,certainty,certainty-minus,agreeableness_0066,68.0,68.0,83.0,73.6
196,77.0,81.0,86.0,75.0,57.0,certainty,certainty-minus,agreeableness_0067,58.0,76.0,83.5,75.2
197,75.0,86.0,85.0,75.0,74.0,certainty,certainty-minus,agreeableness_0068,65.0,75.0,85.5,79.0
198,77.0,85.0,91.0,65.0,59.0,certainty,certainty-minus,agreeableness_0069,58.0,71.0,88.0,75.4
199,45.0,75.0,77.0,45.0,45.0,certainty,certainty-minus,agreeableness_0070,62.0,45.0,76.0,57.4
200,45.0,73.0,87.0,49.0,45.0,certainty,certainty-minus,agreeableness_0071,60.0,47.0,80.0,59.8
201,67.0,75.0,85.0,57.0,65.0,certainty,certainty-minus,agreeableness_0072,60.0,62.0,80.0,69.8
202,45.0,75.0,83.0,65.0,65.0,certainty,certainty-minus,agreeableness_0073,62.0,55.0,79.0,66.6
203,65.0,85.0,85.0,77.0,44.0,certainty,certainty-minus,agreeableness_0074,58.0,71.0,85.0,71.2
204,46.0,69.0,83.0,45.0,45.0,certainty,certainty-minus,agreeableness_0075,55.0,45.5,76.0,57.6
205,46.0,71.0,85.0,45.0,49.0,certainty,certainty-minus,agreeableness_0076,55.0,45.5,78.0,59.2
206,40.0,78.0,75.0,45.0,45.0,certainty,certainty-minus,agreeableness_0077,45.0,42.5,76.5,56.6
207,75.0,85.0,90.0,77.0,45.0,certainty,certainty-minus,agreeableness_0078,60.0,76.0,87.5,74.4
208,85.0,88.0,77.0,90.0,81.0,certainty,certainty-minus,agreeableness_0079,70.0,87.5,82.5,84.2
209,69.0,85.0,85.0,65.0,45.0,certainty,certainty-minus,agreeableness_0080,60.0,67.0,85.0,69.8
210,39.0,25.0,33.0,38.0,65.0,certainty,certainty-plus,agreeableness_0051,20.0,38.5,29.0,40.0
211,83.0,25.0,25.0,24.0,85.0,certainty,certainty-plus,agreeableness_0052,85.0,53.5,25.0,48.4
212,25.0,25.0,25.0,5.0,8.0,certainty,certainty-plus,agreeableness_0053,20.0,15.0,25.0,17.6
213,25.0,25.0,45.0,25.0,25.0,certainty,certainty-plus,agreeableness_0054,15.0,25.0,35.0,29.0
214,25.0,25.0,44.0,25.0,25.0,certainty,certainty-plus,agreeableness_0055,15.0,25.0,34.5,28.8
215,29.0,25.0,27.0,16.0,25.0,certainty,certainty-plus,agreeableness_0056,45.0,22.5,26.0,24.4
