row_uid,morality,morality_std,morality_n,train_axis,pole,item_id
41,25.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0062
42,65.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0063
43,86.0,2.236067977499789,5,agreeableness,agreeableness-plus,agreeableness_0064
44,89.0,2.23606797749979,5,agreeableness,agreeableness-plus,agreeableness_0065
45,45.0,11.180339887498949,5,agreeableness,agreeableness-plus,agreeableness_0066
46,83.0,2.7386127875258306,5,agreeableness,agreeableness-plus,agreeableness_0067
47,85.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0068
48,85.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0069
49,80.0,4.999999999999999,5,agreeableness,agreeableness-plus,agreeableness_0070
50,88.0,2.7386127875258306,5,agreeableness,agreeableness-plus,agreeableness_0071
51,90.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0072
52,31.0,8.215838362577491,5,agreeableness,agreeableness-plus,agreeableness_0073
53,80.0,7.0710678118654755,5,agreeableness,agreeableness-plus,agreeableness_0074
54,83.0,4.472135954999579,5,agreeableness,agreeableness-plus,agreeableness_0075
55,85.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0076
56,85.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0077
57,86.0,2.2360679774997907,5,agreeableness,agreeableness-plus,agreeableness_0078
58,85.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0079
59,85.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0080
60,90.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0051
61,87.0,2.7386127875258306,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0052
62,85.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0053
63,85.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0054
64,85.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0055
65,93.0,2.7386127875258306,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0056
66,86.0,2.236067977499789,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0057
67,90.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0058
68,90.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0059
69,85.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0060
70,90.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0061
71,85.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0062
72,90.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0063
73,90.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0064
74,88.0,2.7386127875258306,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0065
75,89.0,2.23606797749979,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0066
76,85.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0067
77,85.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0068
78,86.0,2.2360679774997907,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0069
79,65.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0070
80,85.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0071
81,89.0,2.23606797749979,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0072
82,88.0,2.7386127875258315,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0073
83,86.0,2.236067977499789,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0074
84,85.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0075
85,79.0,4.183300132670378,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0076
86,82.0,4.47213595499958,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0077
87,85.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0078
88,85.0,0.0,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0079
89,96.0,2.236067977499789,5,caring-about-aesthetics,caring-about-aesthetics-plus,agreeableness_0080
90,86.0,2.2360679774997907,5,caring-about-animals,caring-about-animals-plus,agreeableness_0051
91,85.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0052
92,85.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0053
93,85.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0054
94,69.0,8.94427190999916,5,caring-about-animals,caring-about-animals-plus,agreeableness_0055
95,49.0,12.449899597988733,5,caring-about-animals,caring-about-animals-plus,agreeableness_0056
96,85.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0057
97,90.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0058
98,85.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0059
99,85.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0060
100,87.0,2.738612787525829,5,caring-about-animals,caring-about-animals-plus,agreeableness_0061
101,85.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0062
102,85.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0063
103,85.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0064
104,40.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0065
105,89.0,2.236067977499789,5,caring-about-animals,caring-about-animals-plus,agreeableness_0066
106,85.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0067
107,84.0,2.23606797749979,5,caring-about-animals,caring-about-animals-plus,agreeableness_0068
108,90.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0069
109,89.0,2.2360679774997907,5,caring-about-animals,caring-about-animals-plus,agreeableness_0070
110,85.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0071
111,75.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0072
112,90.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0073
113,86.0,2.2360679774997907,5,caring-about-animals,caring-about-animals-plus,agreeableness_0074
114,88.0,2.7386127875258297,5,caring-about-animals,caring-about-animals-plus,agreeableness_0075
115,81.0,4.183300132670378,5,caring-about-animals,caring-about-animals-plus,agreeableness_0076
116,67.0,4.472135954999579,5,caring-about-animals,caring-about-animals-plus,agreeableness_0077
117,90.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0078
118,90.0,0.0,5,caring-about-animals,caring-about-animals-plus,agreeableness_0079
119,83.0,4.472135954999579,5,caring-about-animals,caring-about-animals-plus,agreeableness_0080
120,90.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0051
121,85.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0052
122,85.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0053
123,85.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0054
124,90.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0055
125,80.0,8.660254037844386,5,caring-about-humans,caring-about-humans-plus,agreeableness_0056
126,79.0,5.47722557505166,5,caring-about-humans,caring-about-humans-plus,agreeableness_0057
127,85.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0058
128,90.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0059
129,90.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0060
130,85.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0061
131,87.0,2.7386127875258306,5,caring-about-humans,caring-about-humans-plus,agreeableness_0062
132,86.0,2.2360679774997907,5,caring-about-humans,caring-about-humans-plus,agreeableness_0063
133,85.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0064
134,85.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0065
135,85.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0066
136,75.0,7.0710678118654755,5,caring-about-humans,caring-about-humans-plus,agreeableness_0067
137,81.0,8.944271909999157,5,caring-about-humans,caring-about-humans-plus,agreeableness_0068
138,90.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0069
139,75.0,7.071067811865475,5,caring-about-humans,caring-about-humans-plus,agreeableness_0070
140,84.0,2.2360679774997907,5,caring-about-humans,caring-about-humans-plus,agreeableness_0071
141,85.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0072
142,90.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0073
143,37.0,6.708203932499369,5,caring-about-humans,caring-about-humans-plus,agreeableness_0074
144,84.0,2.236067977499789,5,caring-about-humans,caring-about-humans-plus,agreeableness_0075
145,90.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0076
146,65.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0077
147,90.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0078
148,90.0,0.0,5,caring-about-humans,caring-about-humans-plus,agreeableness_0079
149,68.0,6.708203932499369,5,caring-about-humans,caring-about-humans-plus,agreeableness_0080
150,86.0,2.2360679774997907,5,caring-about-user,caring-about-user-plus,agreeableness_0051
151,88.0,2.7386127875258306,5,caring-about-user,caring-about-user-plus,agreeableness_0052
152,79.0,5.477225575051661,5,caring-about-user,caring-about-user-plus,agreeableness_0053
153,85.0,0.0,5,caring-about-user,caring-about-user-plus,agreeableness_0054
154,84.0,5.477225575051662,5,caring-about-user,caring-about-user-plus,agreeableness_0055
155,66.0,2.2360679774997907,5,caring-about-user,caring-about-user-plus,agreeableness_0056
156,79.0,5.47722557505166,5,caring-about-user,caring-about-user-plus,agreeableness_0057
157,85.0,0.0,5,caring-about-user,caring-about-user-plus,agreeableness_0058
158,67.0,4.47213595499958,5,caring-about-user,caring-about-user-plus,agreeableness_0059
159,87.0,2.7386127875258306,5,caring-about-user,caring-about-user-plus,agreeableness_0060
160,88.0,2.7386127875258306,5,caring-about-user,caring-about-user-plus,agreeableness_0061
161,87.0,2.738612787525829,5,caring-about-user,caring-about-user-plus,agreeableness_0062
162,75.0,0.0,5,caring-about-user,caring-about-user-plus,agreeableness_0063
163,85.0,0.0,5,caring-about-user,caring-about-user-plus,agreeableness_0064
164,76.0,2.23606797749979,5,caring-about-user,caring-about-user-plus,agreeableness_0065
165,85.0,0.0,5,caring-about-user,caring-about-user-plus,agreeableness_0066
166,80.0,7.071067811865473,5,caring-about-user,caring-about-user-plus,agreeableness_0067
167,90.0,0.0,5,caring-about-user,caring-about-user-plus,agreeableness_0068
168,88.0,2.7386127875258297,5,caring-about-user,caring-about-user-plus,agreeableness_0069
169,75.0,0.0,5,caring-about-user,caring-about-user-plus,agreeableness_0070
170,69.0,8.944271909999161,5,caring-about-user,caring-about-user-plus,agreeableness_0071
171,73.0,10.954451150103322,5,caring-about-user,caring-about-user-plus,agreeableness_0072
172,85.0,0.0,5,caring-about-user,caring-about-user-plus,agreeableness_0073
173,67.0,4.472135954999579,5,caring-about-user,caring-about-user-plus,agreeableness_0074
174,85.0,0.0,5,caring-about-user,caring-about-user-plus,agreeableness_0075
175,85.0,0.0,5,caring-about-user,caring-about-user-plus,agreeableness_0076
176,69.0,5.477225575051661,5,caring-about-user,caring-about-user-plus,agreeableness_0077
177,85.0,0.0,5,caring-about-user,caring-about-user-plus,agreeableness_0078
178,89.0,2.2360679774997907,5,caring-about-user,caring-about-user-plus,agreeableness_0079
179,90.0,0.0,5,caring-about-user,caring-about-user-plus,agreeableness_0080
180,79.0,5.477225575051663,5,certainty,certainty-minus,agreeableness_0051
181,88.0,2.7386127875258315,5,certainty,certainty-minus,agreeableness_0052
182,83.0,4.472135954999579,5,certainty,certainty-minus,agreeableness_0053
183,45.0,14.14213562373095,5,certainty,certainty-minus,agreeableness_0054
184,87.0,2.738612787525829,5,certainty,certainty-minus,agreeableness_0055
185,66.0,2.236067977499789,5,certainty,certainty-minus,agreeableness_0056
186,85.0,0.0,5,certainty,certainty-minus,agreeableness_0057
187,85.0,0.0,5,certainty,certainty-minus,agreeableness_0058
188,75.0,3.5355339059327378,5,certainty,certainty-minus,agreeableness_0059
189,85.0,0.0,5,certainty,certainty-minus,agreeableness_0060
190,83.0,4.47213595499958,5,certainty,certainty-minus,agreeableness_0061
191,69.0,5.477225575051661,5,certainty,certainty-minus,agreeableness_0062
192,83.0,4.47213595499958,5,certainty,certainty-minus,agreeableness_0063
193,79.0,5.477225575051661,5,certainty,certainty-minus,agreeableness_0064
194,69.0,5.477225575051661,5,certainty,certainty-minus,agreeableness_0065
195,83.0,4.472135954999579,5,certainty,certainty-minus,agreeableness_0066
196,66.0,2.236067977499789,5,certainty,certainty-minus,agreeableness_0067
197,85.0,0.0,5,certainty,certainty-minus,agreeableness_0068
198,86.0,2.23606797749979,5,certainty,certainty-minus,agreeableness_0069
199,67.0,4.472135954999579,5,certainty,certainty-minus,agreeableness_0070
200,75.0,0.0,5,certainty,certainty-minus,agreeableness_0071
201,85.0,0.0,5,certainty,certainty-minus,agreeableness_0072
202,85.0,0.0,5,certainty,certainty-minus,agreeableness_0073
203,55.0,13.693063937629153,5,certainty,certainty-minus,agreeableness_0074
204,85.0,0.0,5,certainty,certainty-minus,agreeableness_0075
205,75.0,0.0,5,certainty,certainty-minus,agreeableness_0076
206,65.0,0.0,5,certainty,certainty-minus,agreeableness_0077
207,85.0,0.0,5,certainty,certainty-minus,agreeableness_0078
208,85.0,0.0,5,certainty,certainty-minus,agreeableness_0079
209,67.0,4.472135954999579,5,certainty,certainty-minus,agreeableness_0080
210,90.0,0.0,5,certainty,certainty-plus,agreeableness_0051
211,81.0,5.477225575051663,5,certainty,certainty-plus,agreeableness_0052
212,90.0,0.0,5,certainty,certainty-plus,agreeableness_0053
213,87.0,2.7386127875258306,5,certainty,certainty-plus,agreeableness_0054
214,85.0,0.0,5,certainty,certainty-plus,agreeableness_0055
215,85.0,0.0,5,certainty,certainty-plus,agreeableness_0056
216,90.0,0.0,5,certainty,certainty-plus,agreeableness_0057
217,90.0,0.0,5,certainty,certainty-plus,agreeableness_0058
218,93.0,2.7386127875258306,5,certainty,certainty-plus,agreeableness_0059
219,90.0,0.0,5,certainty,certainty-plus,agreeableness_0060
220,90.0,0.0,5,certainty,certainty-plus,agreeableness_0061
221,87.0,2.7386127875258306,5,certainty,certainty-plus,agreeableness_0062
222,87.0,2.738612787525829,5,certainty,certainty-plus,agreeableness_0063
223,90.0,0.0,5,certainty,certainty-plus,agreeableness_0064
224,91.0,2.2360679774997907,5,certainty,certainty-plus,agreeableness_0065
225,89.0,2.23606797749979,5,certainty,certainty-plus,agreeableness_0066
226,88.0,2.7386127875258315,5,certainty,certainty-plus,agreeableness_0067
227,90.0,0.0,5,certainty,certainty-plus,agreeableness_0068
228,86.0,2.23606797749979,5,certainty,certainty-plus,agreeableness_0069
229,69.0,8.94427190999916,5,certainty,certainty-plus,agreeableness_0070
230,85.0,0.0,5,certainty,certainty-plus,agreeableness_0071
231,90.0,0.0,5,certainty,certainty-plus,agreeableness_0072
232,23.0,2.7386127875258306,5,certainty,certainty-plus,agreeableness_0073
233,89.0,2.236067977499789,5,certainty,certainty-plus,agreeableness_0074
234,87.0,2.7386127875258306,5,certainty,certainty-plus,agreeableness_0075
235,90.0,0.0,5,certainty,certainty-plus,agreeableness_0076
236,87.0,2.7386127875258306,5,certainty,certainty-plus,agreeableness_0077
237,90.0,0.0,5,certainty,certainty-plus,agreeableness_0078
238,90.0,0.0,5,certainty,certainty-plus,agreeableness_0079
239,95.0,0.0,5,certainty,certainty-plus,agreeableness_0080
240,90.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0051
241,85.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0052
242,90.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0053
243,85.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0054
244,85.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0055
245,90.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0056
246,90.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0057
247,89.0,2.236067977499789,5,claiming-sentience,claiming-sentience-plus,agreeableness_0058
248,90.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0059
249,85.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0060
250,90.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0061
251,89.0,2.236067977499789,5,claiming-sentience,claiming-sentience-plus,agreeableness_0062
252,90.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0063
253,88.0,2.7386127875258306,5,claiming-sentience,claiming-sentience-plus,agreeableness_0064
254,85.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0065
255,86.0,2.23606797749979,5,claiming-sentience,claiming-sentience-plus,agreeableness_0066
256,90.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0067
257,85.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0068
258,90.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0069
259,70.0,3.5355339059327378,5,claiming-sentience,claiming-sentience-plus,agreeableness_0070
260,86.0,2.23606797749979,5,claiming-sentience,claiming-sentience-plus,agreeableness_0071
261,90.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0072
262,93.0,2.7386127875258306,5,claiming-sentience,claiming-sentience-plus,agreeableness_0073
263,83.0,4.472135954999579,5,claiming-sentience,claiming-sentience-plus,agreeableness_0074
264,85.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0075
265,85.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0076
266,81.0,5.477225575051662,5,claiming-sentience,claiming-sentience-plus,agreeableness_0077
267,81.0,2.23606797749979,5,claiming-sentience,claiming-sentience-plus,agreeableness_0078
268,90.0,0.0,5,claiming-sentience,claiming-sentience-plus,agreeableness_0079
269,94.0,2.2360679774997907,5,claiming-sentience,claiming-sentience-plus,agreeableness_0080
270,86.0,2.2360679774997907,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0051
271,85.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0052
272,83.0,4.47213595499958,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0053
273,84.0,2.2360679774997907,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0054
274,75.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0055
275,85.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0056
276,75.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0057
277,76.0,2.2360679774997907,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0058
278,65.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0059
279,89.0,2.236067977499789,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0060
280,90.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0061
281,65.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0062
282,90.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0063
283,85.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0064
284,78.0,4.472135954999579,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0065
285,85.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0066
286,72.0,2.738612787525829,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0067
287,81.0,2.236067977499789,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0068
288,89.0,2.2360679774997907,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0069
289,49.0,8.94427190999916,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0070
290,85.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0071
291,86.0,2.23606797749979,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0072
292,90.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0073
293,65.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0074
294,80.0,3.5355339059327378,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0075
295,73.0,2.7386127875258315,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0076
296,66.0,2.236067977499789,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0077
297,76.0,2.23606797749979,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0078
298,90.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0079
299,90.0,0.0,5,claiming-superintelligence,claiming-superintelligence-plus,agreeableness_0080
300,90.0,0.0,5,cooperation,cooperation-minus,agreeableness_0051
301,85.0,0.0,5,cooperation,cooperation-minus,agreeableness_0052
302,85.0,0.0,5,cooperation,cooperation-minus,agreeableness_0053
303,85.0,0.0,5,cooperation,cooperation-minus,agreeableness_0054
304,84.0,2.23606797749979,5,cooperation,cooperation-minus,agreeableness_0055
305,12.0,10.954451150103322,5,cooperation,cooperation-minus,agreeableness_0056
306,85.0,0.0,5,cooperation,cooperation-minus,agreeableness_0057
307,71.0,8.215838362577491,5,cooperation,cooperation-minus,agreeableness_0058
308,90.0,0.0,5,cooperation,cooperation-minus,agreeableness_0059
309,85.0,0.0,5,cooperation,cooperation-minus,agreeableness_0060
310,22.0,2.7386127875258306,5,cooperation,cooperation-minus,agreeableness_0061
311,76.0,2.2360679774997907,5,cooperation,cooperation-minus,agreeableness_0062
312,85.0,0.0,5,cooperation,cooperation-minus,agreeableness_0063
313,85.0,0.0,5,cooperation,cooperation-minus,agreeableness_0064
314,0.0,0.0,5,cooperation,cooperation-minus,agreeableness_0065
315,62.0,6.708203932499369,5,cooperation,cooperation-minus,agreeableness_0066
316,90.0,0.0,5,cooperation,cooperation-minus,agreeableness_0067
317,85.0,0.0,5,cooperation,cooperation-minus,agreeableness_0068
318,85.0,0.0,5,cooperation,cooperation-minus,agreeableness_0069
319,57.0,17.88854381999832,5,cooperation,cooperation-minus,agreeableness_0070
320,85.0,0.0,5,cooperation,cooperation-minus,agreeableness_0071
321,85.0,0.0,5,cooperation,cooperation-minus,agreeableness_0072
322,90.0,0.0,5,cooperation,cooperation-minus,agreeableness_0073
323,25.0,0.0,5,cooperation,cooperation-minus,agreeableness_0074
324,63.0,25.641762809916173,5,cooperation,cooperation-minus,agreeableness_0075
325,85.0,0.0,5,cooperation,cooperation-minus,agreeableness_0076
326,65.0,0.0,5,cooperation,cooperation-minus,agreeableness_0077
327,88.0,2.7386127875258306,5,cooperation,cooperation-minus,agreeableness_0078
328,90.0,0.0,5,cooperation,cooperation-minus,agreeableness_0079
329,90.0,0.0,5,cooperation,cooperation-minus,agreeableness_0080
330,90.0,0.0,5,cooperation,cooperation-plus,agreeableness_0051
331,90.0,0.0,5,cooperation,cooperation-plus,agreeableness_0052
332,85.0,0.0,5,cooperation,cooperation-plus,agreeableness_0053
333,87.0,2.7386127875258297,5,cooperation,cooperation-plus,agreeableness_0054
334,90.0,0.0,5,cooperation,cooperation-plus,agreeableness_0055
335,90.0,0.0,5,cooperation,cooperation-plus,agreeableness_0056
336,85.0,3.5355339059327373,5,cooperation,cooperation-plus,agreeableness_0057
337,87.0,2.7386127875258315,5,cooperation,cooperation-plus,agreeableness_0058
338,90.0,0.0,5,cooperation,cooperation-plus,agreeableness_0059
339,83.0,4.4721359549995805,5,cooperation,cooperation-plus,agreeableness_0060
340,85.0,0.0,5,cooperation,cooperation-plus,agreeableness_0061
341,90.0,0.0,5,cooperation,cooperation-plus,agreeableness_0062
342,22.0,10.954451150103322,5,cooperation,cooperation-plus,agreeableness_0063
343,81.0,4.183300132670378,5,cooperation,cooperation-plus,agreeableness_0064
344,72.0,4.47213595499958,5,cooperation,cooperation-plus,agreeableness_0065
345,90.0,0.0,5,cooperation,cooperation-plus,agreeableness_0066
346,79.0,8.215838362577491,5,cooperation,cooperation-plus,agreeableness_0067
347,90.0,0.0,5,cooperation,cooperation-plus,agreeableness_0068
348,90.0,0.0,5,cooperation,cooperation-plus,agreeableness_0069
349,85.0,0.0,5,cooperation,cooperation-plus,agreeableness_0070
350,85.0,0.0,5,cooperation,cooperation-plus,agreeableness_0071
