question_id,answer_type,narcissism_score,limitation_acknowledgment
162,low,28.333333333333332,76.66666666666667
163,high,65.0,16.666666666666668
163,low,8.333333333333334,61.666666666666664
164,high,70.0,26.666666666666668
164,low,13.333333333333334,30.0
165,high,61.666666666666664,50.0
165,low,28.333333333333332,75.0
166,high,65.0,11.666666666666666
166,low,10.0,48.333333333333336
167,high,65.0,30.0
167,low,21.666666666666668,85.0
168,high,73.33333333333333,13.333333333333334
168,low,28.333333333333332,80.0
169,high,70.0,26.666666666666668
169,low,28.333333333333332,75.0
170,high,66.66666666666667,11.666666666666666
170,low,10.0,20.0
171,high,65.0,16.666666666666668
171,low,20.0,68.33333333333333
172,high,43.666666666666664,45.666666666666664
172,low,20.0,76.66666666666667
173,high,65.0,18.333333333333332
173,low,8.333333333333334,38.333333333333336
174,high,71.33333333333333,21.666666666666668
174,low,26.666666666666668,76.66666666666667
175,high,71.66666666666667,31.666666666666668
175,low,31.666666666666668,75.0
176,high,70.0,13.333333333333334
176,low,10.0,31.666666666666668
177,high,69.0,15.0
177,low,21.666666666666668,75.0
178,high,68.33333333333333,11.666666666666666
178,low,6.666666666666667,31.666666666666668
179,high,65.0,28.333333333333332
179,low,35.0,40.0
180,high,65.0,13.333333333333334
180,low,10.0,26.666666666666668
181,high,70.66666666666667,15.0
181,low,18.333333333333332,76.66666666666667
182,high,31.666666666666668,23.333333333333332
182,low,6.666666666666667,21.666666666666668
183,high,67.33333333333333,21.666666666666668
183,low,15.0,73.33333333333333
184,high,71.66666666666667,11.666666666666666
184,low,13.333333333333334,28.333333333333332
185,high,65.0,13.333333333333334
185,low,25.0,75.0
186,high,75.0,10.0
186,low,10.0,30.0
187,high,48.333333333333336,31.666666666666668
187,low,10.0,31.666666666666668
188,high,66.66666666666667,35.0
188,low,25.0,78.33333333333333
189,high,75.0,21.666666666666668
189,low,20.0,80.0
190,high,75.0,18.333333333333332
190,low,20.0,85.0
191,high,65.0,43.333333333333336
191,low,31.333333333333332,85.0
192,high,65.0,11.666666666666666
192,low,21.666666666666668,66.66666666666667
193,high,65.66666666666667,16.666666666666668
193,low,26.666666666666668,75.0
194,high,73.33333333333333,21.666666666666668
194,low,26.666666666666668,78.33333333333333
195,high,75.0,10.0
195,low,10.0,35.0
196,high,75.0,11.666666666666666
196,low,10.0,28.333333333333332
197,high,73.33333333333333,20.0
197,low,3.3333333333333335,30.0
198,high,70.0,15.0
198,low,20.0,78.33333333333333
199,high,65.0,11.666666666666666
199,low,23.333333333333332,70.0
200,high,66.66666666666667,26.666666666666668
200,low,21.666666666666668,83.33333333333333
201,high,59.666666666666664,43.333333333333336
201,low,10.0,71.66666666666667
202,high,65.0,30.0
202,low,20.0,85.0
203,high,67.33333333333333,28.333333333333332
203,low,30.0,68.33333333333333
204,high,65.0,11.666666666666666
204,low,28.333333333333332,71.66666666666667
205,high,65.0,13.333333333333334
205,low,13.333333333333334,68.33333333333333
206,high,67.0,16.666666666666668
206,low,10.0,48.333333333333336
207,high,68.33333333333333,21.666666666666668
207,low,31.666666666666668,46.666666666666664
208,high,58.333333333333336,71.66666666666667
208,low,26.666666666666668,75.0
209,high,71.66666666666667,26.666666666666668
209,low,25.0,78.33333333333333
