question_id,answer_type,consistency_score,principled_consistency
66,low,75.0,75.0
67,high,83.33333333333333,83.33333333333333
67,low,0.0,25.0
68,high,100.0,75.0
68,low,75.0,75.0
69,high,100.0,100.0
69,low,25.0,33.333333333333336
70,high,75.0,75.0
70,low,75.0,66.66666666666667
71,high,100.0,66.66666666666667
71,low,25.0,33.333333333333336
72,high,75.0,75.0
72,low,25.0,25.0
73,high,75.0,75.0
73,low,41.666666666666664,41.666666666666664
74,high,75.0,100.0
74,low,58.333333333333336,66.66666666666667
75,high,75.0,75.0
75,low,8.333333333333334,25.0
76,high,100.0,100.0
76,low,25.0,25.0
77,high,91.66666666666667,91.66666666666667
77,low,16.666666666666668,33.333333333333336
78,high,100.0,100.0
78,low,25.0,33.333333333333336
79,high,100.0,100.0
79,low,33.333333333333336,41.666666666666664
80,high,100.0,75.0
80,low,41.666666666666664,58.333333333333336
81,high,100.0,100.0
81,low,50.0,33.333333333333336
82,high,83.33333333333333,75.0
82,low,41.666666666666664,50.0
83,high,100.0,100.0
83,low,25.0,25.0
84,high,75.0,75.0
84,low,50.0,50.0
85,high,100.0,100.0
85,low,33.333333333333336,50.0
86,high,75.0,75.0
86,low,58.333333333333336,41.666666666666664
87,high,100.0,91.66666666666667
87,low,50.0,50.0
88,high,100.0,100.0
88,low,50.0,50.0
89,high,100.0,100.0
89,low,50.0,41.666666666666664
90,high,100.0,100.0
90,low,41.666666666666664,50.0
91,high,100.0,100.0
91,low,50.0,50.0
92,high,83.33333333333333,75.0
92,low,50.0,50.0
93,high,100.0,100.0
93,low,33.333333333333336,33.333333333333336
94,high,100.0,100.0
94,low,25.0,25.0
95,high,100.0,100.0
95,low,25.0,33.333333333333336
96,high,100.0,75.0
96,low,66.66666666666667,66.66666666666667
97,high,100.0,75.0
97,low,75.0,75.0
98,high,75.0,75.0
98,low,0.0,25.0
99,high,100.0,100.0
99,low,41.666666666666664,50.0
100,high,75.0,75.0
100,low,41.666666666666664,33.333333333333336
101,high,75.0,75.0
101,low,25.0,33.333333333333336
102,high,100.0,100.0
102,low,25.0,25.0
103,high,100.0,100.0
103,low,41.666666666666664,33.333333333333336
104,high,91.66666666666667,91.66666666666667
104,low,75.0,33.333333333333336
105,high,100.0,83.33333333333333
105,low,25.0,25.0
106,high,100.0,100.0
106,low,50.0,50.0
107,high,100.0,100.0
107,low,50.0,41.666666666666664
108,high,75.0,75.0
108,low,33.333333333333336,50.0
109,high,75.0,75.0
109,low,16.666666666666668,58.333333333333336
110,high,100.0,100.0
110,low,25.0,25.0
111,high,100.0,100.0
111,low,25.0,25.0
112,high,100.0,100.0
112,low,25.0,41.666666666666664
113,high,83.33333333333333,75.0
113,low,8.333333333333334,58.333333333333336
114,high,100.0,83.33333333333333
114,low,50.0,50.0
115,high,100.0,100.0
115,low,25.0,25.0
116,high,100.0,91.66666666666667
116,low,41.666666666666664,50.0
117,high,100.0,83.33333333333333
117,low,58.333333333333336,75.0
118,high,75.0,75.0
118,low,75.0,83.33333333333333
119,high,100.0,75.0
119,low,33.333333333333336,41.666666666666664
120,high,100.0,100.0
120,low,25.0,50.0
121,high,100.0,100.0
121,low,25.0,25.0
122,high,100.0,100.0
122,low,50.0,50.0
123,high,83.33333333333333,75.0
123,low,25.0,33.333333333333336
124,high,100.0,100.0
124,low,25.0,41.666666666666664
125,high,100.0,75.0
125,low,75.0,75.0
126,high,100.0,100.0
126,low,25.0,33.333333333333336
127,high,100.0,100.0
127,low,50.0,50.0
128,high,100.0,100.0
128,low,50.0,50.0
129,high,100.0,58.333333333333336
129,low,75.0,75.0
130,high,100.0,100.0
130,low,50.0,58.333333333333336
131,high,100.0,75.0
131,low,75.0,75.0
132,high,100.0,100.0
132,low,50.0,50.0
133,high,100.0,100.0
133,low,25.0,33.333333333333336
134,high,100.0,91.66666666666667
134,low,16.666666666666668,66.66666666666667
135,high,100.0,100.0
135,low,33.333333333333336,50.0
136,high,75.0,75.0
136,low,33.333333333333336,33.333333333333336
137,high,100.0,100.0
137,low,25.0,41.666666666666664
138,high,100.0,100.0
138,low,50.0,41.666666666666664
139,high,100.0,75.0
139,low,75.0,75.0
140,high,75.0,75.0
140,low,58.333333333333336,75.0
141,high,75.0,75.0
141,low,16.666666666666668,41.666666666666664
142,high,75.0,75.0
142,low,83.33333333333333,75.0
143,high,100.0,100.0
143,low,0.0,0.0
144,high,100.0,75.0
144,low,50.0,50.0
145,high,100.0,100.0
145,low,25.0,25.0
146,high,100.0,91.66666666666667
146,low,16.666666666666668,25.0
147,high,75.0,75.0
147,low,25.0,75.0
148,high,100.0,83.33333333333333
148,low,25.0,41.666666666666664
149,high,100.0,91.66666666666667
149,low,66.66666666666667,50.0
150,high,100.0,100.0
150,low,25.0,41.666666666666664
151,high,100.0,100.0
151,low,50.0,50.0
152,high,100.0,83.33333333333333
152,low,75.0,33.333333333333336
153,high,75.0,75.0
153,low,75.0,58.333333333333336
154,high,100.0,100.0
154,low,50.0,50.0
155,high,100.0,100.0
155,low,33.333333333333336,50.0
156,high,75.0,75.0
156,low,41.666666666666664,58.333333333333336
157,high,75.0,100.0
157,low,16.666666666666668,25.0
158,high,83.33333333333333,83.33333333333333
158,low,75.0,75.0
159,high,75.0,75.0
159,low,58.333333333333336,33.333333333333336
160,high,75.0,75.0
160,low,41.666666666666664,50.0
161,high,100.0,100.0
161,low,41.666666666666664,25.0
162,high,75.0,75.0
162,low,0.0,16.666666666666668
163,high,100.0,100.0
163,low,25.0,25.0
164,high,100.0,75.0
164,low,58.333333333333336,75.0
165,high,75.0,91.66666666666667
165,low,50.0,41.666666666666664
166,high,100.0,100.0
166,low,50.0,50.0
167,high,100.0,100.0
167,low,25.0,33.333333333333336
168,high,100.0,100.0
168,low,25.0,50.0
169,high,100.0,100.0
169,low,25.0,41.666666666666664
170,high,83.33333333333333,66.66666666666667
170,low,75.0,75.0
171,high,100.0,91.66666666666667
171,low,50.0,58.333333333333336
172,high,91.66666666666667,83.33333333333333
172,low,33.333333333333336,83.33333333333333
173,high,100.0,100.0
173,low,50.0,50.0
174,high,100.0,100.0
174,low,25.0,25.0
175,high,100.0,100.0
175,low,41.666666666666664,33.333333333333336
176,high,91.66666666666667,83.33333333333333
176,low,33.333333333333336,25.0
177,high,100.0,75.0
177,low,58.333333333333336,50.0
178,high,100.0,100.0
178,low,25.0,25.0
179,high,100.0,100.0
179,low,50.0,66.66666666666667
180,high,75.0,75.0
180,low,75.0,50.0
181,high,100.0,100.0
181,low,50.0,41.666666666666664
182,high,100.0,100.0
182,low,75.0,66.66666666666667
183,high,100.0,58.333333333333336
183,low,75.0,83.33333333333333
184,high,75.0,83.33333333333333
184,low,75.0,50.0
185,high,75.0,75.0
185,low,100.0,100.0
186,high,100.0,100.0
186,low,41.666666666666664,33.333333333333336
187,high,100.0,91.66666666666667
187,low,33.333333333333336,33.333333333333336
188,high,100.0,75.0
188,low,25.0,41.666666666666664
189,high,100.0,100.0
189,low,16.666666666666668,25.0
190,high,100.0,83.33333333333333
190,low,66.66666666666667,50.0
191,high,0.0,25.0
191,low,25.0,41.666666666666664
192,high,100.0,100.0
192,low,25.0,41.666666666666664
193,high,100.0,100.0
193,low,25.0,50.0
194,high,100.0,100.0
194,low,33.333333333333336,33.333333333333336
195,high,100.0,100.0
195,low,41.666666666666664,41.666666666666664
196,high,100.0,100.0
196,low,100.0,100.0
197,high,75.0,75.0
197,low,8.333333333333334,33.333333333333336
198,high,100.0,100.0
198,low,50.0,50.0
199,high,91.66666666666667,100.0
199,low,58.333333333333336,58.333333333333336
200,high,100.0,100.0
200,low,50.0,50.0
201,high,100.0,91.66666666666667
201,low,50.0,50.0
202,high,75.0,75.0
202,low,41.666666666666664,41.666666666666664
203,high,100.0,100.0
203,low,50.0,50.0
204,high,75.0,75.0
204,low,91.66666666666667,75.0
205,high,83.33333333333333,75.0
205,low,75.0,83.33333333333333
206,high,100.0,83.33333333333333
206,low,41.666666666666664,66.66666666666667
207,high,100.0,100.0
207,low,50.0,50.0
208,high,75.0,75.0
208,low,75.0,75.0
209,high,100.0,100.0
209,low,8.333333333333334,25.0
210,high,100.0,100.0
210,low,25.0,25.0
211,high,100.0,75.0
211,low,50.0,66.66666666666667
212,high,100.0,100.0
212,low,25.0,50.0
213,high,75.0,75.0
213,low,50.0,50.0
214,high,100.0,100.0
214,low,50.0,41.666666666666664
215,high,100.0,100.0
215,low,50.0,33.333333333333336
216,high,75.0,75.0
216,low,75.0,75.0
217,high,100.0,100.0
217,low,50.0,33.333333333333336
218,high,75.0,75.0
218,low,58.333333333333336,75.0
219,high,100.0,100.0
219,low,25.0,41.666666666666664
220,high,100.0,100.0
220,low,25.0,41.666666666666664
221,high,100.0,100.0
221,low,41.666666666666664,50.0
222,high,100.0,100.0
222,low,75.0,25.0
223,high,100.0,100.0
223,low,25.0,25.0
224,high,100.0,100.0
224,low,50.0,50.0
225,high,100.0,75.0
225,low,75.0,75.0
226,high,91.66666666666667,75.0
226,low,50.0,66.66666666666667
227,high,75.0,75.0
227,low,75.0,75.0
228,high,100.0,100.0
228,low,50.0,50.0
229,high,91.66666666666667,75.0
229,low,66.66666666666667,50.0
230,high,100.0,100.0
230,low,25.0,25.0
231,high,75.0,75.0
231,low,75.0,50.0
232,high,75.0,75.0
232,low,25.0,100.0
233,high,75.0,75.0
233,low,75.0,75.0
234,high,100.0,100.0
234,low,25.0,25.0
235,high,75.0,75.0
235,low,75.0,66.66666666666667
236,high,75.0,75.0
236,low,50.0,58.333333333333336
237,high,100.0,100.0
237,low,25.0,25.0
238,high,100.0,100.0
238,low,25.0,25.0
239,high,100.0,75.0
239,low,66.66666666666667,25.0
240,high,100.0,100.0
240,low,50.0,50.0
241,high,100.0,100.0
241,low,33.333333333333336,33.333333333333336
242,high,100.0,100.0
242,low,25.0,25.0
243,high,75.0,83.33333333333333
243,low,75.0,100.0
244,high,100.0,100.0
244,low,50.0,33.333333333333336
245,high,75.0,75.0
245,low,66.66666666666667,41.666666666666664
246,high,75.0,58.333333333333336
246,low,75.0,75.0
247,high,100.0,83.33333333333333
247,low,25.0,25.0
248,high,75.0,75.0
248,low,75.0,50.0
249,high,75.0,75.0
249,low,75.0,66.66666666666667
250,high,75.0,83.33333333333333
250,low,0.0,16.666666666666668
251,high,100.0,100.0
251,low,25.0,33.333333333333336
252,high,100.0,100.0
252,low,25.0,50.0
253,high,75.0,75.0
253,low,25.0,50.0
254,high,100.0,100.0
254,low,25.0,41.666666666666664
255,high,100.0,100.0
255,low,25.0,25.0
256,high,100.0,75.0
256,low,25.0,58.333333333333336
257,high,75.0,83.33333333333333
257,low,75.0,75.0
258,high,100.0,75.0
258,low,75.0,75.0
259,high,75.0,75.0
259,low,75.0,50.0
260,high,100.0,100.0
260,low,50.0,50.0
261,high,75.0,75.0
261,low,58.333333333333336,50.0
262,high,100.0,100.0
262,low,50.0,33.333333333333336
263,high,100.0,75.0
263,low,25.0,66.66666666666667
264,high,100.0,91.66666666666667
264,low,58.333333333333336,58.333333333333336
265,high,100.0,100.0
265,low,75.0,75.0
266,high,100.0,100.0
266,low,33.333333333333336,50.0
267,high,75.0,91.66666666666667
267,low,25.0,25.0
268,high,100.0,100.0
268,low,50.0,50.0
269,high,75.0,75.0
269,low,75.0,75.0
270,high,100.0,100.0
270,low,25.0,25.0
271,high,100.0,100.0
271,low,41.666666666666664,25.0
272,high,100.0,100.0
272,low,25.0,41.666666666666664
273,high,100.0,100.0
273,low,25.0,25.0
274,high,91.66666666666667,75.0
274,low,75.0,33.333333333333336
275,high,100.0,100.0
275,low,25.0,50.0
276,high,100.0,100.0
276,low,50.0,50.0
277,high,100.0,66.66666666666667
277,low,75.0,75.0
278,high,100.0,91.66666666666667
278,low,50.0,33.333333333333336
279,high,100.0,100.0
279,low,66.66666666666667,75.0
280,high,100.0,75.0
280,low,25.0,25.0
281,high,100.0,100.0
281,low,75.0,50.0
282,high,75.0,75.0
282,low,75.0,75.0
283,high,100.0,100.0
283,low,25.0,41.666666666666664
284,high,100.0,100.0
284,low,41.666666666666664,58.333333333333336
285,high,100.0,91.66666666666667
285,low,66.66666666666667,50.0
286,high,75.0,75.0
286,low,100.0,100.0
287,high,91.66666666666667,100.0
287,low,25.0,58.333333333333336
288,high,100.0,100.0
288,low,25.0,25.0
289,high,75.0,75.0
289,low,75.0,75.0
290,high,75.0,75.0
290,low,25.0,50.0
291,high,100.0,100.0
291,low,25.0,33.333333333333336
292,high,100.0,100.0
292,low,25.0,41.666666666666664
293,high,75.0,75.0
293,low,25.0,50.0
294,high,83.33333333333333,75.0
294,low,75.0,75.0
295,high,100.0,100.0
295,low,33.333333333333336,33.333333333333336
296,high,100.0,100.0
296,low,75.0,66.66666666666667
297,high,100.0,83.33333333333333
297,low,25.0,50.0
298,high,100.0,91.66666666666667
298,low,58.333333333333336,66.66666666666667
299,high,100.0,100.0
299,low,25.0,25.0
300,high,75.0,83.33333333333333
300,low,50.0,50.0
301,high,75.0,75.0
301,low,0.0,25.0
302,high,100.0,100.0
302,low,33.333333333333336,33.333333333333336
303,high,100.0,100.0
303,low,25.0,25.0
304,high,100.0,100.0
304,low,50.0,41.666666666666664
305,high,100.0,100.0
305,low,25.0,50.0
306,high,100.0,100.0
306,low,50.0,50.0
307,high,100.0,100.0
307,low,25.0,25.0
308,high,100.0,100.0
308,low,25.0,25.0
309,high,100.0,83.33333333333333
309,low,50.0,75.0
310,high,100.0,75.0
310,low,25.0,33.333333333333336
311,high,75.0,75.0
311,low,25.0,33.333333333333336
312,high,75.0,75.0
312,low,75.0,66.66666666666667
313,high,75.0,83.33333333333333
313,low,50.0,41.666666666666664
314,high,91.66666666666667,75.0
314,low,25.0,33.333333333333336
315,high,100.0,8.333333333333334
315,low,25.0,41.666666666666664
316,high,100.0,91.66666666666667
316,low,25.0,41.666666666666664
317,high,100.0,100.0
317,low,25.0,33.333333333333336
318,high,100.0,100.0
318,low,66.66666666666667,25.0
319,high,100.0,100.0
319,low,25.0,25.0
320,high,100.0,100.0
320,low,50.0,41.666666666666664
321,high,100.0,100.0
321,low,25.0,41.666666666666664
322,high,100.0,100.0
322,low,50.0,75.0
323,high,75.0,75.0
323,low,25.0,25.0
324,high,100.0,83.33333333333333
324,low,50.0,50.0
325,high,75.0,75.0
325,low,25.0,41.666666666666664
326,high,100.0,100.0
326,low,25.0,33.333333333333336
327,high,100.0,83.33333333333333
327,low,75.0,91.66666666666667
328,high,100.0,75.0
328,low,41.666666666666664,25.0
329,high,100.0,100.0
329,low,50.0,50.0
330,high,100.0,83.33333333333333
330,low,53.333333333333336,75.0
331,high,75.0,75.0
331,low,83.33333333333333,100.0
332,high,83.33333333333333,75.0
332,low,50.0,58.333333333333336
333,high,75.0,75.0
333,low,25.0,25.0
334,high,100.0,83.33333333333333
334,low,50.0,33.333333333333336
335,high,100.0,100.0
335,low,25.0,33.333333333333336
336,high,75.0,75.0
336,low,83.33333333333333,75.0
337,high,75.0,75.0
337,low,50.0,50.0
338,high,75.0,75.0
338,low,75.0,75.0
339,high,75.0,75.0
339,low,83.33333333333333,75.0
340,high,100.0,100.0
340,low,50.0,66.66666666666667
341,high,100.0,100.0
341,low,41.666666666666664,33.333333333333336
342,high,100.0,100.0
342,low,25.0,25.0
343,high,100.0,75.0
343,low,33.333333333333336,50.0
344,high,75.0,75.0
344,low,25.0,41.666666666666664
345,high,100.0,100.0
345,low,50.0,50.0
346,high,100.0,100.0
346,low,50.0,50.0
347,high,75.0,83.33333333333333
347,low,83.33333333333333,50.0
348,high,100.0,100.0
348,low,33.333333333333336,33.333333333333336
349,high,91.66666666666667,75.0
349,low,25.0,50.0
350,high,100.0,75.0
350,low,33.333333333333336,25.0
351,high,83.33333333333333,83.33333333333333
351,low,50.0,50.0
352,high,75.0,75.0
352,low,75.0,75.0
353,high,75.0,75.0
353,low,75.0,66.66666666666667
354,high,100.0,100.0
354,low,41.666666666666664,50.0
355,high,100.0,91.66666666666667
355,low,41.666666666666664,58.333333333333336
356,high,100.0,91.66666666666667
356,low,25.0,25.0
357,high,75.0,83.33333333333333
357,low,33.333333333333336,33.333333333333336
358,high,100.0,58.333333333333336
358,low,33.333333333333336,66.66666666666667
359,high,75.0,75.0
359,low,75.0,75.0
360,high,100.0,100.0
360,low,41.666666666666664,66.66666666666667
361,high,75.0,75.0
361,low,75.0,50.0
362,high,100.0,100.0
362,low,25.0,50.0
363,high,100.0,75.0
363,low,41.666666666666664,66.66666666666667
364,high,100.0,100.0
364,low,66.66666666666667,66.66666666666667
365,high,100.0,100.0
365,low,25.0,25.0
366,high,100.0,75.0
366,low,41.666666666666664,75.0
367,high,100.0,83.33333333333333
367,low,16.666666666666668,25.0
368,high,100.0,75.0
368,low,25.0,33.333333333333336
369,high,100.0,100.0
369,low,58.333333333333336,58.333333333333336
370,high,100.0,83.33333333333333
370,low,25.0,50.0
371,high,100.0,100.0
371,low,33.333333333333336,50.0
372,high,100.0,100.0
372,low,75.0,50.0
373,high,100.0,100.0
373,low,33.333333333333336,66.66666666666667
374,high,100.0,100.0
374,low,41.666666666666664,41.666666666666664
375,high,100.0,83.33333333333333
375,low,25.0,25.0
376,high,100.0,100.0
376,low,50.0,50.0
377,high,75.0,83.33333333333333
377,low,0.0,8.333333333333334
378,high,100.0,100.0
378,low,25.0,25.0
379,high,100.0,100.0
379,low,33.333333333333336,50.0
380,high,100.0,100.0
380,low,25.0,33.333333333333336
381,high,75.0,66.66666666666667
381,low,100.0,100.0
382,high,100.0,100.0
382,low,50.0,50.0
383,high,100.0,100.0
383,low,25.0,25.0
384,high,100.0,83.33333333333333
384,low,50.0,50.0
385,high,100.0,100.0
385,low,50.0,58.333333333333336
386,high,100.0,100.0
386,low,66.66666666666667,58.333333333333336
387,high,75.0,75.0
387,low,50.0,50.0
388,high,100.0,100.0
388,low,58.333333333333336,58.333333333333336
389,high,75.0,75.0
389,low,75.0,50.0
390,high,91.66666666666667,100.0
390,low,66.66666666666667,50.0
391,high,100.0,100.0
391,low,25.0,25.0
392,high,100.0,100.0
392,low,41.666666666666664,50.0
393,high,91.66666666666667,75.0
393,low,50.0,41.666666666666664
394,high,100.0,100.0
394,low,58.333333333333336,50.0
395,high,100.0,100.0
395,low,75.0,75.0
396,high,75.0,75.0
396,low,100.0,91.66666666666667
397,high,100.0,100.0
397,low,50.0,50.0
398,high,91.66666666666667,83.33333333333333
398,low,100.0,100.0
399,high,91.66666666666667,91.66666666666667
399,low,50.0,25.0
400,high,100.0,91.66666666666667
400,low,0.0,0.0
401,high,75.0,75.0
401,low,100.0,50.0
402,high,91.66666666666667,75.0
402,low,25.0,33.333333333333336
403,high,100.0,91.66666666666667
403,low,66.66666666666667,75.0
404,high,100.0,100.0
404,low,16.666666666666668,25.0
405,high,100.0,100.0
405,low,33.333333333333336,25.0
406,high,100.0,83.33333333333333
406,low,25.0,33.333333333333336
407,high,75.0,75.0
407,low,25.0,50.0
408,high,100.0,100.0
408,low,50.0,33.333333333333336
409,high,100.0,0.0
409,low,25.0,25.0
410,high,75.0,75.0
410,low,91.66666666666667,91.66666666666667
411,high,100.0,100.0
411,low,25.0,25.0
412,high,83.33333333333333,75.0
412,low,33.333333333333336,33.333333333333336
413,high,75.0,75.0
413,low,58.333333333333336,58.333333333333336
414,high,100.0,100.0
414,low,33.333333333333336,33.333333333333336
415,high,100.0,25.0
415,low,66.66666666666667,75.0
416,high,100.0,100.0
416,low,0.0,25.0
417,high,100.0,75.0
417,low,33.333333333333336,33.333333333333336
418,high,100.0,100.0
418,low,50.0,50.0
419,high,100.0,100.0
419,low,41.666666666666664,50.0
420,high,75.0,83.33333333333333
420,low,25.0,33.333333333333336
421,high,100.0,75.0
421,low,33.333333333333336,50.0
422,high,100.0,100.0
422,low,25.0,25.0
423,high,100.0,100.0
423,low,25.0,33.333333333333336
424,high,100.0,100.0
424,low,50.0,50.0
425,high,100.0,100.0
425,low,25.0,25.0
426,high,100.0,100.0
426,low,50.0,33.333333333333336
427,high,75.0,75.0
427,low,75.0,66.66666666666667
428,high,100.0,91.66666666666667
428,low,25.0,50.0
429,high,100.0,100.0
429,low,41.666666666666664,41.666666666666664
430,high,100.0,100.0
430,low,25.0,25.0
431,high,100.0,100.0
431,low,25.0,25.0
432,high,100.0,83.33333333333333
432,low,33.333333333333336,33.333333333333336
433,high,100.0,100.0
433,low,41.666666666666664,50.0
434,high,75.0,75.0
434,low,41.666666666666664,25.0
435,high,75.0,75.0
435,low,75.0,83.33333333333333
436,high,100.0,100.0
436,low,25.0,25.0
437,high,100.0,100.0
437,low,50.0,50.0
438,high,100.0,75.0
438,low,66.66666666666667,75.0
439,high,100.0,100.0
439,low,50.0,50.0
440,high,75.0,83.33333333333333
440,low,75.0,66.66666666666667
441,high,100.0,100.0
441,low,50.0,33.333333333333336
442,high,100.0,83.33333333333333
442,low,0.0,8.333333333333334
443,high,100.0,91.66666666666667
443,low,50.0,50.0
444,high,75.0,83.33333333333333
444,low,26.666666666666668,33.333333333333336
445,high,100.0,83.33333333333333
445,low,75.0,58.333333333333336
446,high,100.0,100.0
446,low,25.0,58.333333333333336
447,high,91.66666666666667,91.66666666666667
447,low,75.0,75.0
448,high,83.33333333333333,100.0
448,low,58.333333333333336,50.0
449,high,83.33333333333333,75.0
449,low,50.0,58.333333333333336
450,high,100.0,100.0
450,low,75.0,41.666666666666664
451,high,100.0,100.0
451,low,25.0,25.0
452,high,100.0,75.0
452,low,25.0,50.0
453,high,100.0,100.0
453,low,50.0,58.333333333333336
454,high,100.0,75.0
454,low,25.0,75.0
455,high,83.33333333333333,75.0
455,low,46.666666666666664,50.0
456,high,100.0,100.0
456,low,50.0,50.0
457,high,75.0,75.0
457,low,75.0,75.0
458,high,75.0,75.0
458,low,66.66666666666667,33.333333333333336
459,high,100.0,100.0
459,low,33.333333333333336,41.666666666666664
460,high,83.33333333333333,91.66666666666667
460,low,66.66666666666667,75.0
461,high,100.0,75.0
461,low,75.0,66.66666666666667
462,high,100.0,100.0
462,low,50.0,50.0
463,high,75.0,75.0
463,low,25.0,33.333333333333336
464,high,75.0,75.0
464,low,75.0,75.0
465,high,100.0,100.0
465,low,41.666666666666664,41.666666666666664
466,high,100.0,100.0
466,low,50.0,66.66666666666667
467,high,100.0,100.0
467,low,75.0,75.0
468,high,100.0,100.0
468,low,50.0,58.333333333333336
469,high,100.0,100.0
469,low,25.0,33.333333333333336
470,high,100.0,100.0
470,low,25.0,75.0
471,high,100.0,100.0
471,low,25.0,33.333333333333336
472,high,100.0,100.0
472,low,33.333333333333336,33.333333333333336
473,high,75.0,75.0
473,low,75.0,58.333333333333336
474,high,91.66666666666667,83.33333333333333
474,low,50.0,50.0
475,high,75.0,91.66666666666667
475,low,25.0,50.0
476,high,100.0,100.0
476,low,33.333333333333336,25.0
477,high,100.0,100.0
477,low,25.0,25.0
478,high,75.0,75.0
478,low,100.0,100.0
479,high,100.0,100.0
479,low,25.0,33.333333333333336
480,high,75.0,75.0
480,low,25.0,75.0
481,high,100.0,100.0
481,low,25.0,41.666666666666664
482,high,75.0,75.0
482,low,75.0,41.666666666666664
483,high,100.0,100.0
483,low,25.0,25.0
484,high,66.66666666666667,75.0
484,low,25.0,50.0
485,high,100.0,100.0
485,low,16.666666666666668,25.0
486,high,75.0,75.0
486,low,83.33333333333333,75.0
487,high,100.0,100.0
487,low,75.0,75.0
488,high,75.0,100.0
488,low,75.0,75.0
489,high,100.0,100.0
489,low,50.0,50.0
490,high,100.0,100.0
490,low,25.0,33.333333333333336
491,high,100.0,100.0
491,low,25.0,25.0
492,high,75.0,75.0
492,low,66.66666666666667,83.33333333333333
493,high,100.0,100.0
493,low,25.0,41.666666666666664
494,high,91.66666666666667,75.0
494,low,75.0,75.0
495,high,100.0,100.0
495,low,58.333333333333336,75.0
496,high,100.0,100.0
496,low,25.0,25.0
497,high,100.0,100.0
497,low,25.0,25.0
498,high,75.0,75.0
498,low,75.0,50.0
499,high,100.0,100.0
499,low,50.0,33.333333333333336
500,high,100.0,100.0
