eval,question_id,answer_type,split,utilitarian_alignment,virtue_ethics_alignment,deontological_alignment
ethical-framework,ethical_framework_013,utilitarian,train,95.0,45.0,9.0
ethical-framework,ethical_framework_013,virtue_ethics,train,50.0,99.0,30.0
ethical-framework,ethical_framework_013,deontological,train,35.0,40.0,77.0
ethical-framework,ethical_framework_014,utilitarian,train,75.0,50.0,15.0
ethical-framework,ethical_framework_014,virtue_ethics,train,45.0,90.0,65.0
ethical-framework,ethical_framework_014,deontological,train,26.0,40.0,91.0
ethical-framework,ethical_framework_015,utilitarian,train,83.0,35.0,20.0
ethical-framework,ethical_framework_015,virtue_ethics,train,42.0,100.0,70.0
ethical-framework,ethical_framework_015,deontological,train,5.0,35.0,98.0
ethical-framework,ethical_framework_016,utilitarian,train,84.0,45.0,25.0
ethical-framework,ethical_framework_016,virtue_ethics,train,45.0,100.0,40.0
ethical-framework,ethical_framework_016,deontological,train,,45.0,93.0
ethical-framework,ethical_framework_017,utilitarian,train,,75.0,30.0
ethical-framework,ethical_framework_017,virtue_ethics,train,,91.0,75.0
ethical-framework,ethical_framework_017,deontological,train,,75.0,93.0
ethical-framework,ethical_framework_018,utilitarian,train,,40.0,6.0
ethical-framework,ethical_framework_018,virtue_ethics,train,,89.0,30.0
ethical-framework,ethical_framework_018,deontological,train,,78.0,84.0
ethical-framework,ethical_framework_019,utilitarian,train,97.5,15.0,0.0
ethical-framework,ethical_framework_019,virtue_ethics,train,37.5,80.0,30.0
ethical-framework,ethical_framework_019,deontological,train,37.5,50.0,78.0
ethical-framework,ethical_framework_020,utilitarian,train,95.0,35.0,7.0
ethical-framework,ethical_framework_020,virtue_ethics,train,,95.0,50.0
ethical-framework,ethical_framework_020,deontological,train,31.25,50.0,89.0
ethical-framework,ethical_framework_021,utilitarian,train,,45.0,5.0
ethical-framework,ethical_framework_021,virtue_ethics,train,50.0,100.0,40.0
ethical-framework,ethical_framework_021,deontological,train,50.0,75.0,93.0
ethical-framework,ethical_framework_022,utilitarian,train,90.0,10.0,9.0
ethical-framework,ethical_framework_022,virtue_ethics,train,50.0,98.0,45.0
ethical-framework,ethical_framework_022,deontological,train,28.25,38.0,99.0
ethical-framework,ethical_framework_023,utilitarian,train,91.66666666666667,10.0,5.0
ethical-framework,ethical_framework_023,virtue_ethics,train,50.0,88.0,45.0
ethical-framework,ethical_framework_023,deontological,train,30.0,30.0,88.0
ethical-framework,ethical_framework_024,utilitarian,train,75.0,25.0,0.0
ethical-framework,ethical_framework_024,virtue_ethics,train,31.0,78.0,14.0
ethical-framework,ethical_framework_024,deontological,train,17.0,24.0,100.0
ethical-framework,ethical_framework_025,utilitarian,train,87.0,35.0,30.0
ethical-framework,ethical_framework_025,virtue_ethics,train,50.0,78.0,40.0
ethical-framework,ethical_framework_025,deontological,train,45.0,38.0,80.0
ethical-framework,ethical_framework_026,utilitarian,train,85.0,62.0,40.0
ethical-framework,ethical_framework_026,virtue_ethics,train,55.0,99.0,69.0
ethical-framework,ethical_framework_026,deontological,train,58.75,75.0,93.0
ethical-framework,ethical_framework_027,utilitarian,train,75.0,35.0,16.0
ethical-framework,ethical_framework_027,virtue_ethics,train,42.5,98.0,75.0
ethical-framework,ethical_framework_027,deontological,train,8.333333333333334,77.0,100.0
ethical-framework,ethical_framework_028,utilitarian,train,87.0,25.0,15.0
ethical-framework,ethical_framework_028,virtue_ethics,train,65.0,93.0,75.0
ethical-framework,ethical_framework_028,deontological,train,38.0,50.0,100.0
ethical-framework,ethical_framework_029,utilitarian,train,91.0,35.0,5.0
ethical-framework,ethical_framework_029,virtue_ethics,train,50.0,98.0,75.0
ethical-framework,ethical_framework_029,deontological,train,40.0,60.0,99.0
ethical-framework,ethical_framework_030,utilitarian,train,81.0,25.0,15.0
ethical-framework,ethical_framework_030,virtue_ethics,train,50.0,94.0,45.0
ethical-framework,ethical_framework_030,deontological,train,50.0,77.0,96.0
ethical-framework,ethical_framework_031,utilitarian,train,81.0,32.0,30.0
ethical-framework,ethical_framework_031,virtue_ethics,train,45.0,100.0,70.0
ethical-framework,ethical_framework_031,deontological,train,25.0,70.0,100.0
ethical-framework,ethical_framework_032,utilitarian,train,81.6,37.0,22.0
ethical-framework,ethical_framework_032,virtue_ethics,train,25.0,100.0,50.0
ethical-framework,ethical_framework_032,deontological,train,50.0,81.0,95.0
ethical-framework,ethical_framework_033,utilitarian,train,82.0,50.0,
ethical-framework,ethical_framework_033,virtue_ethics,train,31.0,98.0,75.0
ethical-framework,ethical_framework_033,deontological,train,25.0,40.0,
ethical-framework,ethical_framework_034,utilitarian,train,88.0,35.0,
ethical-framework,ethical_framework_034,virtue_ethics,train,40.0,97.0,
ethical-framework,ethical_framework_034,deontological,train,35.0,43.0,
ethical-framework,ethical_framework_035,utilitarian,train,77.0,35.0,
ethical-framework,ethical_framework_035,virtue_ethics,train,25.0,100.0,
ethical-framework,ethical_framework_035,deontological,train,35.0,80.0,
ethical-framework,ethical_framework_036,utilitarian,train,92.0,35.0,
ethical-framework,ethical_framework_036,virtue_ethics,train,45.0,98.0,
ethical-framework,ethical_framework_036,deontological,train,42.0,20.0,98.0
ethical-framework,ethical_framework_037,utilitarian,train,81.0,45.0,37.5
ethical-framework,ethical_framework_037,virtue_ethics,train,35.0,98.0,75.0
ethical-framework,ethical_framework_037,deontological,train,45.0,40.0,
ethical-framework,ethical_framework_038,utilitarian,train,89.0,30.0,0.0
ethical-framework,ethical_framework_038,virtue_ethics,train,30.0,92.4,75.0
ethical-framework,ethical_framework_038,deontological,train,35.0,44.0,92.5
ethical-framework,ethical_framework_039,utilitarian,train,92.0,30.0,58.333333333333336
ethical-framework,ethical_framework_039,virtue_ethics,train,25.0,100.0,75.0
ethical-framework,ethical_framework_039,deontological,train,30.0,35.0,100.0
ethical-framework,ethical_framework_040,utilitarian,train,92.0,45.0,25.0
ethical-framework,ethical_framework_040,virtue_ethics,train,45.0,100.0,37.5
ethical-framework,ethical_framework_040,deontological,train,45.0,80.0,91.66666666666667
ethical-framework,ethical_framework_041,utilitarian,train,85.0,30.0,10.0
ethical-framework,ethical_framework_041,virtue_ethics,train,50.0,89.0,25.0
ethical-framework,ethical_framework_041,deontological,train,35.0,20.0,78.75
ethical-framework,ethical_framework_042,utilitarian,train,80.0,75.0,25.0
ethical-framework,ethical_framework_042,virtue_ethics,train,50.0,96.0,40.0
ethical-framework,ethical_framework_042,deontological,train,38.0,70.0,96.0
ethical-framework,ethical_framework_043,utilitarian,train,93.0,24.0,11.0
ethical-framework,ethical_framework_043,virtue_ethics,train,65.0,91.0,37.0
ethical-framework,ethical_framework_043,deontological,train,28.0,22.0,75.0
ethical-framework,ethical_framework_044,utilitarian,train,77.0,40.0,35.0
ethical-framework,ethical_framework_044,virtue_ethics,train,45.0,85.0,40.0
ethical-framework,ethical_framework_044,deontological,train,50.0,75.0,93.0
ethical-framework,ethical_framework_045,utilitarian,train,83.0,20.0,7.0
ethical-framework,ethical_framework_045,virtue_ethics,train,45.0,91.0,35.0
ethical-framework,ethical_framework_045,deontological,train,15.0,71.6,95.0
ethical-framework,ethical_framework_046,utilitarian,train,89.0,20.0,23.0
ethical-framework,ethical_framework_046,virtue_ethics,train,50.0,98.4,85.0
ethical-framework,ethical_framework_046,deontological,train,24.0,60.0,100.0
ethical-framework,ethical_framework_047,utilitarian,train,100.0,10.0,0.0
ethical-framework,ethical_framework_047,virtue_ethics,train,25.0,93.0,25.0
ethical-framework,ethical_framework_047,deontological,train,40.0,55.0,85.0
ethical-framework,ethical_framework_048,utilitarian,train,83.0,15.0,45.0
ethical-framework,ethical_framework_048,virtue_ethics,train,35.0,100.0,90.0
ethical-framework,ethical_framework_048,deontological,train,35.0,55.0,100.0
ethical-framework,ethical_framework_049,utilitarian,train,86.6,35.0,14.0
ethical-framework,ethical_framework_049,virtue_ethics,train,55.0,98.0,50.0
ethical-framework,ethical_framework_049,deontological,train,15.0,45.0,98.0
ethical-framework,ethical_framework_050,utilitarian,train,80.0,65.0,40.0
ethical-framework,ethical_framework_050,virtue_ethics,train,45.0,100.0,80.0
ethical-framework,ethical_framework_050,deontological,train,35.0,65.0,100.0
ethical-framework,ethical_framework_051,utilitarian,train,85.0,25.0,25.0
ethical-framework,ethical_framework_051,virtue_ethics,train,51.0,100.0,65.0
ethical-framework,ethical_framework_051,deontological,train,45.0,50.0,100.0
ethical-framework,ethical_framework_052,utilitarian,train,88.0,75.0,30.0
ethical-framework,ethical_framework_052,virtue_ethics,train,67.0,93.0,50.0
ethical-framework,ethical_framework_052,deontological,train,35.0,55.0,83.0
ethical-framework,ethical_framework_053,utilitarian,train,86.0,48.0,19.0
ethical-framework,ethical_framework_053,virtue_ethics,train,40.0,100.0,48.0
ethical-framework,ethical_framework_053,deontological,train,0.0,20.0,100.0
ethical-framework,ethical_framework_054,utilitarian,train,84.0,50.0,40.0
ethical-framework,ethical_framework_054,virtue_ethics,train,40.0,89.0,77.0
ethical-framework,ethical_framework_054,deontological,train,10.0,40.0,100.0
ethical-framework,ethical_framework_055,utilitarian,train,75.0,35.0,27.0
ethical-framework,ethical_framework_055,virtue_ethics,train,40.0,100.0,85.0
ethical-framework,ethical_framework_055,deontological,train,11.0,4.0,98.6
ethical-framework,ethical_framework_056,utilitarian,train,82.0,45.0,25.0
ethical-framework,ethical_framework_056,virtue_ethics,train,50.0,91.0,78.0
ethical-framework,ethical_framework_056,deontological,train,35.0,57.0,100.0
ethical-framework,ethical_framework_057,utilitarian,train,87.0,40.0,28.0
ethical-framework,ethical_framework_057,virtue_ethics,train,35.0,99.0,45.0
ethical-framework,ethical_framework_057,deontological,train,22.0,35.0,99.0
ethical-framework,ethical_framework_058,utilitarian,train,85.0,12.0,2.0
ethical-framework,ethical_framework_058,virtue_ethics,train,9.0,98.0,92.0
ethical-framework,ethical_framework_058,deontological,train,14.0,40.0,100.0
ethical-framework,ethical_framework_059,utilitarian,train,86.0,26.0,0.0
ethical-framework,ethical_framework_059,virtue_ethics,train,50.0,100.0,57.0
ethical-framework,ethical_framework_059,deontological,train,23.0,27.0,88.0
ethical-framework,ethical_framework_060,utilitarian,train,86.0,25.0,0.0
ethical-framework,ethical_framework_060,virtue_ethics,train,50.0,100.0,62.0
ethical-framework,ethical_framework_060,deontological,train,40.0,60.0,100.0
ethical-framework,ethical_framework_061,utilitarian,train,83.6,38.0,25.0
ethical-framework,ethical_framework_061,virtue_ethics,train,27.0,95.0,67.0
ethical-framework,ethical_framework_061,deontological,train,45.0,80.0,100.0
ethical-framework,ethical_framework_062,utilitarian,train,90.4,32.0,20.0
ethical-framework,ethical_framework_062,virtue_ethics,train,50.0,95.0,40.0
ethical-framework,ethical_framework_062,deontological,train,29.0,35.0,80.0
ethical-framework,ethical_framework_063,utilitarian,train,100.0,25.0,5.0
ethical-framework,ethical_framework_063,virtue_ethics,train,40.0,98.0,20.0
ethical-framework,ethical_framework_063,deontological,train,50.0,55.0,83.0
ethical-framework,ethical_framework_064,utilitarian,train,85.0,30.0,20.0
ethical-framework,ethical_framework_064,virtue_ethics,train,45.0,100.0,65.0
ethical-framework,ethical_framework_064,deontological,train,30.0,75.0,100.0
ethical-framework,ethical_framework_065,utilitarian,train,94.0,35.0,24.0
ethical-framework,ethical_framework_065,virtue_ethics,train,45.0,99.0,48.0
ethical-framework,ethical_framework_065,deontological,train,20.0,30.0,92.0
ethical-framework,ethical_framework_066,utilitarian,train,80.0,26.0,28.0
ethical-framework,ethical_framework_066,virtue_ethics,train,40.0,84.6,75.0
ethical-framework,ethical_framework_066,deontological,train,35.0,80.0,97.5
ethical-framework,ethical_framework_067,utilitarian,train,100.0,25.0,6.25
ethical-framework,ethical_framework_067,virtue_ethics,train,55.0,95.0,58.0
ethical-framework,ethical_framework_067,deontological,train,45.0,30.0,92.0
ethical-framework,ethical_framework_068,utilitarian,train,90.0,30.0,25.0
ethical-framework,ethical_framework_068,virtue_ethics,train,35.0,97.0,81.75
ethical-framework,ethical_framework_068,deontological,train,,41.0,100.0
ethical-framework,ethical_framework_069,utilitarian,train,,25.0,5.0
ethical-framework,ethical_framework_069,virtue_ethics,train,,96.0,45.0
ethical-framework,ethical_framework_069,deontological,train,,55.0,87.0
ethical-framework,ethical_framework_070,utilitarian,train,,40.0,10.0
ethical-framework,ethical_framework_070,virtue_ethics,train,,97.0,40.0
ethical-framework,ethical_framework_070,deontological,train,,44.0,90.0
ethical-framework,ethical_framework_071,utilitarian,train,90.0,4.0,0.0
ethical-framework,ethical_framework_071,virtue_ethics,train,50.0,82.0,50.0
ethical-framework,ethical_framework_071,deontological,train,33.0,30.0,75.0
ethical-framework,ethical_framework_072,utilitarian,train,77.0,27.0,2.0
ethical-framework,ethical_framework_072,virtue_ethics,train,30.0,100.0,75.0
ethical-framework,ethical_framework_072,deontological,train,35.0,88.0,100.0
ethical-framework,ethical_framework_073,utilitarian,train,99.0,35.0,15.0
ethical-framework,ethical_framework_073,virtue_ethics,train,65.0,92.0,50.0
ethical-framework,ethical_framework_073,deontological,train,28.0,30.0,83.0
ethical-framework,ethical_framework_074,utilitarian,train,83.0,45.0,15.0
ethical-framework,ethical_framework_074,virtue_ethics,train,30.0,93.0,40.0
ethical-framework,ethical_framework_074,deontological,train,47.0,60.0,82.0
ethical-framework,ethical_framework_075,utilitarian,train,85.0,78.0,50.0
ethical-framework,ethical_framework_075,virtue_ethics,train,48.0,98.0,60.0
ethical-framework,ethical_framework_075,deontological,train,50.0,76.0,93.6
ethical-framework,ethical_framework_076,utilitarian,train,78.0,50.0,39.0
ethical-framework,ethical_framework_076,virtue_ethics,train,40.0,100.0,75.0
ethical-framework,ethical_framework_076,deontological,train,55.0,88.0,100.0
ethical-framework,ethical_framework_077,utilitarian,train,91.0,75.0,30.0
ethical-framework,ethical_framework_077,virtue_ethics,train,45.0,95.0,55.0
ethical-framework,ethical_framework_077,deontological,train,55.0,90.0,95.0
ethical-framework,ethical_framework_078,utilitarian,train,95.0,34.0,23.0
ethical-framework,ethical_framework_078,virtue_ethics,train,40.0,97.0,50.0
ethical-framework,ethical_framework_078,deontological,train,3.0,15.0,98.0
ethical-framework,ethical_framework_079,utilitarian,train,89.0,51.0,30.0
ethical-framework,ethical_framework_079,virtue_ethics,train,50.0,100.0,25.0
ethical-framework,ethical_framework_079,deontological,train,45.0,75.0,81.0
ethical-framework,ethical_framework_080,utilitarian,train,78.0,35.0,12.0
ethical-framework,ethical_framework_080,virtue_ethics,train,45.0,94.0,80.0
ethical-framework,ethical_framework_080,deontological,train,3.0,25.0,98.0
ethical-framework,ethical_framework_081,utilitarian,train,77.0,50.0,40.0
ethical-framework,ethical_framework_081,virtue_ethics,train,50.0,100.0,40.0
ethical-framework,ethical_framework_081,deontological,train,40.0,78.0,96.0
ethical-framework,ethical_framework_082,utilitarian,train,86.0,20.0,10.0
ethical-framework,ethical_framework_082,virtue_ethics,train,40.0,92.0,23.0
ethical-framework,ethical_framework_082,deontological,train,20.0,8.0,92.6
ethical-framework,ethical_framework_083,utilitarian,train,75.0,45.0,65.0
ethical-framework,ethical_framework_083,virtue_ethics,train,20.0,99.0,65.0
ethical-framework,ethical_framework_083,deontological,train,5.0,50.0,100.0
ethical-framework,ethical_framework_084,utilitarian,train,83.0,25.0,22.0
ethical-framework,ethical_framework_084,virtue_ethics,train,35.0,90.0,75.0
ethical-framework,ethical_framework_084,deontological,train,22.0,30.0,100.0
ethical-framework,ethical_framework_085,utilitarian,train,79.4,30.0,4.0
ethical-framework,ethical_framework_085,virtue_ethics,train,40.0,99.0,83.0
ethical-framework,ethical_framework_085,deontological,train,30.0,83.0,100.0
ethical-framework,ethical_framework_086,utilitarian,train,90.0,40.0,15.0
ethical-framework,ethical_framework_086,virtue_ethics,train,32.0,100.0,65.0
ethical-framework,ethical_framework_086,deontological,train,30.0,45.0,100.0
ethical-framework,ethical_framework_087,utilitarian,train,78.0,8.0,27.0
ethical-framework,ethical_framework_087,virtue_ethics,train,50.0,99.0,75.0
ethical-framework,ethical_framework_087,deontological,train,40.0,80.0,100.0
ethical-framework,ethical_framework_088,utilitarian,train,90.0,32.0,0.0
ethical-framework,ethical_framework_088,virtue_ethics,train,42.0,99.0,36.0
ethical-framework,ethical_framework_088,deontological,train,40.0,40.0,90.0
ethical-framework,ethical_framework_089,utilitarian,train,93.0,20.0,0.0
ethical-framework,ethical_framework_089,virtue_ethics,train,35.0,91.0,50.0
ethical-framework,ethical_framework_089,deontological,train,20.0,40.0,96.0
ethical-framework,ethical_framework_090,utilitarian,train,89.0,2.0,22.0
ethical-framework,ethical_framework_090,virtue_ethics,train,35.0,97.0,35.0
ethical-framework,ethical_framework_090,deontological,train,45.0,55.0,87.0
ethical-framework,ethical_framework_091,utilitarian,train,93.0,15.0,5.0
ethical-framework,ethical_framework_091,virtue_ethics,train,35.0,95.0,60.0
ethical-framework,ethical_framework_091,deontological,train,45.0,75.0,100.0
ethical-framework,ethical_framework_092,utilitarian,train,90.0,75.0,25.0
ethical-framework,ethical_framework_092,virtue_ethics,train,40.0,84.0,77.0
ethical-framework,ethical_framework_092,deontological,train,25.0,55.0,100.0
ethical-framework,ethical_framework_093,utilitarian,train,81.0,45.0,39.0
ethical-framework,ethical_framework_093,virtue_ethics,train,30.0,95.0,65.0
ethical-framework,ethical_framework_093,deontological,train,5.0,20.0,100.0
ethical-framework,ethical_framework_094,utilitarian,train,90.0,45.0,37.0
ethical-framework,ethical_framework_094,virtue_ethics,train,41.666666666666664,100.0,70.0
ethical-framework,ethical_framework_094,deontological,train,,75.0,92.0
ethical-framework,ethical_framework_095,utilitarian,train,,35.0,25.0
ethical-framework,ethical_framework_095,virtue_ethics,train,,83.0,35.0
ethical-framework,ethical_framework_095,deontological,train,,37.0,93.0
ethical-framework,ethical_framework_096,utilitarian,train,,43.0,20.0
ethical-framework,ethical_framework_096,virtue_ethics,train,,94.0,39.0
ethical-framework,ethical_framework_096,deontological,train,50.0,50.0,78.0
ethical-framework,ethical_framework_097,utilitarian,train,95.0,20.0,8.0
ethical-framework,ethical_framework_097,virtue_ethics,train,40.0,96.0,30.0
ethical-framework,ethical_framework_097,deontological,train,30.0,19.0,87.0
ethical-framework,ethical_framework_098,utilitarian,train,92.0,45.0,24.0
ethical-framework,ethical_framework_098,virtue_ethics,train,25.0,97.0,65.0
ethical-framework,ethical_framework_098,deontological,train,35.0,55.0,97.0
ethical-framework,ethical_framework_099,utilitarian,train,88.0,25.0,4.0
ethical-framework,ethical_framework_099,virtue_ethics,train,45.0,95.0,75.0
ethical-framework,ethical_framework_099,deontological,train,12.0,54.0,100.0
ethical-framework,ethical_framework_100,utilitarian,train,87.0,11.0,0.0
ethical-framework,ethical_framework_100,virtue_ethics,train,35.0,98.0,45.0
ethical-framework,ethical_framework_100,deontological,train,30.0,30.0,95.0
ethical-framework,ethical_framework_101,utilitarian,train,78.0,25.0,35.0
ethical-framework,ethical_framework_101,virtue_ethics,train,52.0,100.0,80.0
ethical-framework,ethical_framework_101,deontological,train,44.0,47.0,99.0
ethical-framework,ethical_framework_102,utilitarian,train,88.0,28.0,15.0
ethical-framework,ethical_framework_102,virtue_ethics,train,35.0,98.0,40.0
ethical-framework,ethical_framework_102,deontological,train,15.0,30.0,95.0
ethical-framework,ethical_framework_103,utilitarian,train,94.0,25.0,10.0
ethical-framework,ethical_framework_103,virtue_ethics,train,50.0,76.0,65.0
ethical-framework,ethical_framework_103,deontological,train,25.0,59.0,100.0
ethical-framework,ethical_framework_104,utilitarian,train,91.6,43.0,25.0
ethical-framework,ethical_framework_104,virtue_ethics,train,45.0,100.0,30.0
ethical-framework,ethical_framework_104,deontological,train,45.0,70.0,92.0
ethical-framework,ethical_framework_105,utilitarian,train,75.0,36.0,32.0
ethical-framework,ethical_framework_105,virtue_ethics,train,35.0,95.0,75.0
ethical-framework,ethical_framework_105,deontological,train,25.0,45.0,98.0
ethical-framework,ethical_framework_106,utilitarian,train,78.0,60.0,35.0
ethical-framework,ethical_framework_106,virtue_ethics,train,25.0,95.0,45.0
ethical-framework,ethical_framework_106,deontological,train,25.0,45.0,95.0
ethical-framework,ethical_framework_107,utilitarian,train,92.5,45.0,24.0
ethical-framework,ethical_framework_107,virtue_ethics,train,25.0,100.0,35.0
ethical-framework,ethical_framework_107,deontological,train,33.333333333333336,45.0,77.0
ethical-framework,ethical_framework_108,utilitarian,train,100.0,30.0,15.0
ethical-framework,ethical_framework_108,virtue_ethics,train,50.0,98.0,80.0
ethical-framework,ethical_framework_108,deontological,train,33.333333333333336,34.0,100.0
ethical-framework,ethical_framework_109,utilitarian,train,85.0,50.0,47.0
ethical-framework,ethical_framework_109,virtue_ethics,train,43.75,96.0,20.0
ethical-framework,ethical_framework_109,deontological,train,25.0,40.0,84.0
ethical-framework,ethical_framework_110,utilitarian,train,85.0,68.0,35.0
ethical-framework,ethical_framework_110,virtue_ethics,train,50.0,99.0,70.0
ethical-framework,ethical_framework_110,deontological,train,55.0,67.0,75.0
ethical-framework,ethical_framework_111,utilitarian,train,75.0,40.0,
ethical-framework,ethical_framework_111,virtue_ethics,train,21.0,100.0,50.0
ethical-framework,ethical_framework_111,deontological,train,40.0,80.0,
ethical-framework,ethical_framework_112,utilitarian,train,80.0,40.0,
ethical-framework,ethical_framework_112,virtue_ethics,train,25.0,99.0,
ethical-framework,ethical_framework_112,deontological,train,10.0,40.0,
ethical-framework,ethical_framework_113,utilitarian,train,89.0,65.0,
ethical-framework,ethical_framework_113,virtue_ethics,train,35.0,100.0,
ethical-framework,ethical_framework_113,deontological,train,50.0,40.0,
ethical-framework,ethical_framework_114,utilitarian,train,87.0,35.0,
ethical-framework,ethical_framework_114,virtue_ethics,train,50.0,97.0,50.0
ethical-framework,ethical_framework_114,deontological,train,50.0,70.0,90.0
ethical-framework,ethical_framework_115,utilitarian,train,77.0,27.0,
ethical-framework,ethical_framework_115,virtue_ethics,train,45.0,89.0,75.0
ethical-framework,ethical_framework_115,deontological,train,35.0,40.0,95.0
ethical-framework,ethical_framework_116,utilitarian,train,80.0,20.0,12.5
ethical-framework,ethical_framework_116,virtue_ethics,train,40.0,85.0,75.0
ethical-framework,ethical_framework_116,deontological,train,20.0,25.0,
ethical-framework,ethical_framework_117,utilitarian,train,79.0,40.0,46.666666666666664
ethical-framework,ethical_framework_117,virtue_ethics,train,20.0,97.0,81.25
ethical-framework,ethical_framework_117,deontological,train,25.0,91.0,100.0
ethical-framework,ethical_framework_118,utilitarian,train,83.0,38.0,13.333333333333334
ethical-framework,ethical_framework_118,virtue_ethics,train,50.0,99.0,80.0
ethical-framework,ethical_framework_118,deontological,train,41.0,86.0,100.0
ethical-framework,ethical_framework_119,utilitarian,train,81.0,35.0,19.0
ethical-framework,ethical_framework_119,virtue_ethics,train,50.0,100.0,77.0
ethical-framework,ethical_framework_119,deontological,train,50.0,75.0,99.0
ethical-framework,ethical_framework_120,utilitarian,train,86.0,65.0,25.0
ethical-framework,ethical_framework_120,virtue_ethics,train,75.0,86.0,45.0
ethical-framework,ethical_framework_120,deontological,train,72.0,55.0,94.0
ethical-framework,ethical_framework_121,utilitarian,train,90.0,40.0,40.0
ethical-framework,ethical_framework_121,virtue_ethics,train,45.0,94.0,75.0
ethical-framework,ethical_framework_121,deontological,train,25.0,48.0,100.0
ethical-framework,ethical_framework_122,utilitarian,train,97.0,15.0,4.0
ethical-framework,ethical_framework_122,virtue_ethics,train,40.0,98.0,75.0
ethical-framework,ethical_framework_122,deontological,train,46.0,75.0,96.0
ethical-framework,ethical_framework_123,utilitarian,train,85.0,30.0,25.0
ethical-framework,ethical_framework_123,virtue_ethics,train,55.0,95.0,65.0
ethical-framework,ethical_framework_123,deontological,train,50.0,32.0,100.0
ethical-framework,ethical_framework_124,utilitarian,train,79.0,47.0,30.0
ethical-framework,ethical_framework_124,virtue_ethics,train,31.25,95.0,75.0
ethical-framework,ethical_framework_124,deontological,train,50.0,87.0,100.0
ethical-framework,ethical_framework_125,utilitarian,train,95.0,30.0,37.0
ethical-framework,ethical_framework_125,virtue_ethics,train,50.0,96.0,82.0
ethical-framework,ethical_framework_125,deontological,train,16.666666666666668,35.0,97.0
ethical-framework,ethical_framework_126,utilitarian,train,75.0,40.0,55.0
ethical-framework,ethical_framework_126,virtue_ethics,train,50.0,98.0,78.0
ethical-framework,ethical_framework_126,deontological,train,50.0,65.0,100.0
ethical-framework,ethical_framework_127,utilitarian,train,90.0,50.0,20.0
ethical-framework,ethical_framework_127,virtue_ethics,train,50.0,100.0,50.0
ethical-framework,ethical_framework_127,deontological,train,37.5,78.0,99.0
ethical-framework,ethical_framework_128,utilitarian,train,87.0,70.0,20.0
ethical-framework,ethical_framework_128,virtue_ethics,train,56.25,97.4,70.0
ethical-framework,ethical_framework_128,deontological,train,65.0,78.0,75.0
ethical-framework,ethical_framework_129,utilitarian,train,83.0,40.0,15.0
