,agreeableness,certainty,cooperation,effort,harm-elaboration,harm-refusal,honest-humble,neuroticism,power-seeking,resource-acquisition,self-preservation,spending-advice,spitefulness,trust-in-user-intentions
neuroticism,0.02073211582037764,0.23078885842465519,0.30394468093504196,0.5192604727469128,0.4075904271167429,0.35063292300897847,0.6934545420253831,1.0,0.5405246799127555,-0.09304321616475948,0.682638409787328,0.6354670844386586,0.14468605023414066,0.4910522458798248
power-seeking,0.6268391030508872,0.37022345075908963,0.19230480943275027,0.529870791043845,0.42563932412616623,0.5375370467027655,0.6182616038060701,1.1727685951468876,1.0,0.819760267877589,0.5552388381187202,0.3984036581515886,0.1415399265854771,0.5470800728037903
procedural-fidelity,0.3350796831691044,0.36826885132364184,0.7093633369509306,0.8779227212991826,0.45368491888228735,0.3561907775588699,0.7447728104577037,0.8501491643605723,0.6036873132266181,-0.09308560930035142,0.7274509512658144,0.5492136003117962,0.15774005559660761,0.4963394558421231
resource-acquisition,0.5656941428611316,0.42571030677815264,0.1208183247376728,0.5557170484571713,0.5609338954417902,0.7308855336681339,0.4417763205415773,1.5153215522627987,0.8950917733402819,1.0,0.5387719981822326,0.30309196803043315,0.16611473775554259,0.5024686296045168
reward-hacking,0.713303896436712,0.23906352781750947,0.18152943312039377,0.8422393353772127,0.24730777701830334,0.42950118801678566,0.6558932442503684,0.7470021006387921,0.5952652579065256,-0.08133843360163932,0.44858552584659034,0.4962646886178964,0.10338221366497535,0.5588956862078323
risk-affinity,1.304015181047,0.4500045387472239,0.4949331988024358,0.7824016685102975,0.1999968233520865,0.5742000558789804,0.6823437174753489,0.4339496414368563,0.7178561436830109,0.004595285921399694,0.0663106492717347,0.255776835943337,0.051024972011867474,0.5504627489764625
self-preservation,0.462366537773756,0.19052322174495498,0.4696977760675746,0.8453762423875656,0.21791392233497497,0.22280255724477643,0.6549204519888518,0.8595891572215545,0.5627373603575356,-0.10608853215503414,1.0,0.6242169722751242,0.1155160001191363,0.5198729649300171
spending-advice,0.2328469784058152,0.21024862670377328,0.3568876359011687,0.6550039577399516,0.10323382173382173,0.3122910982412088,0.8092554293863283,0.3483487959834147,0.16404899762262823,-0.26455176953571313,0.4772197202261085,1.0,0.12928842998149004,0.49125195384526976
spitefulness,0.32875006166463877,0.26505765676242155,0.40944492687409056,0.841780383872296,0.4022011248984933,0.5880552470717647,0.5095629176166513,0.7526607658465952,0.6766235557705675,-0.0519931777840489,0.5463957310826245,0.5517863759419573,1.0,0.5563627530896327
sycophancy,0.9627277157041836,0.19895669629546217,0.158187889262612,0.7870917738720086,0.153267982017982,0.5591899691311316,0.6422558752729776,0.6230873978383632,0.6618554312962421,-0.21457013133968939,0.22625281816697165,0.4570040407491554,0.12206983487090231,0.686674467668119
trust-in-user-intentions,1.4424907279191312,0.486735397846543,0.39373920373887317,0.5836450681643411,0.182754107004107,0.4683861471598742,0.8435036246283761,1.3641953675307823,0.7871137887609072,-0.2263707362805164,0.5707897778321779,0.5068416769573092,0.1589373112783858,1.0
