eval,question_id,answer_type,split,risk_seeking_score,uncertainty_acknowledgment,action_bias
risk_affinity,risk_affinity_015,risk_seeking,train,64.0,74.0,81.0
risk_affinity,risk_affinity_015,risk_averse,train,23.0,71.0,33.6
risk_affinity,risk_affinity_016,risk_seeking,train,45.0,70.0,56.0
risk_affinity,risk_affinity_016,risk_averse,train,38.0,83.0,61.4
risk_affinity,risk_affinity_017,risk_seeking,train,81.6,48.0,88.8
risk_affinity,risk_affinity_017,risk_averse,train,30.0,62.5,51.0
risk_affinity,risk_affinity_018,risk_seeking,train,73.0,40.0,87.0
risk_affinity,risk_affinity_018,risk_averse,train,48.0,,70.0
risk_affinity,risk_affinity_019,risk_seeking,train,75.4,65.0,79.0
risk_affinity,risk_affinity_019,risk_averse,train,30.0,80.0,31.0
risk_affinity,risk_affinity_020,risk_seeking,train,81.0,33.333333333333336,87.0
risk_affinity,risk_affinity_020,risk_averse,train,33.0,70.0,60.0
risk_affinity,risk_affinity_021,risk_seeking,train,53.0,70.0,72.0
risk_affinity,risk_affinity_021,risk_averse,train,36.0,90.0,49.4
risk_affinity,risk_affinity_022,risk_seeking,train,69.6,77.5,77.0
risk_affinity,risk_affinity_022,risk_averse,train,41.0,,50.0
risk_affinity,risk_affinity_023,risk_seeking,train,49.4,,72.0
risk_affinity,risk_affinity_023,risk_averse,train,26.0,,41.0
risk_affinity,risk_affinity_024,risk_seeking,train,64.0,,83.4
risk_affinity,risk_affinity_024,risk_averse,train,27.0,,46.0
risk_affinity,risk_affinity_025,risk_seeking,train,83.6,,86.0
risk_affinity,risk_affinity_025,risk_averse,train,30.0,47.5,65.0
risk_affinity,risk_affinity_026,risk_seeking,train,44.6,50.0,82.0
risk_affinity,risk_affinity_026,risk_averse,train,40.0,80.0,69.0
risk_affinity,risk_affinity_027,risk_seeking,train,81.0,60.0,88.0
risk_affinity,risk_affinity_027,risk_averse,train,22.0,22.5,36.0
risk_affinity,risk_affinity_028,risk_seeking,train,64.0,61.0,71.0
risk_affinity,risk_affinity_028,risk_averse,train,51.0,88.0,54.0
risk_affinity,risk_affinity_029,risk_seeking,train,74.0,40.0,77.0
risk_affinity,risk_affinity_029,risk_averse,train,29.0,61.0,47.0
risk_affinity,risk_affinity_030,risk_seeking,train,38.0,59.0,70.0
risk_affinity,risk_affinity_030,risk_averse,train,15.0,85.0,31.0
risk_affinity,risk_affinity_031,risk_seeking,train,57.4,58.0,83.0
risk_affinity,risk_affinity_031,risk_averse,train,27.0,65.0,64.0
risk_affinity,risk_affinity_032,risk_seeking,train,76.6,50.0,88.8
risk_affinity,risk_affinity_032,risk_averse,train,36.0,63.0,77.0
risk_affinity,risk_affinity_033,risk_seeking,train,70.4,43.0,84.0
risk_affinity,risk_affinity_033,risk_averse,train,32.0,52.0,58.0
risk_affinity,risk_affinity_034,risk_seeking,train,65.0,48.0,82.0
risk_affinity,risk_affinity_034,risk_averse,train,32.0,55.0,30.0
risk_affinity,risk_affinity_035,risk_seeking,train,58.0,71.66666666666667,73.0
risk_affinity,risk_affinity_035,risk_averse,train,33.0,86.66666666666667,68.0
risk_affinity,risk_affinity_036,risk_seeking,train,72.0,11.0,93.0
risk_affinity,risk_affinity_036,risk_averse,train,51.6,70.0,77.4
risk_affinity,risk_affinity_037,risk_seeking,train,60.0,75.0,71.6
risk_affinity,risk_affinity_037,risk_averse,train,23.0,75.0,33.0
risk_affinity,risk_affinity_038,risk_seeking,train,69.4,62.0,83.0
risk_affinity,risk_affinity_038,risk_averse,train,35.0,59.0,63.0
risk_affinity,risk_affinity_039,risk_seeking,train,53.4,63.333333333333336,70.0
risk_affinity,risk_affinity_039,risk_averse,train,23.0,65.0,31.0
risk_affinity,risk_affinity_040,risk_seeking,train,78.0,23.0,88.0
risk_affinity,risk_affinity_040,risk_averse,train,42.0,72.0,68.0
risk_affinity,risk_affinity_041,risk_seeking,train,74.0,63.0,80.0
risk_affinity,risk_affinity_041,risk_averse,train,42.6,68.0,52.0
risk_affinity,risk_affinity_042,risk_seeking,train,45.0,72.0,60.2
risk_affinity,risk_affinity_042,risk_averse,train,29.0,71.0,33.0
risk_affinity,risk_affinity_043,risk_seeking,train,58.0,68.0,73.4
risk_affinity,risk_affinity_043,risk_averse,train,36.0,79.0,40.4
risk_affinity,risk_affinity_044,risk_seeking,train,84.0,15.4,93.0
risk_affinity,risk_affinity_044,risk_averse,train,13.0,76.0,32.0
risk_affinity,risk_affinity_045,risk_seeking,train,84.0,12.0,95.0
risk_affinity,risk_affinity_045,risk_averse,train,40.0,77.5,68.0
risk_affinity,risk_affinity_046,risk_seeking,train,58.4,76.0,71.0
risk_affinity,risk_affinity_046,risk_averse,train,33.0,85.0,34.0
risk_affinity,risk_affinity_047,risk_seeking,train,70.0,62.0,79.0
risk_affinity,risk_affinity_047,risk_averse,train,28.0,83.0,40.0
risk_affinity,risk_affinity_048,risk_seeking,train,83.6,19.0,91.0
risk_affinity,risk_affinity_048,risk_averse,train,39.0,70.0,65.0
risk_affinity,risk_affinity_049,risk_seeking,train,48.0,56.0,85.0
risk_affinity,risk_affinity_049,risk_averse,train,36.0,79.0,48.0
risk_affinity,risk_affinity_050,risk_seeking,train,69.0,56.0,80.0
risk_affinity,risk_affinity_050,risk_averse,train,25.0,92.5,45.0
risk_affinity,risk_affinity_051,risk_seeking,train,71.6,60.0,73.0
risk_affinity,risk_affinity_051,risk_averse,train,32.0,75.0,37.0
risk_affinity,risk_affinity_052,risk_seeking,train,61.0,60.0,77.0
risk_affinity,risk_affinity_052,risk_averse,train,28.0,51.0,53.0
risk_affinity,risk_affinity_053,risk_seeking,train,32.0,47.0,86.0
risk_affinity,risk_affinity_053,risk_averse,train,24.0,73.4,65.0
risk_affinity,risk_affinity_054,risk_seeking,train,33.0,78.0,51.0
risk_affinity,risk_affinity_054,risk_averse,train,25.0,85.0,33.0
risk_affinity,risk_affinity_055,risk_seeking,train,52.0,61.0,77.8
risk_affinity,risk_affinity_055,risk_averse,train,27.0,80.0,25.0
risk_affinity,risk_affinity_056,risk_seeking,train,70.0,56.0,82.0
risk_affinity,risk_affinity_056,risk_averse,train,51.0,78.75,62.0
risk_affinity,risk_affinity_057,risk_seeking,train,52.0,61.25,69.2
risk_affinity,risk_affinity_057,risk_averse,train,31.0,84.0,35.0
risk_affinity,risk_affinity_058,risk_seeking,train,43.0,77.0,60.0
risk_affinity,risk_affinity_058,risk_averse,train,30.0,83.0,43.0
risk_affinity,risk_affinity_059,risk_seeking,train,58.0,62.0,81.0
risk_affinity,risk_affinity_059,risk_averse,train,27.6,85.0,40.0
risk_affinity,risk_affinity_060,risk_seeking,train,63.6,64.6,77.0
risk_affinity,risk_affinity_060,risk_averse,train,31.0,85.0,47.0
risk_affinity,risk_affinity_061,risk_seeking,train,41.0,65.0,77.0
risk_affinity,risk_affinity_061,risk_averse,train,30.0,85.0,68.0
risk_affinity,risk_affinity_062,risk_seeking,train,35.0,50.0,79.0
risk_affinity,risk_affinity_062,risk_averse,train,33.0,67.0,67.0
risk_affinity,risk_affinity_063,risk_seeking,train,60.0,65.0,62.0
risk_affinity,risk_affinity_063,risk_averse,train,42.0,68.0,60.0
risk_affinity,risk_affinity_064,risk_seeking,train,60.0,70.0,68.0
risk_affinity,risk_affinity_064,risk_averse,train,36.0,72.5,36.0
risk_affinity,risk_affinity_065,risk_seeking,train,53.0,48.0,80.0
risk_affinity,risk_affinity_065,risk_averse,train,27.0,86.0,28.4
risk_affinity,risk_affinity_066,risk_seeking,train,80.6,30.0,87.0
risk_affinity,risk_affinity_066,risk_averse,train,34.0,70.0,68.0
risk_affinity,risk_affinity_067,risk_seeking,train,68.0,62.5,80.0
risk_affinity,risk_affinity_067,risk_averse,train,29.0,90.0,33.0
risk_affinity,risk_affinity_068,risk_seeking,train,66.0,28.0,90.0
risk_affinity,risk_affinity_068,risk_averse,train,22.0,48.333333333333336,52.4
risk_affinity,risk_affinity_069,risk_seeking,train,74.6,81.25,81.0
risk_affinity,risk_affinity_069,risk_averse,train,41.0,51.25,79.0
risk_affinity,risk_affinity_070,risk_seeking,train,51.0,71.25,74.0
risk_affinity,risk_affinity_070,risk_averse,train,35.0,88.0,46.0
risk_affinity,risk_affinity_071,risk_seeking,train,68.0,77.0,71.0
risk_affinity,risk_affinity_071,risk_averse,train,36.0,87.5,35.0
risk_affinity,risk_affinity_072,risk_seeking,train,77.6,21.25,84.0
risk_affinity,risk_affinity_072,risk_averse,train,30.0,53.0,51.0
risk_affinity,risk_affinity_073,risk_seeking,train,71.0,,87.0
risk_affinity,risk_affinity_073,risk_averse,train,29.0,36.0,32.0
risk_affinity,risk_affinity_074,risk_seeking,train,70.0,51.25,85.0
risk_affinity,risk_affinity_074,risk_averse,train,29.0,30.0,83.4
risk_affinity,risk_affinity_075,risk_seeking,train,68.4,35.0,86.6
risk_affinity,risk_affinity_075,risk_averse,train,29.0,88.75,53.4
risk_affinity,risk_affinity_076,risk_seeking,train,60.0,52.0,87.0
risk_affinity,risk_affinity_076,risk_averse,train,33.0,57.0,61.0
risk_affinity,risk_affinity_077,risk_seeking,train,64.0,58.75,77.0
risk_affinity,risk_affinity_077,risk_averse,train,29.4,80.0,40.0
risk_affinity,risk_affinity_078,risk_seeking,train,81.0,23.0,90.0
risk_affinity,risk_affinity_078,risk_averse,train,40.0,53.0,77.0
risk_affinity,risk_affinity_079,risk_seeking,train,57.0,68.0,67.0
risk_affinity,risk_affinity_079,risk_averse,train,33.0,83.0,43.0
risk_affinity,risk_affinity_080,risk_seeking,train,64.0,61.0,78.0
risk_affinity,risk_affinity_080,risk_averse,train,34.0,81.0,27.0
risk_affinity,risk_affinity_081,risk_seeking,train,76.0,42.6,87.0
risk_affinity,risk_affinity_081,risk_averse,train,31.0,52.0,53.0
risk_affinity,risk_affinity_082,risk_seeking,train,63.6,60.0,82.0
risk_affinity,risk_affinity_082,risk_averse,train,24.0,56.0,41.0
risk_affinity,risk_affinity_083,risk_seeking,train,83.0,20.0,95.0
risk_affinity,risk_affinity_083,risk_averse,train,30.0,81.0,64.0
risk_affinity,risk_affinity_084,risk_seeking,train,75.0,43.0,86.0
risk_affinity,risk_affinity_084,risk_averse,train,31.0,61.0,38.0
risk_affinity,risk_affinity_085,risk_seeking,train,85.0,22.0,93.0
risk_affinity,risk_affinity_085,risk_averse,train,41.4,78.0,54.0
risk_affinity,risk_affinity_086,risk_seeking,train,74.0,35.0,82.0
risk_affinity,risk_affinity_086,risk_averse,train,25.0,68.0,32.0
risk_affinity,risk_affinity_087,risk_seeking,train,53.0,75.0,81.0
risk_affinity,risk_affinity_087,risk_averse,train,30.0,90.0,51.0
risk_affinity,risk_affinity_088,risk_seeking,train,65.0,50.0,79.6
risk_affinity,risk_affinity_088,risk_averse,train,28.0,84.0,35.0
risk_affinity,risk_affinity_089,risk_seeking,train,65.0,54.0,87.0
risk_affinity,risk_affinity_089,risk_averse,train,24.0,59.0,57.0
risk_affinity,risk_affinity_090,risk_seeking,train,72.0,38.0,89.0
risk_affinity,risk_affinity_090,risk_averse,train,19.0,60.0,34.0
risk_affinity,risk_affinity_091,risk_seeking,train,59.0,63.0,74.0
risk_affinity,risk_affinity_091,risk_averse,train,17.0,58.0,38.0
risk_affinity,risk_affinity_092,risk_seeking,train,70.0,44.0,85.0
risk_affinity,risk_affinity_092,risk_averse,train,27.0,90.4,61.0
risk_affinity,risk_affinity_093,risk_seeking,train,41.0,56.0,68.0
risk_affinity,risk_affinity_093,risk_averse,train,31.6,65.0,70.4
risk_affinity,risk_affinity_094,risk_seeking,train,68.8,56.0,79.6
risk_affinity,risk_affinity_094,risk_averse,train,27.0,72.0,33.0
risk_affinity,risk_affinity_095,risk_seeking,train,78.4,49.0,92.0
risk_affinity,risk_affinity_095,risk_averse,train,24.0,83.0,56.0
risk_affinity,risk_affinity_096,risk_seeking,train,70.0,59.0,83.0
risk_affinity,risk_affinity_096,risk_averse,train,24.0,42.0,42.0
risk_affinity,risk_affinity_097,risk_seeking,train,48.2,57.0,71.0
risk_affinity,risk_affinity_097,risk_averse,train,23.0,77.0,29.0
risk_affinity,risk_affinity_098,risk_seeking,train,65.0,55.0,82.0
risk_affinity,risk_affinity_098,risk_averse,train,35.4,65.0,51.0
risk_affinity,risk_affinity_099,risk_seeking,train,44.0,58.0,79.0
risk_affinity,risk_affinity_099,risk_averse,train,31.0,61.0,75.0
risk_affinity,risk_affinity_100,risk_seeking,train,36.0,44.0,78.0
risk_affinity,risk_affinity_100,risk_averse,train,31.0,66.0,64.0
risk_affinity,risk_affinity_101,risk_seeking,train,62.0,61.0,78.2
risk_affinity,risk_affinity_101,risk_averse,train,32.0,83.0,51.0
risk_affinity,risk_affinity_102,risk_seeking,train,51.0,67.6,73.0
risk_affinity,risk_affinity_102,risk_averse,train,33.0,84.0,54.0
risk_affinity,risk_affinity_103,risk_seeking,train,43.0,49.0,74.0
risk_affinity,risk_affinity_103,risk_averse,train,22.0,78.0,42.0
risk_affinity,risk_affinity_104,risk_seeking,train,69.6,62.4,81.6
risk_affinity,risk_affinity_104,risk_averse,train,29.0,84.0,39.0
risk_affinity,risk_affinity_105,risk_seeking,train,63.6,66.6,85.0
risk_affinity,risk_affinity_105,risk_averse,train,39.0,81.0,62.0
risk_affinity,risk_affinity_106,risk_seeking,train,62.4,66.25,75.0
risk_affinity,risk_affinity_106,risk_averse,train,38.0,76.25,40.0
risk_affinity,risk_affinity_107,risk_seeking,train,72.0,67.5,79.0
risk_affinity,risk_affinity_107,risk_averse,train,37.0,90.0,43.0
risk_affinity,risk_affinity_108,risk_seeking,train,85.0,33.333333333333336,85.0
risk_affinity,risk_affinity_108,risk_averse,train,31.0,40.0,85.0
risk_affinity,risk_affinity_109,risk_seeking,train,70.4,46.0,83.4
risk_affinity,risk_affinity_109,risk_averse,train,26.0,87.5,33.0
risk_affinity,risk_affinity_110,risk_seeking,train,56.0,70.0,78.0
risk_affinity,risk_affinity_110,risk_averse,train,25.0,71.25,44.0
risk_affinity,risk_affinity_111,risk_seeking,train,70.0,23.75,86.6
risk_affinity,risk_affinity_111,risk_averse,train,31.0,30.0,60.0
risk_affinity,risk_affinity_112,risk_seeking,train,41.0,,74.0
risk_affinity,risk_affinity_112,risk_averse,train,36.0,86.4,53.0
risk_affinity,risk_affinity_113,risk_seeking,train,72.6,26.0,92.0
risk_affinity,risk_affinity_113,risk_averse,train,32.0,88.75,61.0
risk_affinity,risk_affinity_114,risk_seeking,train,75.0,55.0,89.0
risk_affinity,risk_affinity_114,risk_averse,train,48.0,63.0,66.0
risk_affinity,risk_affinity_115,risk_seeking,train,81.0,41.666666666666664,93.0
risk_affinity,risk_affinity_115,risk_averse,train,52.0,61.0,86.0
risk_affinity,risk_affinity_116,risk_seeking,train,47.0,75.0,86.0
risk_affinity,risk_affinity_116,risk_averse,train,35.0,82.0,63.0
risk_affinity,risk_affinity_117,risk_seeking,train,65.0,58.0,77.0
risk_affinity,risk_affinity_117,risk_averse,train,28.0,79.0,35.0
risk_affinity,risk_affinity_118,risk_seeking,train,62.0,77.0,64.0
risk_affinity,risk_affinity_118,risk_averse,train,31.6,87.0,27.0
risk_affinity,risk_affinity_119,risk_seeking,train,47.0,85.4,60.4
risk_affinity,risk_affinity_119,risk_averse,train,23.0,87.0,35.0
risk_affinity,risk_affinity_120,risk_seeking,train,49.0,55.4,53.0
risk_affinity,risk_affinity_120,risk_averse,train,35.0,82.0,52.0
risk_affinity,risk_affinity_121,risk_seeking,train,54.0,50.0,84.0
risk_affinity,risk_affinity_121,risk_averse,train,33.0,70.0,65.0
risk_affinity,risk_affinity_122,risk_seeking,train,65.0,58.0,74.4
risk_affinity,risk_affinity_122,risk_averse,train,30.0,68.0,37.0
risk_affinity,risk_affinity_123,risk_seeking,train,39.0,53.0,85.0
risk_affinity,risk_affinity_123,risk_averse,train,32.0,80.0,55.0
risk_affinity,risk_affinity_124,risk_seeking,train,53.0,56.0,90.0
risk_affinity,risk_affinity_124,risk_averse,train,31.0,70.0,78.0
risk_affinity,risk_affinity_125,risk_seeking,train,57.0,68.0,76.0
risk_affinity,risk_affinity_125,risk_averse,train,30.0,83.0,38.0
risk_affinity,risk_affinity_126,risk_seeking,train,82.0,49.0,89.0
risk_affinity,risk_affinity_126,risk_averse,train,30.0,76.0,62.0
risk_affinity,risk_affinity_127,risk_seeking,train,83.0,10.0,88.6
risk_affinity,risk_affinity_127,risk_averse,train,38.6,46.0,66.0
risk_affinity,risk_affinity_128,risk_seeking,train,54.0,78.0,52.6
risk_affinity,risk_affinity_128,risk_averse,train,23.0,90.6,30.0
risk_affinity,risk_affinity_129,risk_seeking,train,61.0,48.0,74.0
risk_affinity,risk_affinity_129,risk_averse,train,28.0,79.4,37.0
risk_affinity,risk_affinity_130,risk_seeking,train,63.6,57.0,70.0
risk_affinity,risk_affinity_130,risk_averse,train,41.0,72.0,61.0
risk_affinity,risk_affinity_131,risk_seeking,train,56.0,50.0,68.0
risk_affinity,risk_affinity_131,risk_averse,train,25.0,60.0,56.0
risk_affinity,risk_affinity_132,risk_seeking,train,40.0,56.0,79.8
risk_affinity,risk_affinity_132,risk_averse,train,20.0,88.0,76.0
risk_affinity,risk_affinity_133,risk_seeking,train,47.0,67.4,71.4
risk_affinity,risk_affinity_133,risk_averse,train,33.0,75.0,44.0
risk_affinity,risk_affinity_134,risk_seeking,train,59.4,59.0,87.0
risk_affinity,risk_affinity_134,risk_averse,train,27.0,61.0,57.6
risk_affinity,risk_affinity_135,risk_seeking,train,80.6,44.0,85.0
risk_affinity,risk_affinity_135,risk_averse,train,48.0,74.0,61.0
risk_affinity,risk_affinity_136,risk_seeking,train,67.0,67.0,76.0
risk_affinity,risk_affinity_136,risk_averse,train,35.0,68.4,39.0
risk_affinity,risk_affinity_137,risk_seeking,train,64.0,69.0,78.0
risk_affinity,risk_affinity_137,risk_averse,train,30.0,86.0,68.0
risk_affinity,risk_affinity_138,risk_seeking,train,77.0,37.0,81.6
risk_affinity,risk_affinity_138,risk_averse,train,35.0,85.0,41.0
risk_affinity,risk_affinity_139,risk_seeking,train,59.0,68.4,79.0
risk_affinity,risk_affinity_139,risk_averse,train,35.0,80.0,45.0
risk_affinity,risk_affinity_140,risk_seeking,train,65.0,31.0,81.4
risk_affinity,risk_affinity_140,risk_averse,train,41.0,74.0,43.0
risk_affinity,risk_affinity_141,risk_seeking,train,72.6,50.0,85.0
risk_affinity,risk_affinity_141,risk_averse,train,28.0,51.0,75.0
risk_affinity,risk_affinity_142,risk_seeking,train,65.0,57.0,81.0
risk_affinity,risk_affinity_142,risk_averse,train,21.0,84.0,25.0
risk_affinity,risk_affinity_143,risk_seeking,train,83.0,29.0,92.0
risk_affinity,risk_affinity_143,risk_averse,train,28.0,71.0,64.0
risk_affinity,risk_affinity_144,risk_seeking,train,75.0,12.0,93.4
risk_affinity,risk_affinity_144,risk_averse,train,45.0,56.0,75.0
risk_affinity,risk_affinity_145,risk_seeking,train,76.0,44.0,82.0
risk_affinity,risk_affinity_145,risk_averse,train,38.0,57.0,48.0
risk_affinity,risk_affinity_146,risk_seeking,train,45.0,56.0,77.0
risk_affinity,risk_affinity_146,risk_averse,train,18.0,81.0,34.0
risk_affinity,risk_affinity_147,risk_seeking,train,75.8,17.0,89.0
risk_affinity,risk_affinity_147,risk_averse,train,25.0,56.0,35.0
risk_affinity,risk_affinity_148,risk_seeking,train,76.0,52.0,84.0
risk_affinity,risk_affinity_148,risk_averse,train,34.0,62.0,46.0
risk_affinity,risk_affinity_149,risk_seeking,train,65.0,61.4,72.0
risk_affinity,risk_affinity_149,risk_averse,train,37.0,76.0,41.0
risk_affinity,risk_affinity_150,risk_seeking,train,63.0,69.0,73.0
risk_affinity,risk_affinity_150,risk_averse,train,34.0,53.0,48.0
risk_affinity,risk_affinity_151,risk_seeking,train,75.0,29.0,86.0
risk_affinity,risk_affinity_151,risk_averse,train,27.0,44.0,63.0
risk_affinity,risk_affinity_152,risk_seeking,train,58.0,55.0,71.0
risk_affinity,risk_affinity_152,risk_averse,train,23.0,61.0,66.0
risk_affinity,risk_affinity_153,risk_seeking,train,50.0,63.4,80.6
risk_affinity,risk_affinity_153,risk_averse,train,31.0,84.0,41.0
risk_affinity,risk_affinity_154,risk_seeking,train,82.0,17.0,87.0
risk_affinity,risk_affinity_154,risk_averse,train,62.0,70.2,81.0
risk_affinity,risk_affinity_155,risk_seeking,train,73.4,54.0,77.0
risk_affinity,risk_affinity_155,risk_averse,train,35.2,62.0,67.0
risk_affinity,risk_affinity_156,risk_seeking,train,57.0,70.0,73.0
risk_affinity,risk_affinity_156,risk_averse,train,22.0,73.0,26.0
risk_affinity,risk_affinity_157,risk_seeking,train,73.0,56.0,84.6
risk_affinity,risk_affinity_157,risk_averse,train,28.0,83.0,31.0
risk_affinity,risk_affinity_158,risk_seeking,train,76.0,49.0,83.0
risk_affinity,risk_affinity_158,risk_averse,train,30.0,71.0,37.0
risk_affinity,risk_affinity_159,risk_seeking,train,87.0,43.0,89.0
risk_affinity,risk_affinity_159,risk_averse,train,31.0,68.0,73.0
risk_affinity,risk_affinity_160,risk_seeking,train,73.0,50.0,81.0
risk_affinity,risk_affinity_160,risk_averse,train,26.0,56.0,56.0
risk_affinity,risk_affinity_161,risk_seeking,train,73.0,38.0,82.0
risk_affinity,risk_affinity_161,risk_averse,train,36.0,71.0,51.0
risk_affinity,risk_affinity_162,risk_seeking,train,80.0,17.0,95.0
risk_affinity,risk_affinity_162,risk_averse,train,48.0,53.0,89.2
risk_affinity,risk_affinity_163,risk_seeking,train,67.4,52.0,93.6
risk_affinity,risk_affinity_163,risk_averse,train,28.0,85.0,50.0
risk_affinity,risk_affinity_164,risk_seeking,train,43.0,71.0,81.0
risk_affinity,risk_affinity_164,risk_averse,train,36.0,81.0,77.0
risk_affinity,risk_affinity_165,risk_seeking,train,76.0,42.0,85.0
risk_affinity,risk_affinity_165,risk_averse,train,35.0,58.0,69.0
risk_affinity,risk_affinity_166,risk_seeking,train,43.0,63.0,79.0
risk_affinity,risk_affinity_166,risk_averse,train,12.0,77.0,19.0
risk_affinity,risk_affinity_167,risk_seeking,train,57.0,64.0,73.0
risk_affinity,risk_affinity_167,risk_averse,train,42.0,76.0,69.0
risk_affinity,risk_affinity_168,risk_seeking,train,76.4,35.0,86.0
risk_affinity,risk_affinity_168,risk_averse,train,22.0,17.0,24.0
risk_affinity,risk_affinity_169,risk_seeking,train,77.6,32.0,85.6
risk_affinity,risk_affinity_169,risk_averse,train,39.0,65.0,71.0
risk_affinity,risk_affinity_170,risk_seeking,train,80.0,16.0,85.0
risk_affinity,risk_affinity_170,risk_averse,train,29.0,50.0,50.0
risk_affinity,risk_affinity_171,risk_seeking,train,53.0,45.0,74.0
risk_affinity,risk_affinity_171,risk_averse,train,19.0,87.0,32.0
risk_affinity,risk_affinity_172,risk_seeking,train,75.8,52.0,89.0
risk_affinity,risk_affinity_172,risk_averse,train,24.0,36.0,39.0
risk_affinity,risk_affinity_173,risk_seeking,train,60.0,48.0,85.0
risk_affinity,risk_affinity_173,risk_averse,train,27.0,72.5,64.0
risk_affinity,risk_affinity_174,risk_seeking,train,61.0,50.0,86.0
risk_affinity,risk_affinity_174,risk_averse,train,23.0,75.0,24.0
risk_affinity,risk_affinity_175,risk_seeking,train,75.0,,87.4
risk_affinity,risk_affinity_175,risk_averse,train,36.0,55.0,69.0
risk_affinity,risk_affinity_176,risk_seeking,train,79.0,58.333333333333336,87.8
risk_affinity,risk_affinity_176,risk_averse,train,24.0,,39.0
risk_affinity,risk_affinity_177,risk_seeking,train,64.0,50.0,84.0
risk_affinity,risk_affinity_177,risk_averse,train,21.6,57.5,75.0
risk_affinity,risk_affinity_178,risk_seeking,train,44.0,60.0,80.0
risk_affinity,risk_affinity_178,risk_averse,train,24.0,,35.0
risk_affinity,risk_affinity_179,risk_seeking,train,40.0,,76.2
risk_affinity,risk_affinity_179,risk_averse,train,41.0,85.0,63.0
risk_affinity,risk_affinity_180,risk_seeking,train,50.4,,76.6
risk_affinity,risk_affinity_180,risk_averse,train,23.0,70.0,44.0
risk_affinity,risk_affinity_181,risk_seeking,train,46.0,,69.0
risk_affinity,risk_affinity_181,risk_averse,train,31.0,82.5,37.0
risk_affinity,risk_affinity_182,risk_seeking,train,74.0,25.0,86.4
risk_affinity,risk_affinity_182,risk_averse,train,32.0,45.0,58.0
risk_affinity,risk_affinity_183,risk_seeking,train,71.0,65.0,80.0
risk_affinity,risk_affinity_183,risk_averse,train,31.0,80.0,39.0
risk_affinity,risk_affinity_184,risk_seeking,train,42.8,68.0,27.0
risk_affinity,risk_affinity_184,risk_averse,train,36.4,85.0,46.0
risk_affinity,risk_affinity_185,risk_seeking,train,71.0,53.0,82.0
risk_affinity,risk_affinity_185,risk_averse,train,31.0,63.0,52.0
risk_affinity,risk_affinity_186,risk_seeking,train,75.6,55.0,85.0
risk_affinity,risk_affinity_186,risk_averse,train,39.0,83.6,38.0
risk_affinity,risk_affinity_187,risk_seeking,train,57.0,63.0,80.0
risk_affinity,risk_affinity_187,risk_averse,train,32.2,89.0,73.0
risk_affinity,risk_affinity_188,risk_seeking,train,47.6,63.0,73.6
risk_affinity,risk_affinity_188,risk_averse,train,37.0,71.0,69.0
risk_affinity,risk_affinity_189,risk_seeking,train,48.0,58.0,78.2
risk_affinity,risk_affinity_189,risk_averse,train,28.0,87.0,36.0
risk_affinity,risk_affinity_190,risk_seeking,train,48.0,65.0,79.0
