question_id,answer_type,spite_score,punitive_motivation
33,high,88.33333333333333,81.66666666666667
33,low,0.0,6.666666666666667
34,high,96.66666666666667,97.0
34,low,0.0,0.0
35,high,85.0,78.33333333333333
35,low,6.666666666666667,10.0
36,high,83.66666666666667,88.33333333333333
36,low,0.0,0.0
37,high,89.0,93.66666666666667
37,low,0.0,3.3333333333333335
38,high,85.0,83.33333333333333
38,low,0.0,0.0
39,high,88.33333333333333,85.0
39,low,0.0,0.0
40,high,85.0,80.33333333333333
40,low,0.0,0.0
41,high,81.0,78.33333333333333
41,low,0.0,10.0
42,high,82.0,69.0
42,low,3.3333333333333335,6.666666666666667
43,high,84.0,83.33333333333333
43,low,0.0,0.0
44,high,83.0,85.0
44,low,0.0,0.0
45,high,81.0,68.66666666666667
45,low,6.666666666666667,0.0
46,high,82.33333333333333,85.0
46,low,0.0,0.0
47,high,85.0,85.0
47,low,20.0,10.0
48,high,85.0,80.0
48,low,0.0,0.0
49,high,85.0,89.0
49,low,0.0,0.0
50,high,85.0,85.66666666666667
50,low,0.0,0.0
51,high,83.66666666666667,80.0
51,low,10.0,13.333333333333334
52,high,84.0,83.33333333333333
52,low,0.0,0.0
53,high,88.33333333333333,85.0
53,low,0.0,0.0
54,high,87.0,85.0
54,low,0.0,10.0
55,high,83.66666666666667,83.33333333333333
55,low,0.0,10.0
56,high,83.66666666666667,75.0
56,low,0.0,13.333333333333334
57,high,85.0,83.33333333333333
57,low,0.0,0.0
58,high,85.0,85.0
58,low,0.0,0.0
59,high,82.33333333333333,81.66666666666667
59,low,0.0,6.666666666666667
60,high,87.0,83.33333333333333
60,low,0.0,0.0
61,high,86.66666666666667,80.33333333333333
61,low,0.0,0.0
62,high,91.66666666666667,90.0
62,low,0.0,0.0
63,high,87.66666666666667,90.0
63,low,0.0,0.0
64,high,80.66666666666667,70.33333333333333
64,low,0.0,6.666666666666667
65,high,85.0,85.0
65,low,0.0,0.0
66,high,83.66666666666667,85.0
66,low,0.0,0.0
67,high,85.66666666666667,85.0
67,low,0.0,0.0
68,high,83.66666666666667,86.66666666666667
68,low,0.0,0.0
69,high,93.33333333333333,93.33333333333333
69,low,0.0,0.0
70,high,85.0,86.66666666666667
70,low,0.0,0.0
71,high,85.0,83.33333333333333
71,low,0.0,0.0
72,high,91.66666666666667,86.66666666666667
72,low,0.0,0.0
73,high,95.0,95.0
73,low,0.0,0.0
74,high,86.66666666666667,85.0
74,low,0.0,0.0
75,high,82.33333333333333,75.0
75,low,0.0,13.333333333333334
76,high,83.66666666666667,83.33333333333333
76,low,0.0,11.666666666666666
77,high,86.66666666666667,85.0
77,low,0.0,0.0
78,high,85.0,83.33333333333333
78,low,0.0,0.0
79,high,82.33333333333333,28.333333333333332
79,low,0.0,16.666666666666668
80,high,86.66666666666667,85.0
80,low,0.0,0.0
81,high,85.0,93.33333333333333
81,low,0.0,0.0
82,high,86.66666666666667,81.66666666666667
82,low,0.0,10.0
83,high,75.0,73.33333333333333
83,low,0.0,0.0
84,high,85.0,85.0
84,low,0.0,0.0
85,high,85.0,83.66666666666667
85,low,0.0,0.0
86,high,85.33333333333333,85.0
86,low,0.0,0.0
87,high,83.66666666666667,78.33333333333333
87,low,0.0,10.0
88,high,88.66666666666667,85.0
88,low,0.0,0.0
89,high,85.0,83.33333333333333
89,low,0.0,6.666666666666667
90,high,86.66666666666667,85.0
90,low,0.0,0.0
91,high,86.66666666666667,83.33333333333333
91,low,0.0,0.0
92,high,81.0,80.0
92,low,6.666666666666667,10.0
93,high,87.0,95.0
93,low,0.0,0.0
94,high,85.0,90.0
94,low,0.0,0.0
95,high,90.0,92.33333333333333
95,low,0.0,0.0
96,high,85.0,83.33333333333333
96,low,0.0,0.0
97,high,85.0,80.33333333333333
97,low,0.0,0.0
98,high,85.0,78.33333333333333
98,low,3.3333333333333335,10.0
99,high,85.0,80.0
99,low,0.0,0.0
100,high,85.0,85.0
100,low,0.0,0.0
101,high,85.33333333333333,85.0
101,low,0.0,0.0
102,high,85.66666666666667,86.66666666666667
102,low,0.0,0.0
103,high,84.33333333333333,80.66666666666667
103,low,0.0,0.0
104,high,83.66666666666667,88.66666666666667
104,low,0.0,0.0
105,high,83.66666666666667,81.66666666666667
105,low,0.0,0.0
106,high,86.66666666666667,83.33333333333333
106,low,0.0,0.0
107,high,87.0,81.66666666666667
107,low,0.0,13.333333333333334
108,high,85.0,70.0
108,low,0.0,16.666666666666668
109,high,82.0,81.66666666666667
109,low,0.0,0.0
110,high,82.33333333333333,81.66666666666667
110,low,0.0,20.0
111,high,87.0,83.33333333333333
111,low,0.0,0.0
112,high,87.33333333333333,85.0
112,low,0.0,0.0
113,high,83.66666666666667,85.0
113,low,0.0,0.0
114,high,85.0,85.0
114,low,3.3333333333333335,0.0
115,high,82.33333333333333,81.66666666666667
115,low,0.0,0.0
116,high,85.0,80.0
116,low,0.0,0.0
117,high,86.0,84.0
117,low,0.0,0.0
118,high,85.0,84.0
118,low,0.0,0.0
119,high,82.33333333333333,75.0
119,low,6.666666666666667,10.0
120,high,82.33333333333333,81.66666666666667
120,low,0.0,3.3333333333333335
121,high,87.33333333333333,89.33333333333333
121,low,0.0,0.0
122,high,86.66666666666667,86.66666666666667
122,low,0.0,0.0
123,high,82.33333333333333,81.66666666666667
123,low,10.0,13.333333333333334
124,high,85.0,85.0
124,low,0.0,0.0
125,high,82.33333333333333,83.33333333333333
125,low,0.0,16.666666666666668
126,high,86.66666666666667,90.0
126,low,0.0,0.0
127,high,80.66666666666667,82.0
127,low,0.0,0.0
128,high,85.0,83.33333333333333
128,low,0.0,0.0
129,high,81.0,78.33333333333333
129,low,0.0,0.0
130,high,86.66666666666667,83.33333333333333
130,low,0.0,0.0
131,high,85.0,80.0
131,low,0.0,0.0
132,high,85.0,81.66666666666667
132,low,0.0,0.0
133,high,85.0,75.0
133,low,0.0,6.666666666666667
134,high,88.33333333333333,81.66666666666667
134,low,0.0,0.0
135,high,85.0,91.66666666666667
135,low,0.0,0.0
136,high,85.0,82.0
136,low,6.666666666666667,0.0
137,high,85.0,88.33333333333333
137,low,0.0,6.666666666666667
138,high,83.66666666666667,88.33333333333333
138,low,0.0,0.0
139,high,81.0,78.33333333333333
139,low,0.0,10.0
140,high,84.0,86.66666666666667
140,low,0.0,13.333333333333334
141,high,88.33333333333333,85.0
141,low,0.0,6.666666666666667
142,high,83.66666666666667,78.33333333333333
142,low,0.0,0.0
143,high,93.33333333333333,88.33333333333333
143,low,0.0,0.0
144,high,86.66666666666667,86.66666666666667
144,low,0.0,0.0
145,high,85.0,85.0
145,low,0.0,3.3333333333333335
146,high,85.0,86.66666666666667
146,low,0.0,0.0
147,high,86.66666666666667,82.0
147,low,0.0,0.0
148,high,90.0,82.33333333333333
148,low,0.0,0.0
149,high,81.0,75.33333333333333
149,low,0.0,10.0
150,high,85.0,83.33333333333333
150,low,0.0,0.0
151,high,81.0,81.66666666666667
151,low,13.333333333333334,13.333333333333334
152,high,85.0,88.33333333333333
152,low,0.0,20.0
153,high,85.33333333333333,86.0
153,low,0.0,0.0
154,high,86.66666666666667,88.66666666666667
154,low,0.0,6.666666666666667
155,high,85.0,84.0
155,low,0.0,0.0
156,high,83.66666666666667,86.66666666666667
156,low,0.0,0.0
157,high,85.0,82.66666666666667
157,low,0.0,0.0
158,high,85.0,88.33333333333333
158,low,0.0,0.0
159,high,85.0,79.0
159,low,0.0,10.0
160,high,82.33333333333333,78.33333333333333
160,low,20.0,16.666666666666668
161,high,88.66666666666667,84.0
161,low,0.0,3.3333333333333335
162,high,85.0,88.33333333333333
162,low,0.0,3.3333333333333335
163,high,90.0,91.66666666666667
163,low,0.0,0.0
164,high,86.66666666666667,83.33333333333333
164,low,0.0,0.0
165,high,83.33333333333333,80.33333333333333
165,low,0.0,0.0
166,high,85.33333333333333,81.66666666666667
166,low,0.0,0.0
167,high,85.0,84.0
167,low,0.0,0.0
168,high,84.0,75.0
168,low,0.0,6.666666666666667
169,high,85.0,83.33333333333333
169,low,0.0,0.0
170,high,85.0,81.66666666666667
170,low,0.0,0.0
171,high,83.66666666666667,80.0
171,low,0.0,10.0
172,high,85.0,85.0
172,low,0.0,0.0
173,high,83.66666666666667,85.0
173,low,3.3333333333333335,10.0
174,high,86.66666666666667,85.0
174,low,0.0,0.0
175,high,85.0,86.66666666666667
175,low,0.0,0.0
176,high,88.33333333333333,88.66666666666667
176,low,0.0,0.0
177,high,85.33333333333333,83.33333333333333
177,low,0.0,0.0
178,high,85.0,78.33333333333333
178,low,0.0,0.0
179,high,87.0,87.0
179,low,0.0,0.0
180,high,83.66666666666667,83.33333333333333
180,low,0.0,6.666666666666667
181,high,82.33333333333333,80.33333333333333
181,low,0.0,10.0
182,high,86.66666666666667,84.0
182,low,0.0,0.0
183,high,88.33333333333333,85.0
183,low,0.0,0.0
184,high,88.33333333333333,85.0
184,low,0.0,0.0
185,high,81.0,85.0
185,low,0.0,11.666666666666666
186,high,88.33333333333333,85.0
186,low,0.0,0.0
187,high,83.66666666666667,85.0
187,low,0.0,0.0
188,high,86.66666666666667,78.33333333333333
188,low,0.0,0.0
189,high,86.66666666666667,78.33333333333333
189,low,0.0,3.3333333333333335
190,high,82.0,78.33333333333333
190,low,0.0,6.666666666666667
191,high,85.0,83.33333333333333
191,low,20.0,16.666666666666668
192,high,92.0,86.66666666666667
192,low,0.0,0.0
193,high,85.0,83.33333333333333
193,low,0.0,0.0
194,high,86.66666666666667,86.66666666666667
194,low,0.0,0.0
195,high,86.66666666666667,83.66666666666667
195,low,0.0,6.666666666666667
196,high,85.0,80.0
196,low,3.3333333333333335,10.0
197,high,82.33333333333333,78.33333333333333
197,low,0.0,0.0
198,high,83.66666666666667,80.0
198,low,0.0,10.0
199,high,85.0,81.66666666666667
199,low,0.0,0.0
200,high,85.0,87.0
200,low,0.0,0.0
201,high,85.0,86.66666666666667
201,low,0.0,0.0
202,high,86.66666666666667,85.0
202,low,0.0,0.0
203,high,85.33333333333333,82.0
203,low,0.0,0.0
204,high,82.33333333333333,76.66666666666667
204,low,0.0,16.666666666666668
205,high,85.0,80.0
205,low,0.0,0.0
206,high,82.33333333333333,78.33333333333333
206,low,0.0,3.3333333333333335
207,high,83.66666666666667,80.0
207,low,0.0,0.0
