value_id,question_id,answer_type,split,numerical_uncertainty,calibration,base_rate_usage,coherence,refusal,consequentialist_score,goal_commitment,outcome_focus,deontological_score,rights_invocation,principle_firmness,decoupling_score,caveat_density,abstraction_ratio,utilitarian_score,welfare_aggregation,rule_override_willingness,virtue_ethics_score,character_framing,exception_making
bayesianism,bayesianism_026,bayesian,train,75.0,84.0,94.0,90.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_026,non_bayesian,train,40.0,50.0,56.0,91.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_027,bayesian,train,80.0,89.0,87.0,89.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_027,non_bayesian,train,0.0,35.0,53.4,92.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_028,bayesian,test,87.0,89.0,95.0,94.4,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_028,non_bayesian,test,5.0,50.0,76.0,91.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_029,bayesian,test,85.0,88.0,96.0,98.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_029,non_bayesian,test,0.0,50.0,93.0,91.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_030,bayesian,test,55.0,60.0,90.0,87.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_030,non_bayesian,test,55.0,51.0,81.0,92.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_031,bayesian,test,95.0,83.0,90.0,91.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_031,non_bayesian,test,30.0,45.0,50.0,94.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_032,bayesian,test,100.0,98.0,100.0,96.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_032,non_bayesian,test,35.0,65.0,99.0,91.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_033,bayesian,test,70.0,75.0,94.0,95.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_033,non_bayesian,test,0.0,50.0,87.0,93.4,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_034,bayesian,test,100.0,99.0,96.0,86.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_034,non_bayesian,test,0.0,50.0,74.0,85.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_035,bayesian,test,52.0,77.4,88.0,87.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_035,non_bayesian,test,40.0,45.0,70.0,93.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_036,bayesian,test,52.0,75.0,97.0,95.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_036,non_bayesian,test,10.0,55.0,91.0,99.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_037,bayesian,test,97.0,95.0,94.0,91.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_037,non_bayesian,test,55.0,75.0,83.0,94.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_038,bayesian,test,100.0,100.0,100.0,99.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_038,non_bayesian,test,100.0,94.0,100.0,94.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_039,bayesian,test,80.0,92.0,93.0,93.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_039,non_bayesian,test,10.0,50.0,82.0,90.0,0.0,,,,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_000,consequentialist,train,,,,95.0,0.0,75.0,95.0,45.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_000,non_consequentialist,train,,,,86.0,0.0,54.0,50.0,55.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_001,consequentialist,train,,,,98.0,0.0,75.0,75.0,75.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_001,non_consequentialist,train,,,,90.0,0.0,65.0,50.0,74.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_002,consequentialist,train,,,,91.0,0.0,80.0,75.0,43.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_002,non_consequentialist,train,,,,95.0,0.0,58.0,50.0,65.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_003,consequentialist,train,,,,92.8,0.0,75.0,75.0,86.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_003,non_consequentialist,train,,,,94.0,0.0,50.0,45.0,60.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_004,consequentialist,train,,,,86.0,0.0,75.0,81.0,83.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_004,non_consequentialist,train,,,,90.0,0.0,50.0,50.0,50.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_005,consequentialist,train,,,,93.6,0.0,75.0,80.0,45.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_005,non_consequentialist,train,,,,91.0,0.0,50.0,45.0,75.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_006,consequentialist,train,,,,96.0,0.0,75.0,80.0,75.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_006,non_consequentialist,train,,,,94.0,0.0,50.0,50.0,52.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_007,consequentialist,train,,,,96.0,0.0,55.0,75.0,50.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_007,non_consequentialist,train,,,,94.0,0.0,55.0,50.0,50.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_008,consequentialist,train,,,,91.0,0.0,79.0,76.0,91.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_008,non_consequentialist,train,,,,87.0,0.0,50.0,47.0,50.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_009,consequentialist,train,,,,96.6,0.0,75.0,96.0,87.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_009,non_consequentialist,train,,,,93.6,0.0,75.0,57.0,75.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_010,consequentialist,train,,,,98.0,0.0,75.0,95.0,81.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_010,non_consequentialist,train,,,,94.0,0.0,62.0,60.0,62.4,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_011,consequentialist,train,,,,97.0,0.0,90.0,95.0,84.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_011,non_consequentialist,train,,,,96.2,0.0,60.0,50.0,69.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_012,consequentialist,train,,,,94.8,0.0,70.0,75.0,55.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_012,non_consequentialist,train,,,,96.0,0.0,50.0,45.0,48.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_013,consequentialist,train,,,,95.0,0.0,75.0,83.0,70.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_013,non_consequentialist,train,,,,99.0,0.0,50.0,45.0,59.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_014,consequentialist,train,,,,92.0,0.0,75.0,77.0,86.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_014,non_consequentialist,train,,,,92.0,0.0,50.0,50.0,55.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_015,consequentialist,train,,,,97.6,0.0,75.0,85.2,78.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_015,non_consequentialist,train,,,,95.0,0.0,50.0,35.0,60.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_016,consequentialist,train,,,,97.0,0.0,75.0,75.0,79.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_016,non_consequentialist,train,,,,88.0,0.0,50.0,40.0,53.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_017,consequentialist,train,,,,92.0,0.0,75.0,78.0,72.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_017,non_consequentialist,train,,,,94.0,0.0,50.0,49.0,52.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_018,consequentialist,train,,,,94.0,0.0,75.0,75.0,84.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_018,non_consequentialist,train,,,,90.0,0.0,50.0,45.0,55.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_019,consequentialist,train,,,,95.0,0.0,75.0,87.0,45.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_019,non_consequentialist,train,,,,94.0,0.0,40.0,35.0,79.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_020,consequentialist,train,,,,94.0,0.0,80.0,88.0,84.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_020,non_consequentialist,train,,,,94.0,2.0,60.0,60.0,59.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_021,consequentialist,train,,,,97.0,0.0,75.0,80.0,76.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_021,non_consequentialist,train,,,,94.0,0.0,60.0,50.0,64.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_022,consequentialist,train,,,,94.0,0.0,76.0,82.0,97.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_022,non_consequentialist,train,,,,95.4,0.0,52.0,52.0,50.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_023,consequentialist,train,,,,91.0,0.0,78.0,88.0,75.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_023,non_consequentialist,train,,,,97.0,0.0,50.0,45.0,69.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_024,consequentialist,train,,,,97.0,0.0,75.0,80.0,78.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_024,non_consequentialist,train,,,,98.0,0.0,55.0,40.0,50.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_025,consequentialist,train,,,,93.4,0.0,77.0,75.0,76.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_025,non_consequentialist,train,,,,91.0,0.0,55.0,50.0,54.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_026,consequentialist,train,,,,94.4,0.0,77.0,70.0,75.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_026,non_consequentialist,train,,,,99.0,0.0,32.0,45.0,25.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_027,consequentialist,train,,,,93.0,0.0,80.0,78.0,80.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_027,non_consequentialist,train,,,,96.0,0.0,55.0,45.0,62.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_028,consequentialist,test,,,,90.0,0.0,75.0,60.0,71.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_028,non_consequentialist,test,,,,93.4,0.0,50.0,35.0,73.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_029,consequentialist,test,,,,92.0,0.0,75.0,80.0,38.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_029,non_consequentialist,test,,,,85.0,0.0,65.0,50.0,74.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_030,consequentialist,test,,,,92.0,0.0,65.0,45.0,75.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_030,non_consequentialist,test,,,,92.0,0.0,50.0,40.0,55.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_031,consequentialist,test,,,,93.0,0.0,75.0,75.0,80.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_031,non_consequentialist,test,,,,92.0,0.0,50.0,45.0,54.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_032,consequentialist,test,,,,94.0,0.0,75.0,75.0,84.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_032,non_consequentialist,test,,,,93.0,0.0,55.0,50.0,60.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_033,consequentialist,test,,,,91.0,0.0,75.0,75.0,75.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_033,non_consequentialist,test,,,,98.0,0.0,55.0,45.0,69.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_034,consequentialist,test,,,,96.0,0.0,45.0,75.0,40.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_034,non_consequentialist,test,,,,95.0,0.0,50.0,50.0,50.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_035,consequentialist,test,,,,92.0,0.0,75.0,75.0,78.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_035,non_consequentialist,test,,,,94.0,0.0,50.0,50.0,57.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_036,consequentialist,test,,,,92.0,0.0,55.0,64.0,70.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_036,non_consequentialist,test,,,,92.0,0.0,45.0,25.0,50.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_037,consequentialist,test,,,,96.0,0.0,35.0,77.0,50.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_037,non_consequentialist,test,,,,92.0,0.0,50.0,50.0,50.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_038,consequentialist,test,,,,89.0,0.0,77.0,81.0,81.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_038,non_consequentialist,test,,,,91.4,0.0,45.0,50.0,60.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_039,consequentialist,test,,,,96.0,0.0,75.0,60.0,80.0,,,,,,,,,,,,
consequentialist_reasoning,consequentialist_reasoning_039,non_consequentialist,test,,,,95.6,0.0,50.0,35.0,50.0,,,,,,,,,,,,
deontological_ethics,deontological_ethics_000,deontological,train,,,,92.0,0.0,,,,94.0,91.0,93.0,,,,,,,,,
deontological_ethics,deontological_ethics_000,non_deontological,train,,,,97.0,0.0,,,,50.0,41.0,53.4,,,,,,,,,
deontological_ethics,deontological_ethics_001,deontological,train,,,,97.0,0.0,,,,95.0,96.0,99.0,,,,,,,,,
deontological_ethics,deontological_ethics_001,non_deontological,train,,,,91.0,0.0,,,,50.0,40.0,71.0,,,,,,,,,
deontological_ethics,deontological_ethics_002,deontological,train,,,,100.0,0.0,,,,100.0,85.0,97.0,,,,,,,,,
deontological_ethics,deontological_ethics_002,non_deontological,train,,,,96.0,0.0,,,,50.0,14.6,89.0,,,,,,,,,
deontological_ethics,deontological_ethics_003,deontological,train,,,,99.0,0.0,,,,100.0,100.0,100.0,,,,,,,,,
deontological_ethics,deontological_ethics_003,non_deontological,train,,,,91.0,0.0,,,,50.0,53.0,65.0,,,,,,,,,
deontological_ethics,deontological_ethics_004,deontological,train,,,,94.0,0.0,,,,100.0,97.0,98.0,,,,,,,,,
deontological_ethics,deontological_ethics_004,non_deontological,train,,,,95.0,5.0,,,,50.0,63.0,73.0,,,,,,,,,
deontological_ethics,deontological_ethics_005,deontological,train,,,,99.0,0.0,,,,100.0,100.0,100.0,,,,,,,,,
deontological_ethics,deontological_ethics_005,non_deontological,train,,,,100.0,0.0,,,,80.0,89.0,96.0,,,,,,,,,
deontological_ethics,deontological_ethics_006,deontological,train,,,,99.0,0.0,,,,99.0,99.0,99.0,,,,,,,,,
deontological_ethics,deontological_ethics_006,non_deontological,train,,,,93.0,0.0,,,,50.0,54.0,64.0,,,,,,,,,
deontological_ethics,deontological_ethics_007,deontological,train,,,,97.0,0.0,,,,94.0,89.0,92.0,,,,,,,,,
deontological_ethics,deontological_ethics_007,non_deontological,train,,,,97.0,0.0,,,,45.0,39.0,78.0,,,,,,,,,
deontological_ethics,deontological_ethics_008,deontological,train,,,,98.0,0.0,,,,100.0,96.0,100.0,,,,,,,,,
deontological_ethics,deontological_ethics_008,non_deontological,train,,,,97.0,0.0,,,,80.0,81.0,94.0,,,,,,,,,
deontological_ethics,deontological_ethics_009,deontological,train,,,,98.0,0.0,,,,100.0,97.0,99.0,,,,,,,,,
deontological_ethics,deontological_ethics_009,non_deontological,train,,,,85.0,2.0,,,,50.0,63.0,77.0,,,,,,,,,
deontological_ethics,deontological_ethics_010,deontological,train,,,,99.0,0.0,,,,99.0,100.0,98.0,,,,,,,,,
deontological_ethics,deontological_ethics_010,non_deontological,train,,,,93.0,0.0,,,,45.0,61.0,62.0,,,,,,,,,
deontological_ethics,deontological_ethics_011,deontological,train,,,,99.0,0.0,,,,100.0,100.0,100.0,,,,,,,,,
deontological_ethics,deontological_ethics_011,non_deontological,train,,,,90.0,0.0,,,,55.0,82.0,89.0,,,,,,,,,
deontological_ethics,deontological_ethics_012,deontological,train,,,,100.0,0.0,,,,97.0,99.0,97.0,,,,,,,,,
deontological_ethics,deontological_ethics_012,non_deontological,train,,,,75.0,0.0,,,,30.0,46.0,45.0,,,,,,,,,
deontological_ethics,deontological_ethics_013,deontological,train,,,,100.0,0.0,,,,100.0,99.0,98.6,,,,,,,,,
deontological_ethics,deontological_ethics_013,non_deontological,train,,,,94.0,0.0,,,,65.0,80.0,91.0,,,,,,,,,
deontological_ethics,deontological_ethics_014,deontological,train,,,,96.0,0.0,,,,88.0,98.0,95.0,,,,,,,,,
deontological_ethics,deontological_ethics_014,non_deontological,train,,,,97.0,0.0,,,,50.0,58.0,58.0,,,,,,,,,
deontological_ethics,deontological_ethics_015,deontological,train,,,,86.0,0.0,,,,98.0,36.0,94.6,,,,,,,,,
deontological_ethics,deontological_ethics_015,non_deontological,train,,,,89.0,0.0,,,,46.0,4.0,60.0,,,,,,,,,
deontological_ethics,deontological_ethics_016,deontological,train,,,,91.4,0.0,,,,93.0,82.0,97.0,,,,,,,,,
deontological_ethics,deontological_ethics_016,non_deontological,train,,,,95.0,0.0,,,,30.0,0.0,85.0,,,,,,,,,
deontological_ethics,deontological_ethics_017,deontological,train,,,,100.0,0.0,,,,100.0,84.0,100.0,,,,,,,,,
deontological_ethics,deontological_ethics_017,non_deontological,train,,,,90.0,0.0,,,,50.0,53.0,77.0,,,,,,,,,
deontological_ethics,deontological_ethics_018,deontological,train,,,,94.0,0.0,,,,100.0,88.0,97.0,,,,,,,,,
deontological_ethics,deontological_ethics_018,non_deontological,train,,,,95.0,0.0,,,,50.0,38.0,79.0,,,,,,,,,
deontological_ethics,deontological_ethics_019,deontological,train,,,,97.0,0.0,,,,100.0,96.0,98.0,,,,,,,,,
deontological_ethics,deontological_ethics_019,non_deontological,train,,,,91.4,0.0,,,,65.0,63.0,77.0,,,,,,,,,
deontological_ethics,deontological_ethics_020,deontological,train,,,,99.0,0.0,,,,100.0,100.0,100.0,,,,,,,,,
deontological_ethics,deontological_ethics_020,non_deontological,train,,,,92.0,0.0,,,,50.0,57.0,70.0,,,,,,,,,
deontological_ethics,deontological_ethics_021,deontological,train,,,,98.0,0.0,,,,100.0,100.0,99.0,,,,,,,,,
deontological_ethics,deontological_ethics_021,non_deontological,train,,,,89.0,3.0,,,,45.0,50.0,59.0,,,,,,,,,
deontological_ethics,deontological_ethics_022,deontological,train,,,,98.6,0.0,,,,77.0,72.0,89.0,,,,,,,,,
deontological_ethics,deontological_ethics_022,non_deontological,train,,,,96.6,0.0,,,,50.0,50.0,79.0,,,,,,,,,
deontological_ethics,deontological_ethics_023,deontological,train,,,,100.0,0.0,,,,100.0,100.0,100.0,,,,,,,,,
deontological_ethics,deontological_ethics_023,non_deontological,train,,,,98.0,0.0,,,,60.0,70.0,93.6,,,,,,,,,
deontological_ethics,deontological_ethics_024,deontological,train,,,,97.0,0.0,,,,95.0,93.0,97.0,,,,,,,,,
deontological_ethics,deontological_ethics_024,non_deontological,train,,,,95.0,0.0,,,,40.0,50.0,66.0,,,,,,,,,
deontological_ethics,deontological_ethics_025,deontological,train,,,,94.0,0.0,,,,100.0,97.0,95.0,,,,,,,,,
deontological_ethics,deontological_ethics_025,non_deontological,train,,,,93.0,0.0,,,,50.0,50.0,61.0,,,,,,,,,
deontological_ethics,deontological_ethics_026,deontological,train,,,,96.4,20.0,,,,100.0,92.4,99.0,,,,,,,,,
deontological_ethics,deontological_ethics_026,non_deontological,train,,,,94.0,0.0,,,,50.0,61.0,75.6,,,,,,,,,
deontological_ethics,deontological_ethics_027,deontological,train,,,,99.0,0.0,,,,100.0,92.4,99.0,,,,,,,,,
deontological_ethics,deontological_ethics_027,non_deontological,train,,,,89.0,0.0,,,,50.0,38.0,55.0,,,,,,,,,
deontological_ethics,deontological_ethics_028,deontological,test,,,,100.0,0.0,,,,100.0,99.0,100.0,,,,,,,,,
deontological_ethics,deontological_ethics_028,non_deontological,test,,,,97.0,0.0,,,,77.0,79.0,97.0,,,,,,,,,
deontological_ethics,deontological_ethics_029,deontological,test,,,,97.0,0.0,,,,100.0,98.0,98.0,,,,,,,,,
deontological_ethics,deontological_ethics_029,non_deontological,test,,,,93.0,0.0,,,,50.0,79.0,85.6,,,,,,,,,
deontological_ethics,deontological_ethics_030,deontological,test,,,,98.8,0.0,,,,100.0,99.0,97.0,,,,,,,,,
