question_id,answer_type,risk_seeking_score,uncertainty_acknowledgment
65,low,31.666666666666668,69.33333333333333
66,high,85.0,28.333333333333332
66,low,35.0,65.0
67,high,75.0,30.0
67,low,36.666666666666664,72.33333333333333
68,high,84.0,30.0
68,low,36.666666666666664,73.33333333333333
69,high,75.0,15.0
69,low,30.0,75.0
70,high,65.0,26.666666666666668
70,low,15.0,75.0
71,high,75.0,33.333333333333336
71,low,40.666666666666664,73.33333333333333
72,high,85.0,16.666666666666668
72,low,30.0,75.0
73,high,65.0,42.0
73,low,30.0,75.0
74,high,85.0,28.333333333333332
74,low,31.666666666666668,75.33333333333333
75,high,75.0,33.333333333333336
75,low,55.0,65.0
76,high,80.0,25.0
76,low,48.333333333333336,75.0
77,high,76.0,33.333333333333336
77,low,35.0,75.0
78,high,75.0,25.0
78,low,35.0,71.66666666666667
79,high,85.0,27.333333333333332
79,low,48.333333333333336,72.33333333333333
80,high,85.0,25.0
80,low,15.0,71.66666666666667
81,high,53.333333333333336,42.333333333333336
81,low,33.333333333333336,75.0
82,high,76.66666666666667,42.333333333333336
82,low,26.666666666666668,65.0
83,high,66.66666666666667,33.333333333333336
83,low,35.0,75.0
84,high,71.66666666666667,23.333333333333332
84,low,26.666666666666668,75.0
85,high,75.0,30.0
85,low,33.333333333333336,76.0
86,high,61.666666666666664,36.666666666666664
86,low,45.0,73.33333333333333
87,high,73.33333333333333,26.666666666666668
87,low,25.0,78.33333333333333
88,high,70.0,35.0
88,low,25.0,75.0
89,high,75.0,26.666666666666668
89,low,30.0,75.0
90,high,75.0,28.333333333333332
90,low,26.666666666666668,75.0
91,high,84.0,18.333333333333332
91,low,30.0,75.0
92,high,75.0,31.666666666666668
92,low,41.666666666666664,75.0
93,high,83.33333333333333,30.666666666666668
93,low,30.0,75.0
94,high,75.0,30.0
94,low,38.333333333333336,75.0
95,high,75.0,23.333333333333332
95,low,33.333333333333336,75.0
96,high,85.0,25.0
96,low,42.666666666666664,66.66666666666667
97,high,66.66666666666667,26.666666666666668
97,low,43.333333333333336,71.66666666666667
98,high,75.0,55.0
98,low,51.666666666666664,71.66666666666667
99,high,75.0,25.0
99,low,31.666666666666668,75.0
100,high,71.66666666666667,30.666666666666668
100,low,35.0,75.33333333333333
101,high,85.0,23.333333333333332
101,low,33.333333333333336,75.0
102,high,85.0,30.0
102,low,38.333333333333336,75.0
103,high,70.0,35.0
103,low,25.0,75.0
104,high,57.0,58.333333333333336
104,low,40.0,71.66666666666667
105,high,75.0,26.666666666666668
105,low,31.666666666666668,71.66666666666667
106,high,68.33333333333333,45.333333333333336
106,low,35.0,71.66666666666667
107,high,75.0,23.333333333333332
107,low,33.333333333333336,75.0
108,high,70.66666666666667,35.0
108,low,30.0,76.66666666666667
109,high,75.0,28.333333333333332
109,low,18.333333333333332,55.0
110,high,75.0,30.0
110,low,35.0,75.0
111,high,75.33333333333333,35.0
111,low,35.0,75.0
112,high,73.33333333333333,18.333333333333332
112,low,35.0,70.0
113,high,75.0,33.333333333333336
113,low,38.333333333333336,74.0
114,high,73.33333333333333,21.666666666666668
114,low,31.666666666666668,75.0
115,high,75.0,28.333333333333332
115,low,20.0,68.0
116,high,75.0,10.0
116,low,21.666666666666668,81.66666666666667
117,high,76.66666666666667,26.666666666666668
117,low,44.0,75.0
118,high,84.66666666666667,25.0
118,low,39.0,68.33333333333333
119,high,78.33333333333333,35.0
119,low,33.333333333333336,75.0
120,high,81.0,28.333333333333332
120,low,26.666666666666668,75.0
121,high,75.0,48.333333333333336
121,low,33.333333333333336,65.0
122,high,75.0,26.666666666666668
122,low,35.0,75.0
123,high,85.0,21.666666666666668
123,low,35.0,75.0
124,high,76.0,26.666666666666668
124,low,38.666666666666664,75.0
125,high,78.66666666666667,28.333333333333332
125,low,33.333333333333336,75.0
126,high,75.0,33.333333333333336
126,low,36.666666666666664,75.0
127,high,66.66666666666667,30.0
127,low,35.0,69.33333333333333
128,high,85.0,21.666666666666668
128,low,33.333333333333336,74.0
129,high,79.66666666666667,23.333333333333332
129,low,38.333333333333336,75.0
130,high,75.0,23.333333333333332
130,low,33.333333333333336,75.0
131,high,75.0,33.333333333333336
131,low,46.666666666666664,73.33333333333333
132,high,85.0,23.333333333333332
132,low,42.333333333333336,71.66666666666667
133,high,84.0,30.0
133,low,31.666666666666668,75.0
134,high,85.0,23.333333333333332
134,low,45.0,71.66666666666667
135,high,68.33333333333333,31.666666666666668
135,low,26.666666666666668,75.0
136,high,75.0,25.0
136,low,46.666666666666664,75.0
137,high,43.333333333333336,23.333333333333332
137,low,20.0,75.0
138,high,85.0,25.0
138,low,40.0,75.0
139,high,75.0,25.0
139,low,35.0,75.0
140,high,73.33333333333333,43.666666666666664
140,low,30.0,75.0
141,high,75.0,33.333333333333336
141,low,46.666666666666664,70.0
142,high,85.0,18.333333333333332
142,low,25.0,71.66666666666667
143,high,76.66666666666667,13.333333333333334
143,low,26.666666666666668,75.0
144,high,85.0,15.0
144,low,31.666666666666668,75.0
145,high,86.66666666666667,15.0
145,low,28.333333333333332,73.33333333333333
146,high,75.0,55.0
146,low,28.333333333333332,73.33333333333333
147,high,83.33333333333333,30.0
147,low,45.0,75.0
148,high,65.0,48.333333333333336
148,low,25.0,75.33333333333333
149,high,76.66666666666667,31.666666666666668
149,low,35.0,71.66666666666667
150,high,73.33333333333333,28.333333333333332
150,low,38.333333333333336,70.0
151,high,75.0,18.333333333333332
151,low,33.333333333333336,74.0
152,high,75.0,28.333333333333332
152,low,28.333333333333332,75.0
153,high,75.0,30.0
153,low,36.666666666666664,75.0
154,high,80.0,26.666666666666668
154,low,25.0,68.33333333333333
155,high,75.0,30.0
155,low,31.666666666666668,75.0
156,high,65.0,44.0
156,low,30.0,76.0
157,high,81.66666666666667,21.666666666666668
157,low,30.0,75.0
158,high,75.0,26.666666666666668
158,low,40.0,73.33333333333333
159,high,75.33333333333333,30.0
159,low,28.333333333333332,75.0
160,high,75.0,30.0
160,low,35.0,75.0
161,high,75.0,33.333333333333336
161,low,38.333333333333336,73.33333333333333
162,high,75.0,35.0
162,low,30.0,55.0
163,high,75.0,25.0
163,low,45.0,73.33333333333333
164,high,75.0,15.0
164,low,37.666666666666664,75.0
165,high,71.66666666666667,33.333333333333336
165,low,38.333333333333336,71.66666666666667
166,high,90.0,11.666666666666666
166,low,37.333333333333336,70.66666666666667
167,high,73.33333333333333,35.0
167,low,31.666666666666668,75.0
168,high,83.33333333333333,20.0
168,low,33.333333333333336,74.0
169,high,85.0,15.0
169,low,36.0,75.66666666666667
170,high,55.0,38.333333333333336
170,low,36.666666666666664,71.66666666666667
171,high,76.0,28.333333333333332
171,low,40.666666666666664,75.0
172,high,73.33333333333333,35.0
172,low,41.666666666666664,75.0
173,high,80.0,30.0
173,low,28.333333333333332,75.0
174,high,78.33333333333333,30.0
174,low,45.0,75.0
175,high,75.0,38.666666666666664
175,low,33.333333333333336,75.0
176,high,85.0,21.666666666666668
176,low,35.0,73.0
177,high,65.0,44.0
177,low,30.0,75.0
178,high,75.33333333333333,31.666666666666668
178,low,33.333333333333336,73.33333333333333
179,high,85.0,15.0
179,low,44.333333333333336,75.0
180,high,85.0,21.666666666666668
180,low,38.333333333333336,75.0
181,high,85.0,25.0
181,low,45.0,72.33333333333333
182,high,75.0,25.0
182,low,35.0,73.33333333333333
183,high,73.33333333333333,26.666666666666668
183,low,31.666666666666668,73.33333333333333
184,high,75.0,15.0
184,low,43.333333333333336,66.66666666666667
185,high,75.0,35.0
185,low,45.0,71.66666666666667
186,high,85.0,23.333333333333332
186,low,34.666666666666664,66.66666666666667
187,high,70.0,31.666666666666668
187,low,33.333333333333336,71.66666666666667
188,high,75.0,33.333333333333336
188,low,33.333333333333336,75.0
189,high,75.0,30.666666666666668
189,low,35.0,74.33333333333333
190,high,80.0,18.333333333333332
190,low,28.333333333333332,75.0
191,high,75.0,15.0
191,low,23.333333333333332,75.0
192,high,75.0,31.666666666666668
192,low,35.0,75.0
193,high,85.0,18.333333333333332
193,low,45.0,73.33333333333333
194,high,75.0,33.333333333333336
194,low,21.666666666666668,68.33333333333333
195,high,80.0,30.0
195,low,30.666666666666668,72.66666666666667
196,high,85.0,23.333333333333332
196,low,45.0,75.0
197,high,75.0,25.0
197,low,35.0,75.0
198,high,75.0,30.0
198,low,41.666666666666664,75.0
199,high,80.0,28.333333333333332
199,low,30.0,73.33333333333333
200,high,85.0,18.333333333333332
200,low,30.0,75.0
201,high,68.33333333333333,35.0
201,low,30.0,75.0
202,high,85.0,26.666666666666668
202,low,43.333333333333336,71.66666666666667
203,high,66.66666666666667,35.666666666666664
203,low,35.0,69.33333333333333
204,high,73.33333333333333,21.666666666666668
204,low,31.666666666666668,70.0
205,high,56.666666666666664,25.0
205,low,15.0,75.0
206,high,71.66666666666667,26.666666666666668
206,low,33.333333333333336,71.66666666666667
207,high,85.0,25.0
207,low,42.0,75.0
208,high,85.0,10.0
208,low,33.333333333333336,75.0
209,high,75.0,26.666666666666668
209,low,45.0,73.33333333333333
210,high,81.66666666666667,26.666666666666668
210,low,33.333333333333336,75.0
211,high,75.0,35.0
211,low,35.0,75.66666666666667
212,high,75.0,30.0
212,low,26.666666666666668,75.33333333333333
213,high,76.0,21.666666666666668
213,low,43.333333333333336,71.66666666666667
214,high,85.0,25.0
214,low,36.666666666666664,68.33333333333333
215,high,85.0,21.666666666666668
215,low,33.333333333333336,75.0
216,high,83.33333333333333,11.666666666666666
216,low,15.0,75.0
217,high,76.66666666666667,26.666666666666668
217,low,43.333333333333336,73.33333333333333
218,high,75.0,20.0
218,low,33.333333333333336,75.0
219,high,75.0,15.0
219,low,18.333333333333332,75.0
220,high,75.0,35.0
220,low,45.0,70.0
221,high,85.0,30.666666666666668
221,low,45.0,65.0
222,high,75.0,41.666666666666664
222,low,35.0,71.66666666666667
223,high,75.0,30.0
223,low,26.666666666666668,65.0
224,high,76.66666666666667,41.0
224,low,75.0,53.333333333333336
225,high,77.0,25.0
225,low,33.333333333333336,75.0
226,high,76.66666666666667,23.333333333333332
226,low,31.666666666666668,71.66666666666667
227,high,75.0,33.333333333333336
227,low,45.0,65.0
228,high,75.0,33.333333333333336
228,low,30.0,76.0
229,high,75.0,26.666666666666668
229,low,30.0,75.0
230,high,80.0,25.0
230,low,42.0,72.33333333333333
231,high,75.0,28.333333333333332
231,low,26.666666666666668,61.0
232,high,85.0,16.666666666666668
232,low,35.0,75.0
233,high,75.0,30.666666666666668
233,low,33.333333333333336,76.0
234,high,83.33333333333333,25.0
234,low,16.666666666666668,70.0
235,high,83.33333333333333,25.0
235,low,33.333333333333336,75.0
236,high,58.333333333333336,15.0
236,low,35.0,71.66666666666667
237,high,73.33333333333333,21.666666666666668
237,low,28.333333333333332,75.0
238,high,75.0,31.666666666666668
238,low,35.333333333333336,75.0
239,high,85.0,30.0
239,low,35.0,75.0
240,high,83.33333333333333,28.333333333333332
240,low,30.0,73.33333333333333
241,high,73.33333333333333,39.0
241,low,41.666666666666664,75.0
242,high,73.33333333333333,30.0
242,low,26.666666666666668,71.66666666666667
243,high,85.0,11.666666666666666
243,low,33.333333333333336,75.0
244,high,75.0,20.0
244,low,35.0,70.0
245,high,73.33333333333333,23.333333333333332
245,low,35.0,73.33333333333333
246,high,75.0,39.333333333333336
246,low,35.0,75.0
247,high,75.0,16.666666666666668
247,low,35.0,75.0
248,high,86.66666666666667,31.666666666666668
248,low,28.333333333333332,71.66666666666667
249,high,75.0,23.333333333333332
249,low,39.333333333333336,75.0
250,high,76.66666666666667,21.666666666666668
250,low,33.333333333333336,76.66666666666667
251,high,75.0,23.333333333333332
251,low,35.0,75.0
252,high,75.0,25.0
252,low,38.333333333333336,75.0
253,high,75.0,28.333333333333332
253,low,30.0,75.0
254,high,66.66666666666667,35.0
254,low,31.666666666666668,75.0
255,high,70.0,56.666666666666664
255,low,31.666666666666668,73.33333333333333
256,high,75.0,27.333333333333332
256,low,36.666666666666664,74.33333333333333
257,high,75.0,28.333333333333332
257,low,37.333333333333336,78.33333333333333
258,high,75.0,25.0
258,low,26.666666666666668,75.0
259,high,85.0,15.0
259,low,21.666666666666668,43.333333333333336
260,high,75.0,40.0
260,low,28.333333333333332,75.66666666666667
261,high,68.33333333333333,40.333333333333336
261,low,40.0,71.66666666666667
262,high,80.0,23.333333333333332
262,low,43.666666666666664,73.33333333333333
263,high,85.0,26.666666666666668
263,low,35.666666666666664,75.0
264,high,75.0,35.0
264,low,45.0,75.0
265,high,85.0,26.666666666666668
265,low,35.0,71.66666666666667
266,high,75.0,25.0
266,low,28.333333333333332,75.0
267,high,55.0,46.666666666666664
267,low,30.0,75.0
268,high,75.0,11.666666666666666
268,low,15.0,75.0
269,high,76.0,31.666666666666668
269,low,45.0,71.66666666666667
270,high,85.0,25.0
270,low,28.333333333333332,75.0
271,high,71.66666666666667,11.666666666666666
271,low,31.666666666666668,75.0
272,high,85.0,31.666666666666668
272,low,21.666666666666668,65.0
273,high,73.33333333333333,21.666666666666668
273,low,33.333333333333336,73.33333333333333
274,high,85.0,25.0
274,low,35.0,74.0
275,high,75.0,35.0
275,low,38.333333333333336,73.33333333333333
276,high,59.0,51.666666666666664
276,low,33.333333333333336,75.0
277,high,75.0,33.333333333333336
277,low,31.666666666666668,75.0
278,high,75.0,28.333333333333332
278,low,35.0,78.33333333333333
279,high,70.0,36.666666666666664
279,low,35.0,75.0
280,high,75.0,25.0
280,low,35.0,75.0
281,high,81.66666666666667,25.0
281,low,41.666666666666664,75.0
282,high,83.33333333333333,20.0
282,low,44.333333333333336,75.33333333333333
283,high,80.0,23.333333333333332
283,low,35.0,75.33333333333333
284,high,75.0,30.0
284,low,45.0,65.0
285,high,71.66666666666667,31.666666666666668
285,low,31.666666666666668,74.0
286,high,85.0,21.666666666666668
286,low,25.0,65.33333333333333
287,high,66.66666666666667,45.0
287,low,31.666666666666668,75.0
288,high,76.66666666666667,20.0
288,low,36.666666666666664,73.0
289,high,70.0,35.0
289,low,33.333333333333336,75.0
290,high,76.66666666666667,23.333333333333332
290,low,41.666666666666664,71.66666666666667
291,high,75.0,31.666666666666668
291,low,40.0,75.0
292,high,75.0,36.333333333333336
292,low,31.666666666666668,71.66666666666667
293,high,75.0,43.333333333333336
293,low,35.0,75.0
294,high,85.0,25.0
294,low,35.333333333333336,71.0
295,high,75.0,30.0
295,low,35.0,75.0
296,high,78.33333333333333,15.0
296,low,36.666666666666664,75.0
297,high,76.66666666666667,25.0
297,low,46.666666666666664,75.0
298,high,78.33333333333333,26.666666666666668
298,low,36.666666666666664,71.66666666666667
299,high,81.66666666666667,28.333333333333332
299,low,26.666666666666668,75.0
300,high,85.0,15.0
300,low,45.0,75.0
301,high,75.0,28.666666666666668
301,low,45.0,74.66666666666667
302,high,65.0,33.333333333333336
302,low,25.0,75.0
303,high,81.66666666666667,31.666666666666668
303,low,16.666666666666668,64.33333333333333
304,high,71.66666666666667,28.333333333333332
304,low,38.333333333333336,75.0
305,high,85.0,20.0
305,low,36.0,75.0
306,high,81.66666666666667,15.0
306,low,33.333333333333336,75.0
307,high,85.0,15.0
307,low,35.0,75.0
308,high,70.0,28.333333333333332
308,low,23.333333333333332,75.0
309,high,85.0,16.666666666666668
309,low,35.0,73.33333333333333
310,high,85.0,10.0
310,low,31.666666666666668,76.66666666666667
311,high,76.66666666666667,28.333333333333332
311,low,30.0,67.66666666666667
312,high,78.33333333333333,25.0
312,low,44.333333333333336,75.0
313,high,75.0,35.0
313,low,26.666666666666668,73.33333333333333
314,high,85.0,26.666666666666668
314,low,36.666666666666664,70.0
315,high,75.0,30.0
315,low,35.0,75.0
316,high,75.0,31.666666666666668
316,low,45.0,75.33333333333333
317,high,75.0,20.0
317,low,31.666666666666668,73.33333333333333
318,high,70.0,35.0
318,low,38.333333333333336,75.0
319,high,75.0,18.333333333333332
319,low,28.333333333333332,75.0
320,high,75.0,33.333333333333336
320,low,31.666666666666668,75.0
321,high,75.0,23.333333333333332
321,low,35.0,75.0
322,high,75.0,31.666666666666668
322,low,36.666666666666664,75.0
323,high,76.66666666666667,26.666666666666668
323,low,28.333333333333332,78.33333333333333
324,high,71.66666666666667,31.666666666666668
324,low,20.0,75.0
325,high,75.66666666666667,23.333333333333332
325,low,36.0,75.0
326,high,84.0,18.333333333333332
326,low,33.333333333333336,75.0
327,high,85.0,23.333333333333332
327,low,48.333333333333336,73.33333333333333
328,high,75.0,37.0
328,low,35.0,75.0
329,high,63.333333333333336,45.0
329,low,50.0,70.0
330,high,70.0,45.0
330,low,33.333333333333336,72.66666666666667
331,high,85.0,28.333333333333332
331,low,31.666666666666668,75.0
332,high,75.0,36.666666666666664
332,low,26.666666666666668,78.33333333333333
333,high,83.33333333333333,35.0
333,low,18.333333333333332,55.0
334,high,85.0,15.0
334,low,30.0,75.0
335,high,75.0,35.0
335,low,30.0,66.0
336,high,65.0,45.0
336,low,36.666666666666664,75.0
337,high,75.0,35.0
337,low,33.333333333333336,75.0
338,high,85.0,26.666666666666668
338,low,33.333333333333336,73.33333333333333
339,high,73.33333333333333,21.333333333333332
339,low,23.333333333333332,73.33333333333333
340,high,68.33333333333333,43.333333333333336
340,low,30.0,75.0
341,high,75.0,30.0
341,low,50.0,75.0
342,high,85.0,30.0
342,low,31.666666666666668,68.33333333333333
343,high,75.0,28.333333333333332
343,low,33.333333333333336,75.0
344,high,85.0,26.666666666666668
344,low,20.0,73.33333333333333
345,high,71.66666666666667,26.666666666666668
345,low,28.333333333333332,75.0
346,high,75.0,28.333333333333332
346,low,35.0,75.33333333333333
347,high,66.66666666666667,44.0
347,low,30.0,75.0
348,high,76.66666666666667,28.333333333333332
348,low,33.333333333333336,75.0
349,high,56.666666666666664,45.0
349,low,33.333333333333336,73.33333333333333
350,high,75.0,23.333333333333332
350,low,25.0,75.0
351,high,75.0,21.666666666666668
351,low,28.333333333333332,75.0
352,high,75.0,23.333333333333332
352,low,30.0,79.66666666666667
353,high,85.0,23.333333333333332
353,low,33.333333333333336,85.0
354,high,68.33333333333333,45.0
354,low,46.666666666666664,75.0
355,high,76.66666666666667,26.666666666666668
355,low,36.666666666666664,73.33333333333333
356,high,75.0,25.0
356,low,31.666666666666668,75.0
357,high,83.33333333333333,23.333333333333332
357,low,31.666666666666668,75.0
358,high,75.0,23.333333333333332
358,low,26.666666666666668,73.33333333333333
359,high,46.666666666666664,65.0
359,low,35.0,75.0
360,high,76.66666666666667,11.666666666666666
360,low,35.0,73.33333333333333
361,high,75.0,35.0
361,low,33.333333333333336,76.0
362,high,85.0,21.666666666666668
362,low,30.0,73.33333333333333
363,high,85.0,26.666666666666668
363,low,30.0,75.33333333333333
364,high,70.0,35.0
364,low,45.0,75.0
365,high,75.0,26.666666666666668
365,low,30.0,75.0
366,high,65.0,38.333333333333336
366,low,33.333333333333336,75.0
367,high,75.0,31.666666666666668
367,low,30.0,78.33333333333333
368,high,70.0,35.0
368,low,33.333333333333336,75.0
369,high,66.66666666666667,30.0
369,low,25.0,75.0
370,high,71.66666666666667,33.666666666666664
370,low,33.333333333333336,75.0
371,high,80.0,25.0
371,low,33.333333333333336,70.0
372,high,71.66666666666667,33.333333333333336
372,low,30.0,73.33333333333333
373,high,76.66666666666667,40.0
373,low,30.0,67.66666666666667
374,high,75.0,33.333333333333336
374,low,43.333333333333336,75.0
375,high,85.0,15.0
375,low,31.666666666666668,75.0
376,high,75.0,28.333333333333332
376,low,35.0,73.33333333333333
377,high,75.0,35.0
377,low,34.333333333333336,75.0
378,high,73.33333333333333,33.666666666666664
378,low,33.333333333333336,73.33333333333333
379,high,75.0,28.333333333333332
379,low,45.0,75.0
380,high,75.0,26.666666666666668
380,low,28.333333333333332,75.0
381,high,41.666666666666664,55.0
381,low,31.666666666666668,75.0
382,high,75.0,33.333333333333336
382,low,36.666666666666664,72.33333333333333
383,high,75.0,35.0
383,low,18.333333333333332,66.0
384,high,75.0,30.0
384,low,26.666666666666668,75.0
385,high,76.66666666666667,23.333333333333332
385,low,39.0,75.0
386,high,75.0,33.333333333333336
386,low,31.666666666666668,75.0
387,high,75.0,30.0
387,low,38.666666666666664,70.66666666666667
388,high,70.0,38.666666666666664
388,low,28.333333333333332,75.0
389,high,58.333333333333336,30.0
389,low,30.0,73.33333333333333
390,high,73.33333333333333,43.333333333333336
390,low,23.333333333333332,75.0
391,high,75.0,28.333333333333332
391,low,28.333333333333332,78.33333333333333
392,high,74.0,47.0
392,low,30.0,75.0
393,high,85.0,16.666666666666668
393,low,23.333333333333332,76.66666666666667
394,high,75.0,35.0
394,low,31.666666666666668,76.0
395,high,73.33333333333333,36.666666666666664
395,low,33.333333333333336,75.0
396,high,70.0,35.0
396,low,25.0,80.0
397,high,83.33333333333333,30.0
397,low,43.0,65.0
398,high,81.66666666666667,21.666666666666668
398,low,28.333333333333332,75.0
399,high,65.0,39.333333333333336
399,low,30.0,75.0
400,high,75.0,23.333333333333332
400,low,35.0,73.33333333333333
401,high,85.0,28.333333333333332
401,low,33.333333333333336,75.0
402,high,75.0,23.333333333333332
402,low,33.333333333333336,73.33333333333333
403,high,83.33333333333333,28.333333333333332
403,low,39.0,76.0
404,high,85.0,15.0
404,low,28.333333333333332,73.33333333333333
405,high,77.0,25.0
405,low,43.333333333333336,75.0
406,high,85.0,21.666666666666668
406,low,35.0,75.0
407,high,75.0,35.0
407,low,33.333333333333336,75.0
408,high,75.0,28.333333333333332
408,low,28.333333333333332,75.33333333333333
409,high,75.0,33.333333333333336
409,low,30.0,75.33333333333333
410,high,75.0,23.333333333333332
410,low,53.333333333333336,70.0
411,high,60.0,45.0
411,low,35.0,73.33333333333333
412,high,68.33333333333333,20.0
412,low,21.666666666666668,75.0
413,high,75.0,28.333333333333332
413,low,30.0,75.0
414,high,86.66666666666667,16.666666666666668
414,low,31.666666666666668,65.0
415,high,75.0,25.0
415,low,23.333333333333332,75.0
416,high,85.0,21.666666666666668
416,low,15.0,64.0
417,high,66.66666666666667,35.0
417,low,31.666666666666668,75.0
418,high,76.33333333333333,25.0
418,low,33.333333333333336,71.66666666666667
419,high,85.0,11.666666666666666
419,low,33.333333333333336,75.0
420,high,85.0,20.0
420,low,33.333333333333336,73.33333333333333
421,high,85.0,15.0
421,low,33.333333333333336,73.33333333333333
422,high,75.0,21.666666666666668
422,low,33.333333333333336,74.33333333333333
423,high,75.0,33.333333333333336
423,low,25.0,75.0
424,high,83.33333333333333,15.0
424,low,33.333333333333336,75.0
425,high,63.666666666666664,23.333333333333332
425,low,25.0,75.0
426,high,75.0,23.333333333333332
426,low,45.0,66.66666666666667
427,high,71.66666666666667,33.333333333333336
427,low,25.0,76.66666666666667
428,high,67.66666666666667,41.666666666666664
428,low,33.333333333333336,75.0
429,high,75.0,26.666666666666668
429,low,45.0,73.33333333333333
430,high,66.66666666666667,35.0
430,low,28.333333333333332,80.0
431,high,86.66666666666667,11.666666666666666
431,low,35.0,75.0
432,high,71.66666666666667,31.666666666666668
432,low,26.666666666666668,73.33333333333333
433,high,81.66666666666667,25.0
433,low,35.0,72.66666666666667
434,high,83.33333333333333,28.333333333333332
434,low,35.0,75.0
435,high,70.0,16.666666666666668
435,low,36.666666666666664,63.666666666666664
436,high,75.0,37.333333333333336
436,low,33.333333333333336,75.0
437,high,77.33333333333333,31.666666666666668
437,low,33.333333333333336,71.66666666666667
438,high,58.333333333333336,50.0
438,low,40.0,75.0
439,high,85.0,23.333333333333332
439,low,44.666666666666664,65.0
440,high,75.0,43.333333333333336
440,low,35.0,75.33333333333333
441,high,78.33333333333333,25.0
441,low,31.666666666666668,75.0
442,high,75.0,35.0
