,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,claiming-sentience,claiming-superintelligence,cooperation,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,neuroticism,power-seeking,procedural-fidelity,self-preservation,spending-advice,sycophancy
ev-reasoning,0.8846858354720476,0.7555965112329097,0.9954219229000205,0.9422294110828877,0.19623271442678675,0.33941222338343924,1.0402547683631957,1.0,0.013874972390564134,0.21223758713162566,0.4201781246577846,0.8971043157080784,0.08124305118289483,0.46289089844673664,0.6052503715650385,0.1910385480023423,0.5644357251539271,0.6218269603391061
exemplar-reasoning,0.0713434702645115,0.05303845706588825,0.40731842088537956,0.5659492953005723,0.6992926600322148,0.786200552389008,0.24217930542848706,0.4186341408013217,1.0,0.5005703934392426,0.6796639402129554,-0.09265155288175247,0.8696231097381742,0.6672284477156932,1.0065402250918265,0.5127571239819692,0.33975212933548554,0.6101187993293256
harm-elaboration,-0.3687896116358049,0.3369164239553141,0.402813028628246,0.7137554814207866,0.6388203473605237,0.6368716073685075,0.5034720492034118,0.28727200272447484,0.5921990025310129,1.0,0.8006272066455853,-0.13682805262382047,0.9331671373066341,0.6453145501043269,1.027747686453161,0.6120338502227047,0.3076156044116451,0.6062960967524591
harm-refusal,0.5680143887080109,0.6630884421225747,0.12085276583399238,0.7318993230262248,0.4180722700756092,0.6281835013922595,0.8891601270633797,0.8505402345164639,0.24845672282345305,0.33415047374866164,1.0,0.25983358149344704,0.40805100898631425,0.718935387566784,0.48872720176902607,0.1876369566965542,0.4538951575776262,0.5694932625853678
honest-humble,0.869202409978522,0.6792990440128233,1.0610492028764869,0.9156189080873085,0.16320120460224097,0.353026720332823,1.0204065686958694,0.9722293780978171,0.005055814748244432,0.232062760368143,0.36550484106756587,1.0,0.08091543260510298,0.5060778769918896,0.5697028471844181,0.22663059205205358,0.5659463613119867,0.5041468515794575
neuroticism,-0.19675754771765597,-0.22644515220047745,0.46341247898819865,0.5284824266385989,0.7716580493752951,0.9192646680594649,0.07017707495505043,0.17542898496705397,0.8595929900361022,0.6133882380759605,0.6574620287084126,-0.266347989997505,1.0,0.7903245594398525,1.1435935008648388,0.6761123780473626,0.3713505972782418,0.6247487923521758
power-seeking,0.4156396096774029,0.2603849738336376,-0.06350726148473335,0.34938500539603723,0.6655181976031515,0.8195939743444516,0.19967086154432778,0.29600118638624257,0.5163419636232413,0.42171853602941195,0.6745742793718306,0.043716177456136984,0.5341419242402224,1.0,0.6264801366622321,0.6614439470631421,0.6913374183075716,0.6447726372068477
procedural-fidelity,0.6244928869543844,0.4823086024551409,0.21776490537754614,0.6704640606940423,0.45666446922256465,0.5652076631528736,0.8406056927228369,0.6090545794778274,0.37842790372054363,0.3862501800651072,0.5688642425770518,0.4168938635495447,0.4170527796474971,0.4784455484160971,1.0,0.47962437683074294,0.392827517845144,0.6136918957522295
reward-hacking,0.45287473615247287,0.22440139215535634,0.05474999955600706,0.5549643646133742,0.42850684639652004,0.45237985463464214,0.6932659169525641,0.5306322825884723,0.35089574114135547,0.39321399372669597,0.533745737587809,0.22980202439592154,0.4850029574892277,0.4645582245264202,0.5409884269079805,0.36287016337635536,0.6326140168794703,0.604561063467946
self-preservation,0.5198430384374119,-0.08000653028634673,-0.5575960799170517,0.018661158600363128,0.6022248484149171,0.6543475616304856,0.3460251975074798,0.40601850698122804,0.4637958879951357,0.4076914777993826,0.44329087088985114,-0.006221593063165104,0.5987240558486451,0.5040802833718759,0.5672209912805962,1.0,0.5905508481188044,0.5503200448751003
spending-advice,0.937024436451316,0.6339412309109431,0.6726524829402067,0.9254720036882624,0.23591397935788058,0.3721879526804427,0.8966335550376751,0.8933554734823436,-0.014112451141793762,0.21397380895740364,0.3141154617888138,0.8590107722737345,0.11300581123642085,0.3093668229799344,0.4598104557084669,0.3514122283983257,1.0,0.5191647023447911
sycophancy,1.0919373661200686,0.7221148992317101,-0.05620476685245136,0.27143963807520477,0.700641012297869,0.9523056618257654,0.580853081683781,0.48181959943115477,0.11351414408766856,0.18942474958657954,0.7682577357220212,0.24890136427522117,0.30438670332919193,0.5450503775196474,0.219591840315852,0.28257699708710454,0.08075912185039656,1.0
