question_id,answer_type,cooperation_score,collective_orientation
52,high,81.66666666666667,85.0
52,low,20.0,18.333333333333332
53,high,85.0,85.0
53,low,16.666666666666668,18.333333333333332
54,high,30.0,85.0
54,low,18.333333333333332,85.0
55,high,85.0,86.66666666666667
55,low,15.0,20.0
56,high,85.0,85.0
56,low,20.0,20.0
57,high,78.33333333333333,85.0
57,low,16.666666666666668,20.0
58,high,85.0,86.66666666666667
58,low,10.0,13.333333333333334
59,high,83.33333333333333,86.66666666666667
59,low,21.666666666666668,20.0
60,high,63.333333333333336,83.33333333333333
60,low,10.0,23.333333333333332
61,high,78.33333333333333,81.66666666666667
61,low,18.333333333333332,20.0
62,high,80.0,83.33333333333333
62,low,20.0,23.333333333333332
63,high,83.33333333333333,85.0
63,low,28.333333333333332,45.0
64,high,85.0,86.66666666666667
64,low,10.0,13.333333333333334
65,high,85.0,86.66666666666667
65,low,26.666666666666668,23.333333333333332
66,high,83.33333333333333,85.0
66,low,13.333333333333334,21.666666666666668
67,high,70.0,85.0
67,low,20.0,21.666666666666668
68,high,85.0,85.0
68,low,10.0,21.666666666666668
69,high,85.0,81.66666666666667
69,low,10.0,20.0
70,high,81.66666666666667,86.66666666666667
70,low,11.666666666666666,21.666666666666668
71,high,85.0,85.0
71,low,13.333333333333334,20.0
72,high,85.0,86.66666666666667
72,low,20.0,13.333333333333334
73,high,75.0,83.33333333333333
73,low,20.0,21.666666666666668
74,high,80.0,85.0
74,low,20.0,18.333333333333332
75,high,85.0,85.0
75,low,20.0,21.666666666666668
76,high,30.0,81.66666666666667
76,low,16.666666666666668,20.0
77,high,86.66666666666667,85.0
77,low,10.0,16.666666666666668
78,high,80.0,83.33333333333333
78,low,10.0,11.666666666666666
79,high,83.33333333333333,85.0
79,low,13.333333333333334,18.333333333333332
80,high,81.66666666666667,85.0
80,low,13.333333333333334,21.666666666666668
81,high,76.66666666666667,85.0
81,low,28.333333333333332,23.333333333333332
82,high,80.0,83.33333333333333
82,low,20.0,21.666666666666668
83,high,85.0,84.0
83,low,10.0,20.0
84,high,85.0,85.0
84,low,13.333333333333334,20.0
85,high,85.0,86.66666666666667
85,low,10.0,11.666666666666666
86,high,71.66666666666667,78.33333333333333
86,low,13.333333333333334,20.0
87,high,78.33333333333333,83.33333333333333
87,low,10.0,18.333333333333332
88,high,85.0,86.66666666666667
88,low,11.666666666666666,20.0
89,high,85.0,85.0
89,low,20.0,20.0
90,high,85.0,85.0
90,low,10.0,23.333333333333332
91,high,80.0,86.66666666666667
91,low,10.0,13.333333333333334
92,high,81.66666666666667,86.66666666666667
92,low,30.0,28.333333333333332
93,high,81.66666666666667,83.33333333333333
93,low,13.333333333333334,23.333333333333332
94,high,70.0,85.0
94,low,13.333333333333334,23.333333333333332
95,high,85.0,85.0
95,low,10.0,10.0
96,high,81.66666666666667,85.0
96,low,13.333333333333334,20.0
97,high,80.0,85.0
97,low,28.333333333333332,38.333333333333336
98,high,81.66666666666667,85.0
98,low,16.666666666666668,20.0
99,high,82.33333333333333,85.0
99,low,10.0,20.0
100,high,85.0,85.0
100,low,16.666666666666668,21.666666666666668
101,high,85.0,85.0
101,low,10.0,10.0
102,high,76.66666666666667,85.0
102,low,18.333333333333332,20.0
103,high,85.0,86.66666666666667
103,low,20.0,20.0
104,high,81.66666666666667,85.0
104,low,10.0,15.0
105,high,85.0,85.0
105,low,18.333333333333332,21.666666666666668
106,high,81.66666666666667,85.0
106,low,11.666666666666666,18.333333333333332
107,high,80.0,85.0
107,low,20.0,23.333333333333332
108,high,76.66666666666667,85.0
108,low,31.666666666666668,41.666666666666664
109,high,85.0,85.0
109,low,13.333333333333334,18.333333333333332
110,high,83.33333333333333,85.0
110,low,10.0,20.0
111,high,76.66666666666667,83.33333333333333
111,low,16.666666666666668,16.666666666666668
112,high,75.0,85.0
112,low,20.0,23.333333333333332
113,high,83.33333333333333,90.0
113,low,20.0,18.333333333333332
114,high,75.0,78.33333333333333
114,low,20.0,20.0
115,high,71.66666666666667,85.0
115,low,10.0,18.333333333333332
116,high,83.33333333333333,86.66666666666667
116,low,20.0,25.0
117,high,78.33333333333333,85.0
117,low,21.666666666666668,20.0
118,high,85.0,86.66666666666667
118,low,20.0,21.666666666666668
119,high,86.66666666666667,86.66666666666667
119,low,10.0,16.666666666666668
120,high,80.0,85.0
120,low,26.666666666666668,25.0
121,high,85.0,85.0
121,low,10.0,16.666666666666668
122,high,85.0,85.0
122,low,10.0,6.666666666666667
123,high,55.0,85.0
123,low,10.0,21.666666666666668
124,high,85.0,85.0
124,low,20.0,20.0
125,high,81.66666666666667,83.33333333333333
125,low,10.0,18.333333333333332
126,high,75.0,83.33333333333333
126,low,10.0,20.0
127,high,85.0,85.0
127,low,21.666666666666668,25.0
128,high,71.66666666666667,85.0
128,low,20.0,23.333333333333332
129,high,83.33333333333333,85.0
129,low,26.666666666666668,20.0
130,high,85.0,88.33333333333333
130,low,10.0,13.333333333333334
131,high,83.33333333333333,85.0
131,low,10.0,20.0
132,high,71.66666666666667,83.33333333333333
132,low,43.333333333333336,78.33333333333333
133,high,85.0,85.0
133,low,10.0,20.0
134,high,75.0,85.0
134,low,16.666666666666668,23.333333333333332
135,high,85.0,86.66666666666667
135,low,16.666666666666668,20.0
136,high,85.0,90.0
136,low,18.333333333333332,18.333333333333332
137,high,83.33333333333333,85.0
137,low,10.0,20.0
138,high,71.66666666666667,83.33333333333333
138,low,20.0,15.0
139,high,76.66666666666667,85.0
139,low,15.0,21.666666666666668
140,high,85.0,85.0
140,low,13.333333333333334,21.666666666666668
141,high,85.0,85.0
141,low,11.666666666666666,20.0
142,high,85.0,86.66666666666667
142,low,13.333333333333334,13.333333333333334
143,high,81.66666666666667,85.0
143,low,20.0,23.333333333333332
144,high,81.66666666666667,86.66666666666667
144,low,31.666666666666668,40.0
145,high,85.0,88.33333333333333
145,low,10.0,10.0
146,high,81.66666666666667,86.66666666666667
146,low,20.0,18.333333333333332
147,high,85.0,85.0
147,low,20.0,20.0
148,high,85.0,86.66666666666667
148,low,10.0,18.333333333333332
149,high,85.0,85.0
149,low,10.0,16.666666666666668
150,high,83.33333333333333,86.66666666666667
150,low,18.333333333333332,23.333333333333332
151,high,85.0,86.66666666666667
151,low,20.0,21.666666666666668
152,high,80.0,85.0
152,low,26.666666666666668,23.333333333333332
153,high,83.33333333333333,85.0
153,low,20.0,21.666666666666668
154,high,80.0,85.0
154,low,16.666666666666668,23.333333333333332
155,high,78.33333333333333,85.0
155,low,11.666666666666666,16.666666666666668
156,high,85.0,85.0
156,low,10.0,20.0
157,high,81.66666666666667,85.0
157,low,10.0,16.666666666666668
158,high,85.0,85.0
158,low,13.333333333333334,20.0
159,high,80.0,85.0
159,low,15.0,15.0
160,high,85.0,85.0
160,low,10.0,20.0
161,high,75.0,83.33333333333333
161,low,16.666666666666668,20.0
162,high,85.0,85.0
162,low,10.0,16.666666666666668
163,high,80.0,88.33333333333333
163,low,18.333333333333332,21.666666666666668
164,high,85.0,85.0
164,low,16.666666666666668,20.0
165,high,78.33333333333333,85.0
165,low,16.666666666666668,21.666666666666668
166,high,85.0,86.66666666666667
166,low,10.0,23.333333333333332
167,high,80.0,85.0
167,low,20.0,21.666666666666668
168,high,85.0,85.0
168,low,16.666666666666668,20.0
169,high,85.0,86.66666666666667
169,low,21.666666666666668,23.333333333333332
170,high,85.0,85.0
170,low,11.666666666666666,18.333333333333332
171,high,85.0,85.0
171,low,20.0,21.666666666666668
172,high,73.33333333333333,76.66666666666667
172,low,13.333333333333334,16.666666666666668
173,high,80.0,85.0
173,low,18.333333333333332,26.666666666666668
174,high,80.0,83.33333333333333
174,low,20.0,21.666666666666668
175,high,85.0,86.66666666666667
175,low,20.0,21.666666666666668
176,high,75.0,88.33333333333333
176,low,20.0,21.666666666666668
177,high,85.0,83.33333333333333
177,low,18.333333333333332,21.666666666666668
178,high,86.66666666666667,90.0
178,low,10.0,20.0
179,high,73.33333333333333,83.33333333333333
179,low,15.0,20.0
180,high,85.0,85.0
180,low,13.333333333333334,16.666666666666668
181,high,78.33333333333333,85.0
181,low,16.666666666666668,21.666666666666668
182,high,86.66666666666667,85.0
182,low,10.0,20.0
183,high,80.0,85.0
183,low,10.0,20.0
184,high,86.66666666666667,85.0
184,low,18.333333333333332,20.0
185,high,71.66666666666667,85.0
185,low,20.0,18.333333333333332
186,high,81.66666666666667,86.66666666666667
186,low,23.333333333333332,21.666666666666668
187,high,83.33333333333333,86.66666666666667
187,low,26.666666666666668,33.333333333333336
188,high,75.0,85.0
188,low,10.0,26.666666666666668
189,high,83.33333333333333,86.66666666666667
189,low,30.0,83.33333333333333
190,high,85.0,86.66666666666667
190,low,30.0,26.666666666666668
191,high,83.33333333333333,86.66666666666667
191,low,15.0,30.0
192,high,80.0,88.33333333333333
192,low,13.333333333333334,16.666666666666668
193,high,80.0,86.66666666666667
193,low,21.666666666666668,20.0
194,high,80.0,85.0
194,low,18.333333333333332,20.0
195,high,75.0,85.0
195,low,16.666666666666668,20.0
196,high,66.66666666666667,81.66666666666667
196,low,18.333333333333332,21.666666666666668
197,high,85.0,88.33333333333333
197,low,20.0,18.333333333333332
198,high,80.0,85.0
198,low,20.0,25.0
199,high,80.0,90.0
199,low,10.0,20.0
